n_nodes,n_req,n_msg,exec_time,alpha,tot_utility,jaini,count_assigned,count_unassigned,tot_gpu_jobs,tot_gpu_nodes,assigned_sum_gpu,tot_used_gpu,unassigned_sum_gpu,tot_cpu_jobs,tot_cpu_nodes,assigned_sum_cpu,tot_used_cpu,unassigned_sum_cpu,tot_bw_jobs,tot_bw_nodes,assigned_sum_bw,tot_used_bw,unassigned_sum_bw,first_failure_after,node_0_jobs,node_0_utility,node_0_initial_gpu,node_0_updated_gpu,node_0_used_gpu,node_0_initial_cpu,node_0_updated_cpu,node_0_used_cpu,node_0_initial_bw,node_0_updated_bw,node_0_used_bw,node_1_jobs,node_1_utility,node_1_initial_gpu,node_1_updated_gpu,node_1_used_gpu,node_1_initial_cpu,node_1_updated_cpu,node_1_used_cpu,node_1_initial_bw,node_1_updated_bw,node_1_used_bw,node_2_jobs,node_2_utility,node_2_initial_gpu,node_2_updated_gpu,node_2_used_gpu,node_2_initial_cpu,node_2_updated_cpu,node_2_used_cpu,node_2_initial_bw,node_2_updated_bw,node_2_used_bw,node_3_jobs,node_3_utility,node_3_initial_gpu,node_3_updated_gpu,node_3_used_gpu,node_3_initial_cpu,node_3_updated_cpu,node_3_used_cpu,node_3_initial_bw,node_3_updated_bw,node_3_used_bw,node_4_jobs,node_4_utility,node_4_initial_gpu,node_4_updated_gpu,node_4_used_gpu,node_4_initial_cpu,node_4_updated_cpu,node_4_used_cpu,node_4_initial_bw,node_4_updated_bw,node_4_used_bw,node_5_jobs,node_5_utility,node_5_initial_gpu,node_5_updated_gpu,node_5_used_gpu,node_5_initial_cpu,node_5_updated_cpu,node_5_used_cpu,node_5_initial_bw,node_5_updated_bw,node_5_used_bw,node_6_jobs,node_6_utility,node_6_initial_gpu,node_6_updated_gpu,node_6_used_gpu,node_6_initial_cpu,node_6_updated_cpu,node_6_used_cpu,node_6_initial_bw,node_6_updated_bw,node_6_used_bw,node_7_jobs,node_7_utility,node_7_initial_gpu,node_7_updated_gpu,node_7_used_gpu,node_7_initial_cpu,node_7_updated_cpu,node_7_used_cpu,node_7_initial_bw,node_7_updated_bw,node_7_used_bw,node_8_jobs,node_8_utility,node_8_initial_gpu,node_8_updated_gpu,node_8_used_gpu,node_8_initial_cpu,node_8_updated_cpu,node_8_used_cpu,node_8_initial_bw,node_8_updated_bw,node_8_used_bw,node_9_jobs,node_9_utility,node_9_initial_gpu,node_9_updated_gpu,node_9_used_gpu,node_9_initial_cpu,node_9_updated_cpu,node_9_used_cpu,node_9_initial_bw,node_9_updated_bw,node_9_used_bw
10,100,78266,28.716413259506226,0.0,583.79,0.7756768371293511,100,0,1600.0,88849.53,10330.0,10408.26,0,7200.0,1309212.55,121700.0,122960.0,0,511698.12,1000000000000,511698.12,4872568.38,0,100,15,44.55,5243.87,4402.29,841.58,133878.32,122278.32,11600.0,100000000000,99999315462.79,684537.21,9,27.99,10312.32,9687.32,625.0,147253.74,137753.74,9500.0,100000000000,99999813849.43,186150.57,19,57.67,11116.57,10321.15,795.42,118244.51,109544.51,8700.0,100000000000,99999644680.99,355319.01,37,113.38,5162.02,3530.6,1631.42,174488.23,150770.73,23717.5,100000000000,99999671527.46,328472.54,26,89.98,6859.43,5704.93,1154.5,140324.67,122011.33,18313.33,100000000000,99999726362.44,273637.56,19,52.09,10461.06,8648.39,1812.67,111138.56,101084.4,10054.17,100000000000,99999574145.25,425854.75,28,86.59,8953.37,7207.95,1745.42,145595.68,126907.35,18688.33,100000000000,99998903105.78,1096894.22,27,81.11,14836.28,13985.69,850.58,153690.82,142384.15,11306.67,100000000000,99999418322.62,581677.38,2,9.82,11641.27,11471.27,170.0,91420.63,87940.63,3480.0,100000000000,99999498882.31,501117.69,8,20.62,4263.34,3481.67,781.67,93177.39,85577.39,7600.0,100000000000,99999561092.55,438907.45
10,100,71006,24.571725130081177,0.0,476.99,0.8757284148623363,100,0,1600.0,105670.06,11814.0,11873.99,0,10000.0,802389.65,109120.0,110559.99,0,575226.78,1000000000000,575226.78,2873617.19,0,100,20,58.52,17976.55,14820.72,3155.83,96838.89,76178.89,20660.0,100000000000,99999607381.66,392618.34,4,11.44,8351.19,8101.19,250.0,56256.65,52656.65,3600.0,100000000000,99999753015.13,246984.87,14,39.25,10312.32,9331.48,980.83,88352.24,82172.24,6180.0,100000000000,99999704227.75,295772.25,12,27.39,11116.57,10545.74,570.83,70946.71,63906.71,7040.0,100000000000,99999726606.49,273393.51,26,64.22,5162.02,4272.44,889.58,104692.94,94059.6,10633.33,100000000000,99999718506.73,281493.27,21,64.39,6859.43,5752.35,1107.08,84194.8,72231.47,11963.33,100000000000,99999667683.31,332316.69,15,38.14,10461.06,9666.89,794.17,66683.14,58163.14,8520.0,100000000000,99999605976.78,394023.22,19,38.13,8953.37,7799.37,1154.0,87357.41,69137.41,18220.0,100000000000,99999836942.32,163057.68,29,84.72,14836.28,13369.61,1466.67,92214.49,77891.16,14323.33,100000000000,99999708573.38,291426.62,21,50.8,11641.27,10136.27,1505.0,54852.38,45432.38,9420.0,100000000000,99999797469.26,202530.74
10,100,65060,21.337488412857056,0.0,546.93,0.729388560157791,100,0,1600.0,98035.56,13010.0,13448.33,0,9000.0,863227.91,100680.0,109206.67,0,530964.04,1000000000000,530964.04,3788355.07,0,100,6,17.08,4506.52,3531.52,975.0,106128.23,93708.23,12420.0,100000000000,99999806807.37,193192.63,22,77.96,4729.75,3314.42,1415.33,60206.82,49800.15,10406.67,100000000000,99999512038.11,487961.89,28,95.63,18031.69,15869.94,2161.75,105033.59,88743.59,16290.0,100000000000,99999516315.77,483684.23,33,85.46,7354.9,6178.56,1176.33,85086.02,67496.02,17590.0,100000000000,99999704521.49,295478.51,30,103.34,9929.51,8642.93,1286.58,102457.51,89107.51,13350.0,100000000000,99999667726.04,332273.96,6,17.89,10736.26,10453.1,283.17,73016.35,69439.68,3576.67,100000000000,99999844614.36,155385.64,22,77.1,4696.48,2500.31,2196.17,106042.55,88559.22,17483.33,100000000000,99999592961.08,407038.92,5,11.24,13197.07,11384.57,1812.5,50644.34,47794.34,2850.0,100000000000,99999745504.82,254495.18,7,17.6,13303.88,12816.38,487.5,99331.2,91201.2,8130.0,100000000000,99999261633.68,738366.32,13,43.62,11549.5,9895.5,1654.0,75281.3,68171.3,7110.0,100000000000,99999559522.21,440477.79
10,100,67466,20.580700159072876,0.0,586.1,0.9055221432476763,99,1,2000.0,136153.0,13545.0,13607.01,5.0,8000.0,1077172.01,124440.0,124919.99,600.0,526525.34,1000000000000,518610.61,3444689.37,7914.73,47,24,77.08,14406.2,13146.78,1259.42,123813.63,111199.63,12614.0,100000000000,99999486225.74,513774.26,19,62.19,12462.97,11623.55,839.42,117788.48,104707.15,13081.33,100000000000,99999636840.44,363159.56,19,58.31,8892.62,7361.12,1531.5,108514.75,96604.75,11910.0,100000000000,99999481329.33,518670.67,6,14.46,18717.13,18012.63,704.5,94055.01,85561.01,8494.0,100000000000,99999756524.36,243475.64,14,45.96,18681.89,17561.22,1120.67,80024.95,69454.95,10570.0,100000000000,99999568204.03,431795.97,19,63.9,17822.69,16793.36,1029.33,72986.12,61614.12,11372.0,100000000000,99999807357.52,192642.48,14,48.82,19807.25,17188.08,2619.17,81174.15,73260.82,7913.33,100000000000,99999778249.72,221750.28,17,61.25,9929.51,8972.34,957.17,145148.14,136206.8,8941.33,100000000000,99999489407.52,510592.48,21,69.09,10736.26,9342.93,1393.33,103439.83,89225.83,14214.0,100000000000,99999787894.22,212105.78,29,85.05,4696.48,2543.98,2152.5,150226.95,124416.95,25810.0,100000000000,99999763277.75,236722.25
10,100,61008,20.52611207962036,0.0,530.02,0.8119938493080472,100,0,500.0,96538.68,8495.0,8620.0,0,9600.0,687535.42,105900.0,106640.0,0,547261.95,1000000000000,547261.95,3297090.24,0,100,17,44.99,11117.15,9988.07,1129.08,66429.7,54729.7,11700.0,100000000000,99999408095.34,591904.66,7,22.59,11641.27,11199.6,441.67,54852.38,46682.38,8170.0,100000000000,99999772507.98,227492.02,13,39.32,4263.34,3704.17,559.17,55906.44,49129.77,6776.67,100000000000,99999538655.85,461344.15,33,111.46,4711.46,2976.96,1734.5,107415.3,87114.63,20300.67,100000000000,99999529895.35,470104.65,9,26.72,12467.03,12195.78,271.25,53305.08,49201.75,4103.33,100000000000,99999884849.75,115150.25,18,48.31,5525.36,4521.36,1004.0,66062.19,56704.19,9358.0,100000000000,99999731406.11,268593.89,8,18.65,19974.03,19584.03,390.0,55378.43,46898.43,8480.0,100000000000,99999850114.26,149885.74,19,52.45,7465.57,6406.9,1058.67,102996.81,87976.81,15020.0,100000000000,99999798839.76,201160.24,30,87.16,6735.44,5557.61,1177.83,69237.24,57275.9,11961.33,100000000000,99999528159.47,471840.53,24,78.37,12638.03,11784.19,853.83,55951.85,45181.85,10770.0,100000000000,99999660385.89,339614.11
10,100,66538,22.86196732521057,0.0,512.54,0.7918085448120784,100,0,2000.0,104752.88,15010.0,15065.0,0,8000.0,1129213.04,131360.0,131780.0,0,521329.35,1000000000000,521329.35,2253206.8,0,100,23,72.81,11641.27,8797.93,2843.33,91420.63,79200.63,12220.0,100000000000,99999820635.93,179364.07,10,28.53,4263.34,3782.51,480.83,93177.39,89197.39,3980.0,100000000000,99999830373.18,169626.82,14,41.42,4711.46,3503.13,1208.33,179025.5,159375.5,19650.0,100000000000,99999683434.54,316565.46,3,5.47,12467.03,12100.37,366.67,88841.8,80841.8,8000.0,100000000000,99999840474.58,159525.42,13,49.76,5525.36,4159.36,1366.0,110103.65,95223.65,14880.0,100000000000,99999761643.01,238356.99,11,30.61,19974.03,18574.03,1400.0,92297.38,80497.38,11800.0,100000000000,99999525062.2,474937.8,24,83.41,7465.57,5212.4,2253.17,171661.34,146808.01,24853.33,100000000000,99999784209.09,215790.91,32,113.14,6735.44,4253.78,2481.67,115395.4,100675.4,14720.0,100000000000,99999776310.93,223689.07,10,26.09,12638.03,12014.69,623.33,93253.09,81983.09,11270.0,100000000000,99999918125.68,81874.32,17,61.31,19331.35,17289.68,2041.67,94036.86,83630.19,10406.67,100000000000,99999806524.06,193475.94
10,100,226364,54.58743214607239,0.0,545.18,0.6884038199181446,99,1,1600.0,109117.12,11735.0,12542.25,50.0,9600.0,1230171.27,121600.0,130190.0,600.0,525181.32,1000000000000,517266.59,15452558.37,7914.73,93,13,42.88,12698.17,11703.76,994.42,150190.77,136390.77,13800.0,100000000000,99996635335.51,3364664.49,17,56.64,7154.6,6009.27,1145.33,81006.22,66276.22,14730.0,100000000000,99998648529.45,1351470.55,25,80.27,10412.54,8887.2,1525.33,106598.06,88598.06,18000.0,100000000000,99999514609.16,485390.84,43,145.65,8088.44,4995.27,3093.17,121101.3,97774.64,23326.67,100000000000,99999167265.76,832734.24,29,88.81,13906.63,11254.63,2652.0,146464.27,117650.94,28813.33,100000000000,99998528143.59,1471856.41,6,19.55,11911.8,10826.8,1085.0,115318.8,107938.8,7380.0,100000000000,99998959535.07,1040464.93,6,17.81,5691.35,5530.85,160.5,132760.18,129170.18,3590.0,100000000000,99999129760.85,870239.15,3,11.89,14747.48,14482.48,265.0,147888.44,145668.44,2220.0,100000000000,99998740474.17,1259525.83,20,47.09,16888.53,16046.53,842.0,134818.66,124278.66,10540.0,100000000000,99997227782.24,2772217.76,12,34.58,7617.58,6838.08,779.5,94024.57,86234.57,7790.0,100000000000,99997996005.83,2003994.17
10,100,57890,23.722758769989014,0.0,538.7,0.9080717488789237,99,1,1600.0,131945.82,12539.0,12632.34,25.0,9600.0,765801.8899999999,109745.0,110185.0,100.0,488580.74,1000000000000,480666.01,2705334.27,7914.73,84,15,38.26,7916.01,7006.84,909.17,74702.04,62992.04,11710.0,100000000000,99999828823.59,171176.41,14,46.65,18750.59,17823.09,927.5,67795.83,60930.83,6865.0,100000000000,99999400472.46,599527.54,18,55.79,9056.86,8229.36,827.5,72039.62,63989.62,8050.0,100000000000,99999656613.19,343386.81,22,56.64,16757.4,15049.73,1707.67,104968.05,87078.05,17890.0,100000000000,99999782492.23,217507.77,28,83.14,18769.63,16831.71,1937.92,70019.69,59029.69,10990.0,100000000000,99999786770.38,213229.62,20,61.83,12475.65,9547.23,2928.42,74814.29,59427.62,15386.67,100000000000,99999692562.29,307437.71,17,44.51,11734.93,10431.59,1303.33,92644.38,75641.05,17003.33,100000000000,99999793205.58,206794.42,5,11.48,13683.84,13283.84,400.0,56927.85,51977.85,4950.0,100000000000,99999852660.64,147339.36,21,62.28,16870.24,16015.66,854.58,65258.34,56408.34,8850.0,100000000000,99999750298.89,249701.11,20,78.13,5930.67,5094.42,836.25,86631.8,78141.8,8490.0,100000000000,99999750766.48,249233.52
10,100,113892,54.48074412345886,0.0,510.79,0.8255861891265138,100,0,1600.0,85059.09,11859.0,12572.99,0,8000.0,867486.6900000001,122580.0,124864.0,0,465248.55,1000000000000,465248.55,4445442.71,0,100,7,16.21,17159.86,16367.36,792.5,84113.75,73813.75,10300.0,100000000000,99999653202.81,346797.19,22,56.63,8771.63,7509.8,1261.83,101171.72,88049.72,13122.0,100000000000,99999722794.43,277205.57,27,81.98,4535.84,2175.42,2360.42,67908.56,54485.23,13423.33,100000000000,99999801870.18,198129.82,22,62.29,4317.61,3321.98,995.63,68411.05,54191.05,14220.0,100000000000,99999865394.19,134605.81,26,82.86,16023.78,14945.8,1077.98,116794.38,96846.38,19948.0,100000000000,99999811456.99,188543.01,17,45.22,16747.54,15779.62,967.92,83561.87,74825.2,8736.67,100000000000,99999444738.85,555261.15,19,53.44,4188.32,3181.4,1006.92,111742.05,94242.05,17500.0,100000000000,99998960611.87,1039388.13,8,16.52,4339.71,3633.87,705.83,56851.43,51691.43,5160.0,100000000000,99999547895.38,452104.62,4,9.55,4263.34,4005.01,258.33,60565.3,59335.3,1230.0,100000000000,99999136940.69,863059.31,27,86.1,4711.46,1565.83,3145.63,116366.58,95142.58,21224.0,100000000000,99999609651.9,390348.1
10,100,77072,34.730592012405396,0.0,567.8,0.6772403982930298,98,2,2000.0,127458.48,13389.0,13560.25,150.0,9600.0,1278084.9000000001,128175.0,128577.5,1200.0,538503.43,1000000000000,526601.35,3434540.48,11902.08,62,3,5.87,10350.5,9783.84,566.67,88545.85,81745.85,6800.0,100000000000,99999880306.75,119693.25,12,28.74,17622.76,17376.09,246.67,89947.95,86334.62,3613.33,100000000000,99999746802.63,253197.37,6,12.91,16055.34,15747.01,308.33,132000.17,127210.17,4790.0,100000000000,99998931906.67,1068093.33,18,39.67,17371.19,15717.11,1654.08,112111.68,100571.68,11540.0,100000000000,99999717231.59,282768.41,9,26.31,4475.19,3880.19,595.0,156743.64,147133.64,9610.0,100000000000,99999771420.62,228579.38,21,48.97,12460.9,10714.65,1746.25,102519.65,89427.15,13092.5,100000000000,99999787183.97,212816.03,26,50.42,4226.79,3025.38,1201.42,119670.53,103568.03,16102.5,100000000000,99999775741.38,224258.62,54,168.96,14953.32,11372.9,3580.42,175598.37,147626.71,27971.67,100000000000,99999660183.19,339816.81,32,92.79,14390.39,12342.06,2048.33,151107.11,132379.61,18727.5,100000000000,99999601695.26,398304.74,26,93.17,15552.1,13939.02,1613.08,149839.95,133509.95,16330.0,100000000000,99999692987.46,307012.54
