n_nodes,n_req,n_msg,exec_time,alpha,tot_utility,jaini,count_assigned,count_unassigned,tot_gpu_jobs,tot_gpu_nodes,assigned_sum_gpu,tot_used_gpu,unassigned_sum_gpu,tot_cpu_jobs,tot_cpu_nodes,assigned_sum_cpu,tot_used_cpu,unassigned_sum_cpu,tot_bw_jobs,tot_bw_nodes,assigned_sum_bw,tot_used_bw,unassigned_sum_bw,first_failure_after,node_0_jobs,node_0_utility,node_0_initial_gpu,node_0_updated_gpu,node_0_used_gpu,node_0_initial_cpu,node_0_updated_cpu,node_0_used_cpu,node_0_initial_bw,node_0_updated_bw,node_0_used_bw,node_1_jobs,node_1_utility,node_1_initial_gpu,node_1_updated_gpu,node_1_used_gpu,node_1_initial_cpu,node_1_updated_cpu,node_1_used_cpu,node_1_initial_bw,node_1_updated_bw,node_1_used_bw,node_2_jobs,node_2_utility,node_2_initial_gpu,node_2_updated_gpu,node_2_used_gpu,node_2_initial_cpu,node_2_updated_cpu,node_2_used_cpu,node_2_initial_bw,node_2_updated_bw,node_2_used_bw,node_3_jobs,node_3_utility,node_3_initial_gpu,node_3_updated_gpu,node_3_used_gpu,node_3_initial_cpu,node_3_updated_cpu,node_3_used_cpu,node_3_initial_bw,node_3_updated_bw,node_3_used_bw,node_4_jobs,node_4_utility,node_4_initial_gpu,node_4_updated_gpu,node_4_used_gpu,node_4_initial_cpu,node_4_updated_cpu,node_4_used_cpu,node_4_initial_bw,node_4_updated_bw,node_4_used_bw,node_5_jobs,node_5_utility,node_5_initial_gpu,node_5_updated_gpu,node_5_used_gpu,node_5_initial_cpu,node_5_updated_cpu,node_5_used_cpu,node_5_initial_bw,node_5_updated_bw,node_5_used_bw,node_6_jobs,node_6_utility,node_6_initial_gpu,node_6_updated_gpu,node_6_used_gpu,node_6_initial_cpu,node_6_updated_cpu,node_6_used_cpu,node_6_initial_bw,node_6_updated_bw,node_6_used_bw,node_7_jobs,node_7_utility,node_7_initial_gpu,node_7_updated_gpu,node_7_used_gpu,node_7_initial_cpu,node_7_updated_cpu,node_7_used_cpu,node_7_initial_bw,node_7_updated_bw,node_7_used_bw,node_8_jobs,node_8_utility,node_8_initial_gpu,node_8_updated_gpu,node_8_used_gpu,node_8_initial_cpu,node_8_updated_cpu,node_8_used_cpu,node_8_initial_bw,node_8_updated_bw,node_8_used_bw,node_9_jobs,node_9_utility,node_9_initial_gpu,node_9_updated_gpu,node_9_used_gpu,node_9_initial_cpu,node_9_updated_cpu,node_9_used_cpu,node_9_initial_bw,node_9_updated_bw,node_9_used_bw
10,100,159356,43.52852129936218,0.0,620.0,0.6867970660146699,100,0,1600.0,101487.42000000001,12765.0,13989.98,0,7200.0,885452.25,131365.0,159415.0,0,512315.68,1000000000000,512315.68,8832200.78,0,100,10,44.0,9928.91,8740.57,1188.33,113762.05,97282.05,16480.0,100000000000,99998515052.79,1484947.21,2,6.0,10950.67,10327.34,623.33,99095.21,91035.21,8060.0,100000000000,99997770046.17,2229953.83,17,76.0,17437.02,14269.69,3167.33,82636.38,74861.71,7774.67,100000000000,99999681703.39,318296.61,26,110.0,12681.58,10452.24,2229.33,65285.89,54485.55,10800.33,100000000000,99999659078.28,340921.72,2,4.0,9507.93,9424.6,83.33,77559.22,76959.22,600.0,100000000000,99999504544.42,495455.58,31,130.0,4525.16,1751.83,2773.33,70137.13,17667.13,52470.0,100000000000,99997684945.95,2315054.05,17,58.0,15370.94,14005.94,1365.0,110571.99,102381.99,8190.0,100000000000,99999786828.18,213171.82,25,80.0,6900.24,5850.07,1050.17,94992.99,74259.65,20733.33,100000000000,99999749305.27,250694.73,27,106.0,7000.79,5693.46,1307.33,101431.13,69794.46,31636.67,100000000000,99999697291.12,302708.88,2,6.0,7184.18,6981.68,202.5,69980.26,67310.26,2670.0,100000000000,99999119003.65,880996.35
10,100,86000,28.19823932647705,0.0,650.0,0.5979255643685174,100,0,2000.0,90864.52,12274.0,12296.5,0,10000.0,832972.3399999999,113480.0,113750.0,0,516606.46,1000000000000,516606.46,3830386.42,0,100,10,64.0,17279.01,13272.68,4006.33,66528.9,56952.9,9576.0,100000000000,99999788193.01,211806.99,10,32.0,10020.49,9451.82,568.67,54141.04,51937.04,2204.0,100000000000,99999772748.27,227251.73,4,16.0,12421.69,12051.69,370.0,101342.31,98462.31,2880.0,100000000000,99999491916.85,508083.15,20,72.0,6847.0,6161.91,685.08,103118.21,89128.21,13990.0,100000000000,99999775858.09,224141.91,2,8.0,9830.1,8630.1,1200.0,86997.78,74997.78,12000.0,100000000000,99999806256.61,193743.39,11,62.0,7117.05,6687.05,430.0,89520.77,84360.77,5160.0,100000000000,99999745012.57,254987.43,36,180.0,11929.78,8589.78,3340.0,71712.83,52172.83,19540.0,100000000000,99999668149.16,331850.84,7,24.0,5637.01,5515.01,122.0,77251.33,75691.33,1560.0,100000000000,99999902360.24,97639.76,34,178.0,4269.2,2868.28,1400.92,105709.6,62949.6,42760.0,100000000000,99999724250.89,275749.11,6,14.0,5513.19,5339.69,173.5,76649.57,72569.57,4080.0,100000000000,99998494867.89,1505132.11
10,100,60786,29.10798215866089,0.0,568.0,0.45573626373626375,100,0,1600.0,120645.70000000001,10845.0,10884.99,0,9600.0,974257.2700000001,105150.0,105390.0,0,481238.43,1000000000000,481238.43,1987442.82,0,100,0,0,13522.13,13482.13,40.0,103288.08,103048.08,240.0,100000000000,99999738194.31,261805.69,1,4.0,13441.45,13341.45,100.0,98566.57,97766.57,800.0,100000000000,99999775729.89,224270.11,37,168.0,6356.61,3530.53,2826.08,94621.83,34128.49,60493.33,100000000000,99999735649.37,264350.63,0,0,12406.98,12406.98,0,100634.39,100634.39,0,100000000000,99999825259.58,174740.42,34,134.0,17135.08,13519.25,3615.83,93478.13,81033.13,12445.0,100000000000,99999742319.13,257680.87,6,14.0,10285.57,10118.57,167.0,107189.13,104009.13,3180.0,100000000000,99999893009.09,106990.91,18,62.0,7292.97,6746.05,546.92,94076.68,84950.01,9126.67,100000000000,99999818968.12,181031.88,40,168.0,18403.58,15137.75,3265.83,104308.8,87143.8,17165.0,100000000000,99999739878.38,260121.62,0,0,11804.47,11804.47,0,109781.57,109781.57,0,100000000000,99999918021.84,81978.16,8,18.0,9996.86,9673.53,323.33,68312.09,66372.09,1940.0,100000000000,99999825527.47,174472.53
10,100,58234,22.73198175430298,0.0,548.0,0.6471658502449266,100,0,2000.0,80903.31,12835.0,12835.0,0,6000.0,727933.28,90370.0,90370.0,0,543995.57,1000000000000,543995.57,1484375.79,0,100,34,156.0,11233.05,8432.72,2800.33,62007.04,45013.04,16994.0,100000000000,99999763658.17,236341.83,27,116.0,4188.32,3250.49,937.83,103146.51,75059.84,28086.67,100000000000,99999779904.09,220095.91,7,24.0,4339.71,3889.71,450.0,52478.24,46918.24,5560.0,100000000000,99999853920.31,146079.69,3,6.0,4263.34,4226.34,37.0,55906.44,55266.44,640.0,100000000000,99999919203.74,80796.26,12,44.0,4711.46,4121.3,590.17,107415.3,94781.97,12633.33,100000000000,99999868520.09,131479.91,20,60.0,12467.03,11908.87,558.17,53305.08,50202.08,3103.0,100000000000,99999849249.6,150750.4,9,48.0,5525.36,4905.36,620.0,66062.19,58622.19,7440.0,100000000000,99999885287.56,114712.44,16,66.0,19974.03,13872.53,6101.5,55378.43,49025.43,6353.0,100000000000,99999868671.18,131328.82,5,16.0,7465.57,7045.57,420.0,102996.81,95956.81,7040.0,100000000000,99999890592.71,109407.29,3,12.0,6735.44,6415.44,320.0,69237.24,66717.24,2520.0,100000000000,99999836616.76,163383.24
10,100,92804,28.96157670021057,0.0,580.0,0.7854998024496247,100,0,4000.0,109094.18999999999,19650.0,19770.0,0,10000.0,1230427.76,118480.0,120040.01,0,512672.99,1000000000000,512672.99,8653111.8,0,100,23,112.0,12625.31,9459.47,3165.83,108919.64,97539.64,11380.0,100000000000,99997721701.71,2278298.29,5,22.0,4196.45,3846.62,349.83,91239.89,80793.22,10446.67,100000000000,99999740385.57,259614.43,5,20.0,7994.27,7715.11,279.17,114195.9,109489.23,4706.67,100000000000,99996524684.33,3475315.67,7,20.0,11662.07,11312.07,350.0,126030.41,120413.75,5616.67,100000000000,99999017352.31,982647.69,11,54.0,12077.88,11971.88,106.0,163854.94,155334.94,8520.0,100000000000,99999604585.69,395414.31,13,48.0,6335.28,5370.28,965.0,98917.53,80757.53,18160.0,100000000000,99999709920.3,290079.7,24,114.0,6211.88,4714.38,1497.5,146784.18,112924.18,33860.0,100000000000,99999781745.46,218254.54,24,92.0,18597.49,11339.99,7257.5,129434.97,113621.64,15813.33,100000000000,99999742993.12,257006.88,10,44.0,12378.83,10412.16,1966.67,109451.06,104851.06,4600.0,100000000000,99999778970.98,221029.02,19,54.0,17014.73,13182.23,3832.5,141599.24,134662.57,6936.67,100000000000,99999724548.73,275451.27
10,100,98318,31.6329607963562,0.0,566.0,0.6189284662937886,100,0,1000.0,126003.71000000002,10014.0,10551.49,0,9600.0,775476.78,117510.0,123450.0,0,494911.91,1000000000000,494911.91,4974791.35,0,100,9,26.0,12769.9,12111.57,658.33,68749.91,66952.41,1797.5,100000000000,99999426725.46,573274.54,4,10.0,18773.94,18238.94,535.0,59880.46,59047.96,832.5,100000000000,99999761399.77,238600.23,5,12.0,10456.03,9856.03,600.0,86161.82,81471.82,4690.0,100000000000,99999026314.7,973685.3,4,12.0,19172.21,18692.21,480.0,93600.85,91000.85,2600.0,100000000000,99998916298.8,1083701.2,33,116.0,6275.96,4881.48,1394.48,76521.12,44421.12,32100.0,100000000000,99999524060.87,475939.13,33,130.0,9900.41,8024.23,1876.18,104861.35,71001.35,33860.0,100000000000,99999681486.66,318513.34,16,76.0,8726.46,7099.79,1626.67,59760.15,50000.15,9760.0,100000000000,99999773393.84,226606.16,14,46.0,4401.77,3285.93,1115.83,50953.38,28043.38,22910.0,100000000000,99999558834.11,441165.89,25,124.0,16757.4,14512.4,2245.0,104968.05,90148.05,14820.0,100000000000,99999513903.27,486096.73,2,14.0,18769.63,18749.63,20.0,70019.69,69939.69,80.0,100000000000,99999842791.17,157208.83
10,100,65444,20.619455814361572,0.0,584.0,0.4077944325481799,100,0,2000.0,105486.73,15540.0,15540.0,0,9000.0,2530637.6100000003,157220.0,157220.0,0,498473.98,1000000000000,498473.98,1781135.22,0,100,0,0,10232.67,10232.67,0,296751.97,296751.97,0,100000000000,99999890435.27,109564.73,13,54.0,9619.8,8469.8,1150.0,229566.2,202106.2,27460.0,100000000000,99999659903.04,340096.96,15,72.0,6101.13,5973.63,127.5,303304.89,295084.89,8220.0,100000000000,99999834865.76,165134.24,54,258.0,18004.66,7304.66,10700.0,196287.44,134077.44,62210.0,100000000000,99999638850.69,361149.31,2,10.0,8350.01,8190.01,160.0,231845.08,228005.08,3840.0,100000000000,99999942881.82,57118.18,16,60.0,15704.5,14626.16,1078.33,308531.12,284334.46,24196.67,100000000000,99999774792.35,225207.65,1,2.0,7357.62,7356.62,1.0,213371.62,213251.62,120.0,100000000000,99999922354.42,77645.58,3,8.0,4729.75,4724.25,5.5,180620.46,180080.46,540.0,100000000000,99999943914.39,56085.61,33,118.0,18031.69,15715.02,2316.67,315100.77,284587.43,30513.33,100000000000,99999671628.16,328371.84,1,2.0,7354.9,7353.9,1.0,255258.06,255138.06,120.0,100000000000,99999939238.88,60761.12
10,100,72260,20.98362970352173,0.0,632.0,0.5617152017098584,100,0,2000.0,127252.25999999998,15245.0,15552.99,0,9000.0,807839.3900000001,108640.0,112720.0,0,552717.54,1000000000000,552717.54,3291345.92,0,100,11,44.0,10116.01,8127.67,1988.33,52821.95,50055.28,2766.67,100000000000,99999476902.62,523097.38,2,6.0,17755.66,17252.32,503.33,85493.19,81973.19,3520.0,100000000000,99999105981.04,894018.96,9,44.0,7841.65,5421.65,2420.0,62686.16,41506.16,21180.0,100000000000,99999698884.41,301115.59,43,212.0,6353.35,5343.1,1010.25,114142.53,81719.2,32423.33,100000000000,99999689098.06,310901.94,8,24.0,14834.01,14259.01,575.0,103019.24,99569.24,3450.0,100000000000,99999879725.56,120274.44,26,96.0,10041.64,8886.39,1155.25,96902.36,79365.7,17536.67,100000000000,99999803047.8,196952.2,3,8.0,19456.96,18965.29,491.67,87219.6,86239.6,980.0,100000000000,99999841039.11,158960.89,29,144.0,17983.18,14874.85,3108.33,93984.9,75334.9,18650.0,100000000000,99999759139.63,240860.37,7,22.0,5831.54,5249.04,582.5,55200.54,48260.54,6940.0,100000000000,99999652916.98,347083.02,7,32.0,17038.26,13319.93,3718.33,56368.92,51095.58,5273.33,100000000000,99999801918.87,198081.13
10,100,64300,21.472885131835938,0.0,562.0,0.520458212326557,99,1,1600.0,124418.14,10850.0,10910.0,100.0,6000.0,815663.33,103060.0,103480.0,1800.0,529378.96,1000000000000,523987.88,3125460.98,5391.08,69,0,0,11714.6,11664.6,50.0,85057.02,84757.02,300.0,100000000000,99999747174.75,252825.25,25,106.0,10047.22,8519.72,1527.5,87601.72,69661.72,17940.0,100000000000,99999613914.93,386085.07,9,48.0,13481.09,10829.09,2652.0,59793.57,56009.57,3784.0,100000000000,99999892742.81,107257.19,13,48.0,8979.44,7144.19,1835.25,80911.55,59521.55,21390.0,100000000000,99999676780.86,323219.14,3,12.0,19359.37,19341.37,18.0,100311.82,100255.82,56.0,100000000000,99999952223.56,47776.44,26,112.0,9227.4,6939.06,2288.33,56325.06,42505.06,13820.0,100000000000,99999654381.95,345618.05,1,2.0,17388.36,17383.36,5.0,91450.37,91430.37,20.0,100000000000,99999603547.97,396452.03,13,44.0,11518.51,10701.84,816.67,67173.88,62273.88,4900.0,100000000000,99999622946.81,377053.19,37,190.0,4725.6,3008.35,1717.25,90199.45,48929.45,41270.0,100000000000,99999513773.13,486226.87,0,0,17976.55,17976.55,0,96838.89,96838.89,0,100000000000,99999597052.25,402947.75
10,100,88018,37.063669204711914,0.0,626.0,0.6428249224696927,99,1,750.0,111833.14000000004,12029.0,12140.0,5.0,9600.0,1378828.59,137085.0,137565.0,600.0,538521.46,1000000000000,530606.73,2528114.21,7914.73,45,4,14.0,7056.33,6916.33,140.0,135951.51,133251.51,2700.0,100000000000,99999868461.2,131538.8,46,246.0,18400.93,13716.26,4684.67,102253.23,80232.23,22021.0,100000000000,99999632779.51,367220.49,15,58.0,7181.26,6731.51,449.75,152342.85,134219.51,18123.33,100000000000,99999726290.08,273709.92,14,60.0,13960.41,11592.91,2367.5,170506.18,142056.18,28450.0,100000000000,99999815604.85,184395.15,17,54.0,19172.21,17586.88,1585.33,156001.41,146497.41,9504.0,100000000000,99999793471.5,206528.5,12,28.0,6275.96,5966.96,309.0,127535.2,118878.54,8656.67,100000000000,99999803111.89,196888.11,8,40.0,9900.41,9314.41,586.0,174768.91,164438.91,10330.0,100000000000,99999678373.37,321626.63,10,36.0,8726.46,7826.46,900.0,99600.25,89480.25,10120.0,100000000000,99999498366.69,501633.31,19,78.0,4401.77,3476.52,925.25,84922.3,58252.3,26670.0,100000000000,99999772931.89,227068.11,6,12.0,16757.4,16564.9,192.5,174946.75,173956.75,990.0,100000000000,99999882494.81,117505.19
