n_nodes,n_req,n_msg,exec_time,alpha,tot_utility,jaini,count_assigned,count_unassigned,tot_gpu_jobs,tot_gpu_nodes,assigned_sum_gpu,tot_used_gpu,unassigned_sum_gpu,tot_cpu_jobs,tot_cpu_nodes,assigned_sum_cpu,tot_used_cpu,unassigned_sum_cpu,tot_bw_jobs,tot_bw_nodes,assigned_sum_bw,tot_used_bw,unassigned_sum_bw,first_failure_after,node_0_jobs,node_0_utility,node_0_initial_gpu,node_0_updated_gpu,node_0_used_gpu,node_0_initial_cpu,node_0_updated_cpu,node_0_used_cpu,node_0_initial_bw,node_0_updated_bw,node_0_used_bw,node_1_jobs,node_1_utility,node_1_initial_gpu,node_1_updated_gpu,node_1_used_gpu,node_1_initial_cpu,node_1_updated_cpu,node_1_used_cpu,node_1_initial_bw,node_1_updated_bw,node_1_used_bw,node_2_jobs,node_2_utility,node_2_initial_gpu,node_2_updated_gpu,node_2_used_gpu,node_2_initial_cpu,node_2_updated_cpu,node_2_used_cpu,node_2_initial_bw,node_2_updated_bw,node_2_used_bw,node_3_jobs,node_3_utility,node_3_initial_gpu,node_3_updated_gpu,node_3_used_gpu,node_3_initial_cpu,node_3_updated_cpu,node_3_used_cpu,node_3_initial_bw,node_3_updated_bw,node_3_used_bw,node_4_jobs,node_4_utility,node_4_initial_gpu,node_4_updated_gpu,node_4_used_gpu,node_4_initial_cpu,node_4_updated_cpu,node_4_used_cpu,node_4_initial_bw,node_4_updated_bw,node_4_used_bw,node_5_jobs,node_5_utility,node_5_initial_gpu,node_5_updated_gpu,node_5_used_gpu,node_5_initial_cpu,node_5_updated_cpu,node_5_used_cpu,node_5_initial_bw,node_5_updated_bw,node_5_used_bw,node_6_jobs,node_6_utility,node_6_initial_gpu,node_6_updated_gpu,node_6_used_gpu,node_6_initial_cpu,node_6_updated_cpu,node_6_used_cpu,node_6_initial_bw,node_6_updated_bw,node_6_used_bw,node_7_jobs,node_7_utility,node_7_initial_gpu,node_7_updated_gpu,node_7_used_gpu,node_7_initial_cpu,node_7_updated_cpu,node_7_used_cpu,node_7_initial_bw,node_7_updated_bw,node_7_used_bw,node_8_jobs,node_8_utility,node_8_initial_gpu,node_8_updated_gpu,node_8_used_gpu,node_8_initial_cpu,node_8_updated_cpu,node_8_used_cpu,node_8_initial_bw,node_8_updated_bw,node_8_used_bw,node_9_jobs,node_9_utility,node_9_initial_gpu,node_9_updated_gpu,node_9_used_gpu,node_9_initial_cpu,node_9_updated_cpu,node_9_used_cpu,node_9_initial_bw,node_9_updated_bw,node_9_used_bw
10,100,34796,20.192984104156494,0.0,149.53,0.7965821389195149,49,51,1000.0,11154.18,3930.0,4064.99,6700.0,10000.0,75646.08,48600.0,50040.0,73200.0,494592.18,1000000000000,235727.45,1852211.0,258864.73,46,9,18.49,1281.69,836.69,445.0,5933.93,1923.93,4010.0,100000000000,99999861439.9,138560.1,6,4.55,716.29,553.79,162.5,7468.82,5495.49,1973.33,100000000000,99999725039.09,274960.91,5,12.53,1821.44,1556.44,265.0,5659.93,2839.93,2820.0,100000000000,99999882194.39,117805.61,5,11.39,1063.59,815.26,248.33,6526.2,4189.53,2336.67,100000000000,99999761815.81,238184.19,3,4.15,1040.34,818.68,221.67,8132.02,3328.69,4803.33,100000000000,99999837416.3,162583.7,6,5.62,1023.27,629.93,393.33,9891.73,3331.73,6560.0,100000000000,99999647392.6,352607.4,7,10.87,961.98,573.65,388.33,7652.21,1012.21,6640.0,100000000000,99999895608.11,104391.89,15,21.54,610.11,30.11,580.0,10110.16,2013.5,8096.67,100000000000,99999930148.97,69851.03,14,31.04,1800.47,1085.47,715.0,6542.91,882.91,5660.0,100000000000,99999850733.97,149266.03,15,29.36,835.0,189.17,645.83,7728.17,588.17,7140.0,100000000000,99999755999.86,244000.14
10,100,19294,20.15925407409668,0.0,174.92,0.8311688311688312,49,51,2000.0,12170.300000000001,9765.0,9765.01,7125.0,8000.0,165930.59,70460.0,70460.0,94300.0,460845.12,1000000000000,231173.05,590746.38,229672.08,46,12,31.83,1889.66,79.33,1810.33,19215.66,12649.0,6566.67,100000000000,99999941540.67,58459.33,14,38.95,753.34,0.68,752.67,15910.6,10117.27,5793.33,100000000000,99999938862.8,61137.2,7,10.85,1605.9,385.07,1220.83,11729.6,6742.93,4986.67,100000000000,99999935054.54,64945.46,9,13.79,1464.63,165.46,1299.17,15847.39,7880.73,7966.67,100000000000,99999936453.13,63546.87,5,15.78,645.4,190.4,455.0,14565.69,9845.69,4720.0,100000000000,99999879097.92,120902.08,3,6.58,1301.01,659.35,641.67,19264.71,12931.38,6333.33,100000000000,99999952653.32,47346.68,3,4.07,1842.4,492.4,1350.0,11978.14,4778.14,7200.0,100000000000,99999965626.36,34373.64,8,18.77,489.68,8.52,481.17,17379.22,7439.22,9940.0,100000000000,99999960868.64,39131.36,7,16.61,743.84,192.18,551.67,20305.85,16155.85,4150.0,100000000000,99999946879.46,53120.54,12,17.68,1434.44,231.94,1202.5,19733.73,6930.4,12803.33,100000000000,99999952216.78,47783.22
10,100,33590,20.350651025772095,0.0,260.05,0.927373935821873,69,31,2000.0,11948.09,7394.0,7394.01,10005.0,9000.0,129136.33,69360.0,69360.0,74200.0,490991.57,1000000000000,337939.46,1901377.99,153052.11,59,10,24.31,847.33,59.0,788.33,12592.79,5852.79,6740.0,100000000000,99999836499.57,163500.43,13,23.29,1348.11,743.94,604.17,9965.59,3742.26,6223.33,100000000000,99999749961.28,250038.72,11,13.86,897.94,458.44,439.5,13485.26,8425.26,5060.0,100000000000,99999767302.32,232697.68,17,21.13,1935.94,424.27,1511.67,16718.64,4061.97,12656.67,100000000000,99999831739.2,168260.8,10,21.86,922.74,634.07,288.67,9387.51,3947.51,5440.0,100000000000,99999770847.34,229152.66,17,37.23,1738.84,1043.34,695.5,15241.73,4001.73,11240.0,100000000000,99999742467.12,257532.88,11,18.63,1151.85,461.85,690.0,11195.65,6605.65,4590.0,100000000000,99999760072.82,239927.18,7,22.6,472.56,25.14,447.42,15033.24,10463.24,4570.0,100000000000,99999926569.23,73430.77,15,48.39,1797.66,186.91,1610.75,16139.81,5467.81,10672.0,100000000000,99999878268.04,121731.96,8,28.75,835.12,517.12,318.0,9376.11,7208.11,2168.0,100000000000,99999834895.09,165104.91
10,100,49882,24.09467339515686,0.0,203.95,0.8947384155455904,84,16,750.0,11465.08,8010.0,8010.01,2850.0,9600.0,149212.99000000002,94220.0,94220.0,42800.0,494228.68,1000000000000,427611.51,2387626.24,66617.17,65,8,2.19,1041.25,378.75,662.5,12540.95,740.95,11800.0,100000000000,99999835419.36,164580.64,12,15.34,808.84,428.43,380.42,14247.21,9437.21,4810.0,100000000000,99999804788.47,195211.53,28,20.04,1390.66,199.66,1191.0,17231.09,4037.09,13194.0,100000000000,99999750331.14,249668.86,19,18.7,1191.18,402.51,788.67,13566.92,5368.92,8198.0,100000000000,99999768327.37,231672.63,13,35.09,569.13,75.8,493.33,15618.85,10158.85,5460.0,100000000000,99999561703.64,438296.36,22,19.51,1474.75,211.08,1263.67,17398.64,4148.64,13250.0,100000000000,99999776034.0,223966.0,21,22.09,1688.85,569.77,1119.08,15861.02,4446.02,11415.0,100000000000,99999754411.93,245588.07,15,22.24,761.76,222.34,539.42,11061.71,5653.71,5408.0,100000000000,99999819060.05,180939.95,23,27.08,1803.17,643.17,1160.0,17505.6,3215.6,14290.0,100000000000,99999746771.05,253228.95,12,21.67,735.49,323.57,411.92,14181.0,7786.0,6395.0,100000000000,99999795526.75,204473.25
10,100,38750,22.069470643997192,0.0,219.36,0.8760081674323634,70,30,1600.0,13771.07,9784.0,9790.26,4500.0,8000.0,104311.76,69840.0,69990.01,47600.0,520186.36,1000000000000,376872.95,1899215.31,143313.41,61,7,14.57,625.42,40.83,584.58,11617.27,7630.6,3986.67,100000000000,99999961691.4,38308.6,11,13.1,1440.62,38.95,1401.67,12381.36,4441.36,7940.0,100000000000,99999917379.75,82620.25,14,19.57,1246.3,89.63,1156.67,11778.85,2062.18,9716.67,100000000000,99999867131.07,132868.93,23,47.73,889.26,120.93,768.33,10851.48,3018.14,7833.33,100000000000,99999860066.11,139933.89,5,14.47,1871.71,51.05,1820.67,9405.5,6525.5,2880.0,100000000000,99999968533.22,31466.78,17,23.87,1868.19,1187.19,681.0,8002.49,2032.49,5970.0,100000000000,99999784209.39,215790.61,13,23.93,1782.27,524.44,1257.83,7298.61,518.61,6780.0,100000000000,99999888708.65,111291.35,10,16.35,1980.72,1472.81,507.92,8117.41,2380.75,5736.67,100000000000,99999214873.92,785126.08,16,20.2,992.95,188.03,804.92,14514.81,2818.15,11696.67,100000000000,99999864075.7,135924.3,15,25.58,1073.63,266.96,806.67,10343.98,2893.98,7450.0,100000000000,99999774115.48,225884.52
10,100,40676,20.16059684753418,0.0,268.66,0.8800990916597853,68,32,5000.0,9704.460000000001,7495.0,7495.0,11605.0,10000.0,113296.4,64660.0,64660.01,54700.0,515129.19,1000000000000,357331.29,1479761.26,157797.9,44,20,50.42,1020.72,30.3,990.42,11938.05,2053.05,9885.0,100000000000,99999861579.42,138420.58,17,26.94,676.68,170.01,506.67,7255.47,1685.47,5570.0,100000000000,99999848403.21,151596.79,21,42.4,1205.31,89.47,1115.83,13156.9,6365.23,6791.67,100000000000,99999831608.52,168391.48,17,29.23,832.76,225.68,607.08,15105.03,6950.03,8155.0,100000000000,99999761546.58,238453.42,11,28.72,1037.98,451.14,586.83,13595.17,7295.17,6300.0,100000000000,99999810205.53,189794.47,18,27.33,1611.82,295.32,1316.5,10968.21,3541.54,7426.67,100000000000,99999828897.0,171103.0,3,3.78,998.23,298.23,700.0,8233.99,5967.33,2266.67,100000000000,99999895234.3,104765.7,8,9.1,777.68,236.01,541.67,7676.91,3616.91,4060.0,100000000000,99999918037.55,81962.45,17,17.91,1073.63,343.21,730.42,10343.98,1328.98,9015.0,100000000000,99999858997.48,141002.52,14,32.81,469.65,70.06,399.58,15022.69,9832.69,5190.0,100000000000,99999905729.15,94270.85
10,100,33298,20.1504545211792,0.0,204.77,0.8107301587301587,69,31,1600.0,13182.36,5275.0,5285.0,4615.0,9000.0,77757.54000000001,54860.0,54980.01,46600.0,520497.22,1000000000000,366825.59,1237660.0,153671.63,38,14,19.72,707.3,219.8,487.5,8599.82,2779.82,5820.0,100000000000,99999857854.95,142145.05,15,26.4,1883.32,1289.99,593.33,7900.06,2560.06,5340.0,100000000000,99999853874.89,146125.11,7,6.33,1763.4,1607.56,155.83,5355.12,3158.45,2196.67,100000000000,99999894214.83,105785.17,12,12.37,1623.63,1161.13,462.5,5227.13,1780.46,3446.67,100000000000,99999879001.01,120998.99,10,23.56,705.63,296.47,409.17,8157.09,2797.09,5360.0,100000000000,99999821644.75,178355.25,1,1.96,1840.09,1340.09,500.0,6135.19,135.19,6000.0,100000000000,99999958924.64,41075.36,12,38.58,718.13,320.63,397.5,9140.57,4720.57,4420.0,100000000000,99999867164.99,132835.01,6,18.04,1396.04,213.54,1182.5,10230.37,2700.37,7530.0,100000000000,99999926876.16,73123.84,22,34.2,1917.22,1229.72,687.5,9360.08,113.42,9246.67,100000000000,99999858745.42,141254.58,14,23.61,627.6,218.43,409.17,7652.11,2032.11,5620.0,100000000000,99999844038.36,155961.64
10,100,22310,20.108163833618164,0.0,186.73,0.8280788177339902,46,54,2000.0,13936.83,11540.0,11540.01,8975.0,10000.0,93213.37,40220.0,40220.01,75700.0,526797.54,1000000000000,230389.46,861810.41,296408.08,42,4,6.35,1774.01,600.68,1173.33,11535.7,3415.7,8120.0,100000000000,99999883218.96,116781.04,6,13.4,821.33,425.91,395.42,9251.16,7301.16,1950.0,100000000000,99999958694.35,41305.65,7,20.9,729.98,3.32,726.67,10162.57,7482.57,2680.0,100000000000,99999903339.69,96660.31,10,22.52,1263.8,108.8,1155.0,7460.25,3033.58,4426.67,100000000000,99999880929.43,119070.57,9,16.01,1933.14,569.8,1363.33,7522.95,4042.95,3480.0,100000000000,99999877869.32,122130.68,4,13.88,1003.14,136.47,866.67,13814.31,10654.31,3160.0,100000000000,99999933509.59,66490.41,11,30.22,889.26,347.6,541.67,10213.15,3566.49,6646.67,100000000000,99999852340.6,147659.4,11,18.26,1871.71,20.46,1851.25,8852.24,5955.57,2896.67,100000000000,99999957839.64,42160.36,16,39.14,1868.19,143.19,1725.0,7531.76,2471.76,5060.0,100000000000,99999901746.79,98253.21,4,6.06,1782.27,40.6,1741.67,6869.28,5069.28,1800.0,100000000000,99999988701.22,11298.78
10,100,64400,23.70647358894348,0.0,183.33,0.7879382889200561,50,50,4000.0,9897.08,4915.0,4965.01,14660.0,8000.0,133136.58,48040.0,48520.01,84420.0,507625.6,1000000000000,253194.97,3410799.49,254430.63,14,8,21.68,846.5,489.5,357.0,15805.79,12285.79,3520.0,100000000000,99999581648.8,418351.2,4,2.03,1329.21,1134.21,195.0,10057.24,6870.57,3186.67,100000000000,99999780085.03,219914.97,15,23.22,644.6,174.94,469.67,8630.35,6019.02,2611.33,100000000000,99999149384.32,850615.68,14,23.07,735.49,112.32,623.17,14181.0,6743.0,7438.0,100000000000,99999642072.5,357927.5,19,32.72,992.95,270.78,722.17,17076.25,7406.25,9670.0,100000000000,99999839439.51,160560.49,15,26.83,1073.63,210.29,863.33,12169.39,7758.72,4410.67,100000000000,99999759526.55,240473.45,11,31.97,469.65,175.31,294.33,17673.76,13613.76,4060.0,100000000000,99999908465.6,91534.4,0,0,1319.71,1314.71,5.0,8440.72,8320.72,120.0,100000000000,99999619129.09,380870.91,13,9.47,1330.39,351.72,978.67,16555.2,8348.53,8206.67,100000000000,99999891918.08,108081.92,7,12.34,1154.95,698.28,456.67,12546.88,7250.22,5296.67,100000000000,99999417531.03,582468.97
10,100,40978,20.331154584884644,0.0,226.41,0.8732539252842447,62,38,1600.0,13189.58,9550.0,10189.99,6555.0,9600.0,141664.13,64640.0,72320.0,46400.0,512277.75,1000000000000,332478.97,3253659.16,179798.78,52,22,26.5,1922.59,425.0,1497.58,15977.39,4504.39,11473.0,100000000000,99999826109.48,173890.52,9,25.92,1247.53,-74.14,1321.67,16080.2,9100.2,6980.0,100000000000,99999929805.14,70194.86,9,23.08,1572.87,12.87,1560.0,15255.67,10095.67,5160.0,100000000000,99999796321.77,203678.23,6,3.8,1634.55,654.55,980.0,8950.12,1130.12,7820.0,100000000000,99999932598.04,67401.96,8,29.95,631.18,39.34,591.83,11694.98,8694.98,3000.0,100000000000,99999905425.1,94574.9,18,23.29,1821.23,516.31,1304.92,11999.94,3434.94,8565.0,100000000000,99999881886.6,118113.4,11,32.18,663.67,47.84,615.83,13690.71,10740.71,2950.0,100000000000,99999906655.66,93344.34,16,13.08,1602.38,500.05,1102.33,17968.37,6416.37,11552.0,100000000000,99999861473.62,138526.38,16,20.54,1674.75,817.67,857.08,12855.67,3405.67,9450.0,100000000000,99999873148.9,126851.1,12,28.08,418.83,60.08,358.75,17191.08,11821.08,5370.0,100000000000,99997832916.53,2167083.47
