n_nodes,n_req,n_msg,exec_time,alpha,tot_utility,jaini,count_assigned,count_unassigned,tot_gpu_jobs,tot_gpu_nodes,assigned_sum_gpu,tot_used_gpu,unassigned_sum_gpu,tot_cpu_jobs,tot_cpu_nodes,assigned_sum_cpu,tot_used_cpu,unassigned_sum_cpu,tot_bw_jobs,tot_bw_nodes,assigned_sum_bw,tot_used_bw,unassigned_sum_bw,first_failure_after,node_0_jobs,node_0_utility,node_0_initial_gpu,node_0_updated_gpu,node_0_used_gpu,node_0_initial_cpu,node_0_updated_cpu,node_0_used_cpu,node_0_initial_bw,node_0_updated_bw,node_0_used_bw,node_1_jobs,node_1_utility,node_1_initial_gpu,node_1_updated_gpu,node_1_used_gpu,node_1_initial_cpu,node_1_updated_cpu,node_1_used_cpu,node_1_initial_bw,node_1_updated_bw,node_1_used_bw,node_2_jobs,node_2_utility,node_2_initial_gpu,node_2_updated_gpu,node_2_used_gpu,node_2_initial_cpu,node_2_updated_cpu,node_2_used_cpu,node_2_initial_bw,node_2_updated_bw,node_2_used_bw,node_3_jobs,node_3_utility,node_3_initial_gpu,node_3_updated_gpu,node_3_used_gpu,node_3_initial_cpu,node_3_updated_cpu,node_3_used_cpu,node_3_initial_bw,node_3_updated_bw,node_3_used_bw,node_4_jobs,node_4_utility,node_4_initial_gpu,node_4_updated_gpu,node_4_used_gpu,node_4_initial_cpu,node_4_updated_cpu,node_4_used_cpu,node_4_initial_bw,node_4_updated_bw,node_4_used_bw,node_5_jobs,node_5_utility,node_5_initial_gpu,node_5_updated_gpu,node_5_used_gpu,node_5_initial_cpu,node_5_updated_cpu,node_5_used_cpu,node_5_initial_bw,node_5_updated_bw,node_5_used_bw,node_6_jobs,node_6_utility,node_6_initial_gpu,node_6_updated_gpu,node_6_used_gpu,node_6_initial_cpu,node_6_updated_cpu,node_6_used_cpu,node_6_initial_bw,node_6_updated_bw,node_6_used_bw,node_7_jobs,node_7_utility,node_7_initial_gpu,node_7_updated_gpu,node_7_used_gpu,node_7_initial_cpu,node_7_updated_cpu,node_7_used_cpu,node_7_initial_bw,node_7_updated_bw,node_7_used_bw,node_8_jobs,node_8_utility,node_8_initial_gpu,node_8_updated_gpu,node_8_used_gpu,node_8_initial_cpu,node_8_updated_cpu,node_8_used_cpu,node_8_initial_bw,node_8_updated_bw,node_8_used_bw,node_9_jobs,node_9_utility,node_9_initial_gpu,node_9_updated_gpu,node_9_used_gpu,node_9_initial_cpu,node_9_updated_cpu,node_9_used_cpu,node_9_initial_bw,node_9_updated_bw,node_9_used_bw
10,100,30068,20.457064628601074,0.0,366.0,0.9470407378939277,59,41,1600.0,11339.470000000001,4825.0,4843.76,5515.0,3600.0,68721.49,44810.0,45260.0,40200.0,522987.56,1000000000000,298743.25,1309858.78,224244.31,51,9,28.0,1075.68,785.43,290.25,8108.25,5594.25,2514.0,100000000000,99999849388.29,150611.71,11,46.0,466.04,60.62,405.42,6876.49,403.16,6473.33,100000000000,99999903976.33,96023.67,18,52.0,1321.15,585.56,735.58,7968.56,3350.56,4618.0,100000000000,99999893872.26,106127.74,10,36.0,894.23,570.48,323.75,4879.43,2639.43,2240.0,100000000000,99999850614.68,149385.32,12,56.0,819.53,286.62,532.92,10544.38,707.71,9836.67,100000000000,99999875939.84,124060.16,12,38.0,1865.73,1410.14,455.58,6922.37,1404.37,5518.0,100000000000,99999917951.64,82048.36,8,20.0,1520.18,1191.51,328.67,6504.23,1924.23,4580.0,100000000000,99999935545.74,64454.26,9,24.0,1650.16,890.99,759.17,5280.39,3170.39,2110.0,100000000000,99999882168.56,117831.44,11,36.0,1107.91,486.25,621.67,6503.37,2773.37,3730.0,100000000000,99999726154.99,273845.01,11,30.0,618.86,228.11,390.75,5134.02,1494.02,3640.0,100000000000,99999854528.89,145471.11
10,100,44520,22.97954297065735,0.0,332.0,0.8499628804751299,54,46,4000.0,10025.779999999999,6740.0,6770.01,8335.0,9000.0,71332.02,45520.0,45800.0,65600.0,503703.28,1000000000000,278070.91,2132450.86,225632.37,23,16,46.0,1483.63,249.46,1234.17,9221.45,2331.45,6890.0,100000000000,99999635763.7,364236.3,17,42.0,1164.13,413.29,750.83,5485.24,2035.24,3450.0,100000000000,99999613129.64,386870.36,5,14.0,426.33,312.17,114.17,5590.64,3770.64,1820.0,100000000000,99999871612.34,128387.66,13,52.0,471.15,88.48,382.67,10741.53,971.53,9770.0,100000000000,99999771678.78,228321.22,4,8.0,1246.7,797.54,449.17,5330.51,4660.51,670.0,100000000000,99999835195.96,164804.04,12,28.0,552.54,405.54,147.0,6606.22,3926.22,2680.0,100000000000,99999885594.63,114405.37,8,38.0,1997.4,82.9,1914.5,5537.84,677.84,4860.0,100000000000,99999903505.43,96494.57,8,34.0,746.56,299.47,447.08,10299.68,1869.68,8430.0,100000000000,99999840870.83,159129.17,8,26.0,673.54,385.63,287.92,6923.72,4193.72,2730.0,100000000000,99999642301.67,357698.33,16,44.0,1263.8,221.3,1042.5,5595.19,1095.19,4500.0,100000000000,99999867896.16,132103.84
10,100,26056,20.408666610717773,0.0,220.0,0.7211267605633803,41,59,1000.0,11360.910000000002,3820.0,3859.99,6349.0,9000.0,80090.23000000001,35280.0,36240.0,73800.0,615004.75,1000000000000,227178.43,1392034.41,387826.32,32,3,10.0,580.73,456.73,124.0,5585.11,3905.11,1680.0,100000000000,99999711981.45,288018.55,3,8.0,1720.62,1702.29,18.33,6150.72,6014.05,136.67,100000000000,99999855016.66,144983.34,4,12.0,1677.84,1587.84,90.0,9298.95,7898.95,1400.0,100000000000,99999641271.44,358728.56,5,14.0,633.07,498.07,135.0,7529.56,4329.56,3200.0,100000000000,99999909117.51,90882.49,1,2.0,1423.24,1389.91,33.33,10060.05,9860.05,200.0,100000000000,99999938824.46,61175.54,9,38.0,729.3,355.96,373.33,8684.0,2320.67,6363.33,100000000000,99999844595.13,155404.87,5,14.0,1840.36,650.36,1190.0,9628.5,3698.5,5930.0,100000000000,99999932351.16,67648.84,8,32.0,1180.45,788.78,391.67,10133.68,4793.68,5340.0,100000000000,99999928624.89,71375.11,13,52.0,999.69,11.35,988.33,6305.73,125.73,6180.0,100000000000,99999932315.5,67684.5,13,38.0,575.61,59.61,516.0,6713.93,903.93,5810.0,100000000000,99999913867.39,86132.61
10,100,24780,20.304017305374146,0.0,260.0,0.698005698005698,48,52,1600.0,14917.68,7740.0,7840.0,6010.0,8000.0,72889.09000000001,43640.0,46040.0,64400.0,479339.22,1000000000000,239373.65,1396061.76,239965.57,42,15,58.0,1971.32,565.65,1405.67,10427.47,384.14,10043.33,100000000000,99999893334.75,106665.25,4,12.0,1494.79,1243.95,250.83,5375.02,2285.02,3090.0,100000000000,99999965767.35,34232.65,7,30.0,1650.49,1232.99,417.5,8170.96,1600.96,6570.0,100000000000,99999928202.07,71797.93,10,30.0,1298.53,563.37,735.17,9611.6,2501.6,7110.0,100000000000,99999863430.06,136569.94,4,18.0,804.79,519.79,285.0,5225.94,3515.94,1710.0,100000000000,99999957547.05,42452.95,1,2.0,1868.19,1334.86,533.33,5648.82,5382.15,266.67,100000000000,99999410164.92,589835.08,1,4.0,1782.27,715.6,1066.67,5151.96,4618.63,533.33,100000000000,99999807637.34,192362.66,10,40.0,1980.72,39.89,1940.83,5729.94,259.94,5470.0,100000000000,99999924236.7,75763.3,13,48.0,992.95,162.95,830.0,10245.75,1249.08,8996.67,100000000000,99999891549.54,108450.46,5,18.0,1073.63,698.63,375.0,7301.63,5051.63,2250.0,100000000000,99999962068.46,37931.54
10,100,83848,28.554100036621094,0.0,490.0,0.7559104106180008,73,27,2000.0,13039.25,5720.0,5722.0,4640.0,8000.0,132071.66,72840.0,72844.0,43400.0,522653.09,1000000000000,381989.93,4390146.76,140663.16,59,14,40.0,1723.47,1160.22,563.25,10127.63,5901.96,4225.67,100000000000,99999708784.21,291215.79,15,52.0,452.86,134.28,318.58,14584.41,1934.41,12650.0,100000000000,99999837832.57,162167.43,29,114.0,1675.74,706.74,969.0,17494.68,3366.68,14128.0,100000000000,99999675957.73,324042.27,19,66.0,1876.96,1046.46,830.5,11669.95,5554.61,6115.33,100000000000,99999786548.66,213451.34,1,2.0,1247.56,1237.56,10.0,12469.05,12349.05,120.0,100000000000,99999419787.65,580212.35,7,32.0,1173.49,750.66,422.83,15440.73,9386.73,6054.0,100000000000,99999886133.48,113866.52,5,18.0,1368.38,723.38,645.0,9487.98,7137.98,2350.0,100000000000,99999136815.33,863184.67,12,48.0,1687.02,1102.77,584.25,10876.39,7205.39,3671.0,100000000000,99999586185.61,413814.39,13,46.0,593.07,157.4,435.67,14438.63,4078.63,10360.0,100000000000,99999614490.31,385509.69,20,72.0,1240.7,297.78,942.92,15482.21,2312.21,13170.0,100000000000,99998957317.69,1042682.31
10,100,60778,23.429444551467896,0.0,508.0,0.8316774658027358,91,9,4000.0,13389.8,8484.0,8529.0,5200.0,9600.0,139976.93,95640.0,95999.99,23200.0,472757.95,1000000000000,445176.06,2340375.19,27581.89,55,16,52.0,1562.86,908.86,654.0,17922.59,6402.59,11520.0,100000000000,99999849044.38,150955.62,17,46.0,1246.09,187.42,1058.67,10251.97,1888.63,8363.33,100000000000,99999761256.7,238743.3,7,24.0,422.68,236.68,186.0,11967.05,3707.05,8260.0,100000000000,99999930151.03,69848.97,23,68.0,1495.33,697.0,798.33,17559.84,7386.5,10173.33,100000000000,99999719256.15,280743.85,19,60.0,1439.04,618.54,820.5,15110.71,5447.38,9663.33,100000000000,99999745070.76,254929.24,18,54.0,1555.21,881.88,673.33,14984.0,8344.0,6640.0,100000000000,99999671583.44,328416.56,5,16.0,1797.3,138.14,1659.17,14388.97,6378.97,8010.0,100000000000,99999628443.13,371556.87,20,82.0,1067.04,297.2,769.83,14371.46,1751.46,12620.0,100000000000,99999665450.11,334549.89,4,8.0,1117.23,717.23,400.0,12543.95,1623.95,10920.0,100000000000,99999887474.51,112525.49,23,98.0,1687.02,177.86,1509.17,10876.39,1046.39,9830.0,100000000000,99999801894.6,198105.4
10,100,32462,20.548579216003418,0.0,382.0,0.7613701784686241,62,38,1600.0,12407.810000000001,4415.0,4435.0,6135.0,10000.0,71796.43,54500.0,54620.0,57600.0,551947.32,1000000000000,350779.48,1668532.2,201167.84,47,18,70.0,816.43,131.93,684.5,8581.48,254.81,8326.67,100000000000,99999863369.42,136630.58,16,62.0,1976.6,1389.93,586.67,8681.61,1191.61,7490.0,100000000000,99999861835.63,138164.37,11,32.0,746.37,406.04,340.33,6761.69,1081.69,5680.0,100000000000,99999840600.7,159399.3,6,18.0,1214.09,1046.25,167.83,4838.95,3548.95,1290.0,100000000000,99999807507.02,192492.98,6,14.0,1989.39,1926.05,63.33,5254.0,4326.0,928.0,100000000000,99999865144.69,134855.31,1,2.0,716.29,416.29,300.0,7468.82,268.82,7200.0,100000000000,99999973295.64,26704.36,7,14.0,1821.44,1606.02,215.42,5659.93,2684.93,2975.0,100000000000,99999855803.18,144196.82,13,54.0,1063.59,285.26,778.33,6526.2,1786.2,4740.0,100000000000,99999629999.68,370000.32,13,44.0,1040.34,375.68,664.67,8132.02,1130.02,7002.0,100000000000,99999897057.68,102942.32,24,72.0,1023.27,389.35,633.92,9891.73,903.4,8988.33,100000000000,99999736854.16,263145.84
10,100,24040,20.44497847557068,0.0,292.64,0.8514060742407199,55,45,1600.0,9354.039999999999,6865.0,6885.0,8660.0,8000.0,98612.17,56400.0,56520.0,77400.0,459673.42,1000000000000,249676.04,519433.34,209997.38,33,12,48.0,1937.25,892.25,1045.0,10786.04,2796.04,7990.0,100000000000,99999916296.31,83703.69,13,36.0,1123.31,393.31,730.0,8267.6,2227.6,6040.0,100000000000,99999924554.55,75445.45,3,6.7,418.83,128.83,290.0,13752.87,12366.2,1386.67,100000000000,99999973810.68,26189.32,6,15.94,433.97,153.97,280.0,6997.1,2063.77,4933.33,100000000000,99999943915.31,56084.69,7,22.0,426.33,49.67,376.67,7454.19,627.52,6826.67,100000000000,99999954389.8,45610.2,4,12.0,471.15,297.81,173.33,14322.04,12088.71,2233.33,100000000000,99999962320.5,37679.5,14,56.0,1246.7,80.04,1166.67,7107.34,107.34,7000.0,100000000000,99999940189.78,59810.22,7,22.0,552.54,119.2,433.33,8808.29,2208.29,6600.0,100000000000,99999969014.92,30985.08,11,42.0,1997.4,58.24,1939.17,7383.79,2100.46,5283.33,100000000000,99999937204.21,62795.79,10,32.0,746.56,295.72,450.83,13732.91,5506.24,8226.67,100000000000,99999958870.6,41129.4
10,100,30352,20.49953603744507,0.0,404.0,0.8182307232516437,67,33,1600.0,15699.68,4525.0,4665.01,6365.0,7200.0,72151.93,49310.0,51349.99,42600.0,536323.39,1000000000000,373417.0,1398836.12,162906.39,38,17,58.0,1855.63,1372.63,483.0,6564.47,1237.81,5326.67,100000000000,99999824214.35,175785.65,15,58.0,1971.32,1356.82,614.5,10427.47,1184.14,9243.33,100000000000,99999835936.45,164063.55,16,54.0,1494.79,882.45,612.33,5375.02,371.69,5003.33,100000000000,99999865242.86,134757.14,19,62.0,1650.49,1085.33,565.17,8170.96,2070.96,6100.0,100000000000,99999816211.63,183788.37,10,40.0,1298.53,275.62,1022.92,9611.6,1621.6,7990.0,100000000000,99999877324.26,122675.74,6,16.0,804.79,494.79,310.0,5225.94,1935.94,3290.0,100000000000,99999969250.8,30749.2,1,4.0,1868.19,1858.19,10.0,5648.82,5628.82,20.0,100000000000,99999834758.99,165241.01,6,22.0,1782.27,1603.1,179.17,5151.96,3808.63,1343.33,100000000000,99999844228.25,155771.75,12,32.0,1980.72,1646.56,334.17,5729.94,1316.61,4413.33,100000000000,99999853766.41,146233.59,15,58.0,992.95,459.2,533.75,10245.75,1625.75,8620.0,100000000000,99999880229.88,119770.12
10,100,122682,50.48906087875366,0.0,491.99,0.8610491407898704,72,28,1600.0,12872.71,8205.0,8211.0,6285.0,9600.0,78574.01999999999,48760.0,49360.0,69000.0,508019.52,1000000000000,386774.63,4753487.25,121244.9,46,14,42.0,1039.99,54.99,985.0,5369.43,1359.43,4010.0,100000000000,99999788707.18,211292.82,9,18.0,973.94,638.6,335.33,7609.05,4439.05,3170.0,100000000000,99999787664.23,212335.77,28,84.0,1718.09,1002.67,715.42,10171.25,3301.25,6870.0,100000000000,99999774102.33,225897.67,19,58.0,1298.87,610.7,688.17,10116.99,5106.99,5010.0,100000000000,99999762023.39,237976.61,10,36.0,1470.57,529.74,940.83,6321.59,3821.59,2500.0,100000000000,99999715446.09,284553.91,28,80.0,1722.76,390.51,1332.25,10643.82,4407.16,6236.67,100000000000,99999670862.43,329137.57,13,42.0,675.89,67.23,608.67,7736.79,513.46,7223.33,100000000000,99999881337.04,118662.96,13,32.0,841.47,643.97,197.5,6242.95,3362.95,2880.0,100000000000,99999619063.07,380936.93,12,36.0,1463.7,328.2,1135.5,7527.08,1887.08,5640.0,100000000000,99999803792.47,196207.53,23,64.0,1667.43,395.1,1272.33,6835.07,1015.07,5820.0,100000000000,99997443514.52,2556485.48
