n_nodes,n_req,n_msg,exec_time,alpha,tot_utility,jaini,count_assigned,count_unassigned,tot_gpu_jobs,tot_gpu_nodes,assigned_sum_gpu,tot_used_gpu,unassigned_sum_gpu,tot_cpu_jobs,tot_cpu_nodes,assigned_sum_cpu,tot_used_cpu,unassigned_sum_cpu,tot_bw_jobs,tot_bw_nodes,assigned_sum_bw,tot_used_bw,unassigned_sum_bw,first_failure_after,node_0_jobs,node_0_utility,node_0_initial_gpu,node_0_updated_gpu,node_0_used_gpu,node_0_initial_cpu,node_0_updated_cpu,node_0_used_cpu,node_0_initial_bw,node_0_updated_bw,node_0_used_bw,node_1_jobs,node_1_utility,node_1_initial_gpu,node_1_updated_gpu,node_1_used_gpu,node_1_initial_cpu,node_1_updated_cpu,node_1_used_cpu,node_1_initial_bw,node_1_updated_bw,node_1_used_bw,node_2_jobs,node_2_utility,node_2_initial_gpu,node_2_updated_gpu,node_2_used_gpu,node_2_initial_cpu,node_2_updated_cpu,node_2_used_cpu,node_2_initial_bw,node_2_updated_bw,node_2_used_bw,node_3_jobs,node_3_utility,node_3_initial_gpu,node_3_updated_gpu,node_3_used_gpu,node_3_initial_cpu,node_3_updated_cpu,node_3_used_cpu,node_3_initial_bw,node_3_updated_bw,node_3_used_bw,node_4_jobs,node_4_utility,node_4_initial_gpu,node_4_updated_gpu,node_4_used_gpu,node_4_initial_cpu,node_4_updated_cpu,node_4_used_cpu,node_4_initial_bw,node_4_updated_bw,node_4_used_bw,node_5_jobs,node_5_utility,node_5_initial_gpu,node_5_updated_gpu,node_5_used_gpu,node_5_initial_cpu,node_5_updated_cpu,node_5_used_cpu,node_5_initial_bw,node_5_updated_bw,node_5_used_bw,node_6_jobs,node_6_utility,node_6_initial_gpu,node_6_updated_gpu,node_6_used_gpu,node_6_initial_cpu,node_6_updated_cpu,node_6_used_cpu,node_6_initial_bw,node_6_updated_bw,node_6_used_bw,node_7_jobs,node_7_utility,node_7_initial_gpu,node_7_updated_gpu,node_7_used_gpu,node_7_initial_cpu,node_7_updated_cpu,node_7_used_cpu,node_7_initial_bw,node_7_updated_bw,node_7_used_bw,node_8_jobs,node_8_utility,node_8_initial_gpu,node_8_updated_gpu,node_8_used_gpu,node_8_initial_cpu,node_8_updated_cpu,node_8_used_cpu,node_8_initial_bw,node_8_updated_bw,node_8_used_bw,node_9_jobs,node_9_utility,node_9_initial_gpu,node_9_updated_gpu,node_9_used_gpu,node_9_initial_cpu,node_9_updated_cpu,node_9_used_cpu,node_9_initial_bw,node_9_updated_bw,node_9_used_bw
10,100,18035,130.22792625427246,0.0,239.82,0.8853707414829659,48,52,1000.0,235441.61000000002,4179.0,4179.0,6735.0,8000.0,3152004.67,62640.0,62639.99,74220.0,497003.86,791472.7000000001,236938.07,400841.45,260065.79,10,5,11.9,16207.86,15972.02,235.83,212209.88,207844.88,4365.0,79147.27,57925.81,21221.46,2,3.94,20877.99,20561.32,316.67,234402.69,226869.36,7533.33,79147.27,76297.74,2849.53,11,35.71,25780.8,25445.8,335.0,368134.35,362991.01,5143.33,79147.27,33332.99,45814.29,11,31.65,27791.43,27448.43,343.0,295611.28,290301.28,5310.0,79147.27,46618.14,32529.13,8,15.89,12905.05,12737.72,167.33,436220.57,428175.57,8045.0,79147.27,31436.91,47710.36,10,21.81,17148.57,16368.57,780.0,350811.67,344508.34,6303.33,79147.27,48628.51,30518.76,12,29.74,26152.65,25840.15,312.5,277846.41,274276.41,3570.0,79147.27,22180.97,56966.3,9,17.82,22383.41,21469.25,914.17,363989.2,352139.2,11850.0,79147.27,36293.01,42854.26,13,43.59,37090.69,36624.03,466.67,384227.05,377292.05,6935.0,79147.27,15592.82,63554.46,13,27.77,29103.16,28795.33,307.83,228551.57,224966.57,3585.0,79147.27,22324.37,56822.9
10,100,20309,130.2164762020111,0.0,316.92,0.8487536231884057,50,50,1600.0,288518.56,7784.0,7784.0,2930.0,7200.0,2100412.46,62000.0,62000.0,38080.0,470314.79,791472.7000000001,220639.29,410428.65,249675.51,45,11,23.58,29672.4,29257.23,415.17,181470.72,175590.72,5880.0,79147.27,48444.48,30702.79,4,7.95,12937.07,12351.07,586.0,226583.81,221063.81,5520.0,79147.27,68833.24,10314.04,19,49.15,40367.01,39219.67,1147.33,257898.14,248451.48,9446.67,79147.27,6935.58,72211.7,7,15.85,30151.58,29818.24,333.33,175002.69,170272.69,4730.0,79147.27,61406.23,17741.04,18,41.4,12317.08,11368.74,948.33,260477.11,251627.11,8850.0,79147.27,5465.2,73682.07,6,15.8,12362.01,12005.34,356.67,217450.88,212670.88,4780.0,79147.27,65117.66,14029.61,13,56.73,49122.57,48632.73,489.83,165007.08,159107.08,5900.0,79147.27,28956.04,50191.23,10,27.62,34415.93,33689.68,726.25,154635.65,151055.65,3580.0,79147.27,45975.78,33171.5,18,45.17,36015.49,34317.82,1697.67,236702.52,228459.19,8243.33,79147.27,27859.51,51287.76,15,33.66,31157.42,30074.0,1083.42,225183.86,220113.86,5070.0,79147.27,22050.37,57096.91
10,100,13557,130.22946071624756,0.0,209.83,0.860522496371553,36,64,1600.0,289238.72,2960.0,2960.0,7415.0,7200.0,2208499.68,26620.0,26620.02,73540.0,464766.36,557698.7999999999,154967.47,331734.12,309798.89,1,6,13.9,34984.62,34797.12,187.5,252659.73,250143.07,2516.67,55769.88,25485.44,30284.44,4,11.95,29342.76,29256.09,86.67,173326.12,172006.12,1320.0,55769.88,32152.32,23617.56,15,51.14,38120.98,37365.15,755.83,248501.49,242834.83,5666.67,55769.88,6179.7,49590.17,6,15.89,35581.12,35347.79,233.33,251501.3,248514.63,2986.67,55769.88,43738.17,12031.7,7,17.86,18232.41,17994.91,237.5,217100.02,214183.35,2916.67,55769.88,23866.66,31903.21,9,21.9,46008.96,45763.96,245.0,240712.61,238645.94,2066.67,55769.88,10623.68,45146.19,11,37.36,29511.18,28893.68,617.5,253342.08,249712.08,3630.0,55769.88,4747.72,51022.16,5,9.97,24992.15,24830.48,161.67,157643.29,156153.29,1490.0,55769.88,39185.62,16584.25,6,11.93,14390.18,14173.51,216.67,167848.25,165731.58,2116.67,55769.88,19453.23,36316.65,8,17.93,18074.36,17856.03,218.33,245864.79,243954.79,1910.0,55769.88,20532.09,35237.79
10,100,16898,144.2244656085968,0.0,229.58,0.8942684766214178,39,61,1600.0,297846.54,3250.0,3250.0,8970.0,9000.0,2240522.35,43220.0,43220.0,66400.0,463537.52,622954.1000000002,175359.21,312641.95,288178.31,4,7,13.8,45043.73,44791.23,252.5,193208.14,187338.14,5870.0,62295.41,31926.18,30369.24,8,23.8,25665.27,25417.18,248.08,225256.1,222849.43,2406.67,62295.41,34459.27,27836.14,10,29.75,44317.85,43926.18,391.67,206351.2,202991.2,3360.0,62295.41,19970.55,42324.86,8,35.7,48042.19,47782.94,259.25,212586.14,209146.14,3440.0,62295.41,28311.25,33984.16,7,19.6,22911.8,22392.21,519.58,253489.87,243219.87,10270.0,62295.41,32618.77,29676.64,4,11.87,11345.92,11203.25,142.67,217247.67,213444.33,3803.33,62295.41,51061.68,11233.73,10,33.77,16593.52,16241.02,352.5,262819.21,258949.21,3870.0,62295.41,13617.4,48678.01,4,7.94,10566.98,10405.32,161.67,179505.8,176395.8,3110.0,62295.41,46688.03,15607.39,13,39.53,37383.3,36694.96,688.33,263397.56,258477.56,4920.0,62295.41,13702.23,48593.18,6,13.84,35975.98,35742.23,233.75,226660.66,224490.66,2170.0,62295.41,37956.81,24338.6
10,100,18125,140.2195863723755,0.0,294.97,0.8937657961246841,49,51,500.0,246964.46000000002,4395.0,4394.99,4495.0,10000.0,2097077.4400000002,53060.0,53060.01,49140.0,515203.63,791472.7000000001,257843.87,489781.06,257359.76,5,11,31.81,26170.83,25876.33,294.5,259154.15,256584.15,2570.0,79147.27,22903.2,56244.07,14,41.59,37016.07,36682.98,333.08,209124.5,205263.84,3860.67,79147.27,6138.2,73009.07,16,50.33,25850.52,24727.18,1123.33,267355.87,251159.2,16196.67,79147.27,3709.3,75437.97,8,21.84,31703.94,31403.94,300.0,150659.74,148133.07,2526.67,79147.27,46425.75,32721.53,7,23.84,23769.83,23537.33,232.5,178982.81,176942.81,2040.0,79147.27,47266.65,31880.63,8,21.81,11312.91,11069.07,243.83,161854.92,158856.92,2998.0,79147.27,26324.24,52823.03,16,52.09,38427.35,37480.35,947.0,255166.13,243018.8,12147.33,79147.27,17385.55,61761.72,8,15.94,17250.59,16906.84,343.75,219214.58,215057.92,4156.67,79147.27,34428.05,44719.22,9,23.86,17501.97,17309.47,192.5,234071.84,231231.84,2840.0,79147.27,40554.12,38593.15,6,11.86,17960.45,17575.95,384.5,161492.9,157768.9,3724.0,79147.27,56556.6,22590.67
10,100,17694,130.2208297252655,0.0,284.9,0.8640754716981132,56,44,1600.0,273604.91000000003,8950.0,8950.0,5840.0,8000.0,2060657.72,83340.0,83340.0,45300.0,497366.14,791472.7000000001,277278.48,424216.53,220087.66,1,12,33.44,24255.93,23779.26,476.67,244674.04,237820.71,6853.33,79147.27,28244.08,50903.19,5,9.94,46515.8,45932.47,583.33,139553.29,134316.62,5236.67,79147.27,58467.51,20679.76,13,39.79,37016.07,34321.9,2694.17,209124.5,188181.17,20943.33,79147.27,29092.54,50054.73,15,37.65,25850.52,25272.18,578.33,267355.87,261785.87,5570.0,79147.27,19228.65,59918.62,9,19.55,31703.94,31110.61,593.33,150659.74,142719.74,7940.0,79147.27,37663.2,41484.07,2,4.0,23769.83,23557.33,212.5,178982.81,173882.81,5100.0,79147.27,73942.1,5205.18,17,45.92,11312.91,9633.74,1679.17,161854.92,147821.59,14033.33,79147.27,15310.36,63836.91,10,23.65,38427.35,37519.02,908.33,255166.13,248479.47,6686.67,79147.27,44352.93,34794.34,12,41.21,17250.59,16700.59,550.0,219214.58,212737.92,6476.67,79147.27,33815.35,45331.93,12,29.74,17501.97,16827.81,674.17,234071.84,229571.84,4500.0,79147.27,27139.47,52007.8
10,100,16436,130.23641872406006,0.0,251.45,0.8363555555555555,43,57,5000.0,276192.80000000005,11670.0,11670.0,5575.0,10000.0,3186671.51,59620.0,59619.99,63510.0,489187.85,663843.2000000002,183594.49,329910.06,305593.36,2,15,37.47,49928.46,47899.71,2028.75,253401.4,246733.07,6668.33,66384.32,22281.56,44102.76,5,9.98,33230.29,31517.79,1712.5,251431.0,247357.67,4073.33,66384.32,48563.55,17820.78,9,27.57,16115.06,15552.56,562.5,215758.83,211428.83,4330.0,66384.32,32331.38,34052.94,8,17.88,18387.24,17989.74,397.5,354525.08,350065.08,4460.0,66384.32,47037.45,19346.87,17,45.66,24823.77,22626.27,2197.5,426906.28,417222.95,9683.33,66384.32,1169.81,65214.51,6,11.93,26840.66,26432.33,408.33,304234.78,300344.78,3890.0,66384.32,44713.53,21670.79,15,49.49,11741.2,8817.03,2924.17,441843.97,433723.97,8120.0,66384.32,15420.36,50963.96,4,9.95,32992.68,32724.77,267.92,211018.09,208079.76,2938.33,66384.32,49165.88,17218.44,8,19.67,33259.69,32643.86,615.83,413879.99,403049.99,10830.0,66384.32,41609.28,24775.04,10,21.84,28873.75,28318.75,555.0,313672.09,309045.42,4626.67,66384.32,31640.35,34743.97
10,100,21111,137.21927285194397,0.0,361.96,0.9241249326871298,58,42,1600.0,256594.86999999997,8265.0,8264.99,3245.0,7200.0,2016077.4799999997,54060.0,54060.0,34480.0,511388.3,791472.7000000001,288015.25,533267.04,223373.05,9,16,42.99,23068.49,20884.74,2183.75,140812.66,133882.66,6930.0,79147.27,23934.15,55213.12,11,29.81,43470.89,42064.64,1406.25,228625.93,226192.6,2433.33,79147.27,23802.02,55345.25,19,45.09,28796.27,27914.19,882.08,167934.71,161418.04,6516.67,79147.27,2209.14,76938.13,11,37.7,11814.0,11462.41,351.58,225498.62,222228.62,3270.0,79147.27,31637.83,47509.45,14,36.96,44941.38,44323.46,617.92,242097.22,232267.22,9830.0,79147.27,28171.29,50975.99,8,19.86,20877.99,20609.65,268.33,140641.62,138951.62,1690.0,79147.27,43045.39,36101.88,14,44.67,25780.8,24936.63,844.17,220880.61,211870.61,9010.0,79147.27,27335.8,51811.47,9,25.82,27791.43,27451.1,340.33,177366.77,174676.77,2690.0,79147.27,37670.56,41476.71,19,57.16,12905.05,12177.8,727.25,261732.34,252132.34,9600.0,79147.27,6485.62,72661.65,10,21.89,17148.57,16505.24,643.33,210487.0,208397.0,2090.0,79147.27,33913.88,45233.39
10,100,16422,130.23658394813538,0.0,240.15,0.9052571428571429,38,62,1600.0,282505.83,6565.0,6565.01,5590.0,9600.0,3026576.02,50820.0,50820.0,74900.0,531497.78,791472.7000000001,217657.24,436379.31,313840.55,1,13,43.72,40406.46,39928.54,477.92,328454.15,324514.15,3940.0,79147.27,1279.3,77867.98,10,21.88,44949.65,44689.65,260.0,300459.38,296302.71,4156.67,79147.27,28123.24,51024.03,6,13.78,12537.91,11316.25,1221.67,200106.48,192736.48,7370.0,79147.27,58108.93,21038.35,12,31.84,13630.33,13284.49,345.83,410526.99,406973.66,3553.33,79147.27,26445.33,52701.94,10,27.84,19243.16,18934.41,308.75,219209.61,216306.28,2903.33,79147.27,36980.5,42166.77,8,19.88,31189.12,30903.7,285.42,311726.2,308652.86,3073.33,79147.27,55112.79,24034.49,11,31.61,29337.32,26967.32,2370.0,386018.26,372931.6,13086.67,79147.27,2846.71,76300.56,4,7.96,34209.6,33729.6,480.0,237199.39,234579.39,2620.0,79147.27,69127.42,10019.86,5,13.82,42175.6,41800.6,375.0,271909.74,267149.74,4760.0,79147.27,46291.29,32855.98,10,27.82,14826.68,14386.27,440.42,360965.82,355609.15,5356.67,79147.27,30777.92,48369.35
10,100,13412,130.19673657417297,0.0,182.7,0.8922123893805309,37,63,1600.0,231073.08000000002,4395.0,4395.0,10890.0,8000.0,3216849.6399999997,36200.0,36200.0,82300.0,485726.76,539108.2,182502.2,296690.74,303224.56,2,4,9.94,32684.96,32445.38,239.58,272591.43,268941.43,3650.0,53910.82,37832.57,16078.25,9,27.85,12905.05,12484.64,420.42,436220.57,432050.57,4170.0,53910.82,20452.58,33458.24,10,33.56,17148.57,16719.41,429.17,350811.67,345486.67,5325.0,53910.82,2704.49,51206.33,4,7.97,26152.65,26051.4,101.25,277846.41,276061.41,1785.0,53910.82,31359.94,22550.88,7,15.88,22383.41,20524.25,1859.17,363989.2,358872.53,5116.67,53910.82,34556.12,19354.7,7,21.9,37090.69,36791.94,298.75,384227.05,381467.05,2760.0,53910.82,21157.86,32752.96,9,19.83,29103.16,28891.08,212.08,228551.57,224926.57,3625.0,53910.82,15937.75,37973.07,6,11.94,10658.35,10532.1,126.25,232943.48,230858.48,2085.0,53910.82,28888.75,25022.07,11,25.85,11778.66,11353.66,425.0,447563.76,441430.42,6133.33,53910.82,9817.96,44092.85,4,7.98,31167.58,30884.25,283.33,222104.5,220554.5,1550.0,53910.82,39709.42,14201.39
