alpha,Edge_0_initial,Edge_0_final,Edge_0_usage,Edge_1_initial,Edge_1_final,Edge_1_usage,Edge_2_initial,Edge_2_final,Edge_2_usage,Edge_3_initial,Edge_3_final,Edge_3_usage,Edge_4_initial,Edge_4_final,Edge_4_usage,Edge_5_initial,Edge_5_final,Edge_5_usage,Edge_6_initial,Edge_6_final,Edge_6_usage,Edge_7_initial,Edge_7_final,Edge_7_usage,Edge_8_initial,Edge_8_final,Edge_8_usage,Edge_9_initial,Edge_9_final,Edge_9_usage,Edge_10_initial,Edge_10_final,Edge_10_usage,Edge_11_initial,Edge_11_final,Edge_11_usage,Edge_12_initial,Edge_12_final,Edge_12_usage,Edge_13_initial,Edge_13_final,Edge_13_usage,Edge_14_initial,Edge_14_final,Edge_14_usage
0.0,79147,57926,27,79147,76298,4,79147,33333,58,79147,46618,41,79147,33242,58,79147,48629,39,79147,23488,70,79147,36293,54,79147,16630,79,79147,22324,72,79147,4466,94,79147,858,99,79147,4395,94,79147,11679,85,79147,1298,98
0.0,79147,48444,39,79147,68833,13,79147,6936,91,79147,61406,22,79147,6257,92,79147,65118,18,79147,29321,63,79147,45976,42,79147,27860,65,79147,22050,72,79147,820,99,79147,5025,94,79147,394,100,79147,28235,64,79147,51,100
0.0,55770,26058,53,55770,32944,41,55770,6180,89,55770,43738,22,55770,25157,55,55770,11122,80,55770,6530,88,55770,39186,30,55770,21435,62,55770,20532,63,55770,5463,90,55770,3657,93,55770,5074,91,55770,31776,43,55770,4162,93
0.0,62295,33280,47,62295,34858,44,62295,20335,67,62295,28311,55,62295,34275,45,62295,51062,18,62295,14308,77,62295,46688,25,62295,14692,76,62295,38581,38,62295,4562,93,62295,16434,74,62295,1529,98,62295,12704,80,62295,3114,95
0.0,79147,23173,71,79147,6803,91,79147,4699,94,79147,46426,41,79147,48058,39,79147,27385,65,79147,18375,77,79147,35220,56,79147,40554,49,79147,56557,29,79147,3005,96,79147,4442,94,79147,4452,94,79147,17317,78,79147,3641,95
0.0,79147,29036,63,79147,58759,26,79147,30260,62,79147,19896,75,79147,37663,52,79147,73942,7,79147,15310,81,79147,44353,44,79147,33815,57,79147,28750,64,79147,3659,95,79147,14135,82,79147,3297,96,79147,12953,84,79147,4603,94
0.0,66384,22282,66,66384,48564,27,66384,33347,50,66384,47037,29,66384,1170,98,66384,44714,33,66384,15420,77,66384,49166,26,66384,41609,37,66384,31640,52,66384,607,99,66384,17368,74,66384,1175,98,66384,29819,55,66384,45,100
0.0,79147,23934,70,79147,24201,69,79147,2209,97,79147,31638,60,79147,28171,64,79147,43544,45,79147,27673,65,79147,37671,52,79147,6486,92,79147,34313,57,79147,1043,99,79147,3175,96,79147,2001,97,79147,26244,67,79147,1506,98
0.0,79147,1279,98,79147,28488,64,79147,58109,27,79147,26810,66,79147,36980,53,79147,55113,30,79147,3345,96,79147,69127,13,79147,46291,42,79147,31177,61,79147,2507,97,79147,3928,95,79147,1400,98,79147,23473,70,79147,4558,94
0.0,53911,38331,29,53911,20453,62,53911,4058,92,53911,31697,41,53911,34897,35,53911,21158,61,53911,15938,70,53911,29387,45,53911,10657,80,53911,39709,26,53911,3506,93,53911,1841,97,53911,3679,93,53911,9869,82,53911,3168,94
