n_nodes,n_req,n_msg,exec_time,alpha,tot_utility,jaini,count_assigned,count_unassigned,tot_gpu_jobs,tot_gpu_nodes,assigned_sum_gpu,tot_used_gpu,unassigned_sum_gpu,tot_cpu_jobs,tot_cpu_nodes,assigned_sum_cpu,tot_used_cpu,unassigned_sum_cpu,tot_bw_jobs,tot_bw_nodes,assigned_sum_bw,tot_used_bw,unassigned_sum_bw,first_failure_after,node_0_jobs,node_0_utility,node_0_initial_gpu,node_0_updated_gpu,node_0_used_gpu,node_0_initial_cpu,node_0_updated_cpu,node_0_used_cpu,node_0_initial_bw,node_0_updated_bw,node_0_used_bw,node_1_jobs,node_1_utility,node_1_initial_gpu,node_1_updated_gpu,node_1_used_gpu,node_1_initial_cpu,node_1_updated_cpu,node_1_used_cpu,node_1_initial_bw,node_1_updated_bw,node_1_used_bw,node_2_jobs,node_2_utility,node_2_initial_gpu,node_2_updated_gpu,node_2_used_gpu,node_2_initial_cpu,node_2_updated_cpu,node_2_used_cpu,node_2_initial_bw,node_2_updated_bw,node_2_used_bw,node_3_jobs,node_3_utility,node_3_initial_gpu,node_3_updated_gpu,node_3_used_gpu,node_3_initial_cpu,node_3_updated_cpu,node_3_used_cpu,node_3_initial_bw,node_3_updated_bw,node_3_used_bw,node_4_jobs,node_4_utility,node_4_initial_gpu,node_4_updated_gpu,node_4_used_gpu,node_4_initial_cpu,node_4_updated_cpu,node_4_used_cpu,node_4_initial_bw,node_4_updated_bw,node_4_used_bw,node_5_jobs,node_5_utility,node_5_initial_gpu,node_5_updated_gpu,node_5_used_gpu,node_5_initial_cpu,node_5_updated_cpu,node_5_used_cpu,node_5_initial_bw,node_5_updated_bw,node_5_used_bw,node_6_jobs,node_6_utility,node_6_initial_gpu,node_6_updated_gpu,node_6_used_gpu,node_6_initial_cpu,node_6_updated_cpu,node_6_used_cpu,node_6_initial_bw,node_6_updated_bw,node_6_used_bw,node_7_jobs,node_7_utility,node_7_initial_gpu,node_7_updated_gpu,node_7_used_gpu,node_7_initial_cpu,node_7_updated_cpu,node_7_used_cpu,node_7_initial_bw,node_7_updated_bw,node_7_used_bw,node_8_jobs,node_8_utility,node_8_initial_gpu,node_8_updated_gpu,node_8_used_gpu,node_8_initial_cpu,node_8_updated_cpu,node_8_used_cpu,node_8_initial_bw,node_8_updated_bw,node_8_used_bw,node_9_jobs,node_9_utility,node_9_initial_gpu,node_9_updated_gpu,node_9_used_gpu,node_9_initial_cpu,node_9_updated_cpu,node_9_used_cpu,node_9_initial_bw,node_9_updated_bw,node_9_used_bw
10,100,26761,152.226900100708,0.0,241.9,0.8163841807909604,56,44,5000.0,244695.06000000003,10370.0,10369.99,3280.0,9600.0,2088655.68,61680.0,61680.0,47520.0,499464.61,791472.7000000001,270463.58,314562.87,229001.04,3,15,49.54,24009.93,19256.59,4753.33,190429.99,167883.33,22546.67,79147.27,16545.08,62602.2,12,43.3,28290.89,26673.39,1617.5,256754.06,251297.4,5456.67,79147.27,29183.15,49964.12,13,46.01,29770.97,29249.31,521.67,193184.13,186734.13,6450.0,79147.27,34895.26,44252.01,8,20.26,40555.26,40329.43,225.83,216717.11,213463.78,3253.33,79147.27,51620.91,27526.37,8,16.59,11053.74,9144.99,1908.75,237205.36,232445.36,4760.0,79147.27,50871.28,28275.99,2,3.26,22383.41,22316.75,66.67,218393.52,217760.19,633.33,79147.27,72837.77,6309.5,9,19.25,37090.69,36673.19,417.5,230536.23,222236.23,8300.0,79147.27,35812.7,43334.58,3,6.44,29103.16,28988.58,114.58,137130.94,136180.94,950.0,79147.27,73239.85,5907.42,10,29.36,10658.35,10125.02,533.33,139766.09,132286.09,7480.0,79147.27,50193.37,28953.9,5,7.91,11778.66,11567.83,210.83,268538.25,266688.25,1850.0,79147.27,61710.49,17436.78
10,100,18612,143.19335460662842,0.0,194.31,0.695968992248062,46,54,1600.0,358286.5800000001,3730.0,3730.0,8260.0,8000.0,2118775.6500000004,44720.0,44720.0,63260.0,477159.44,559998.6,207403.49,220198.29,269755.96,3,14,56.43,43601.7,42244.2,1357.5,237758.89,219928.89,17830.0,55999.86,11267.31,44732.55,8,33.9,35794.64,35401.31,393.33,233287.3,229440.64,3846.67,55999.86,30118.79,25881.07,14,42.52,49106.13,48278.63,827.5,178717.57,168077.57,10640.0,55999.86,11259.91,44739.94,5,7.34,42952.29,42851.46,100.83,254281.37,253081.37,1200.0,55999.86,35023.25,20976.61,5,10.39,32471.71,32275.04,196.67,252924.74,251174.74,1750.0,55999.86,38762.66,17237.19,5,6.47,36764.36,36636.86,127.5,158039.71,157149.71,890.0,55999.86,42609.34,13390.52,10,27.69,43069.08,42500.75,568.33,266095.56,259215.56,6880.0,55999.86,23961.84,32038.01,3,5.89,16897.33,16822.33,75.0,193419.78,192469.78,950.0,55999.86,41210.85,14789.0,2,2.55,21036.72,20970.05,66.67,156073.77,155673.77,400.0,55999.86,50934.26,5065.59,1,1.13,36592.62,36575.95,16.67,188176.96,187843.63,333.33,55999.86,54652.05,1347.81
10,100,26153,144.23881149291992,0.0,287.14,0.7717614165890028,60,40,1600.0,263238.86,5869.0,5869.0,7825.0,9600.0,3489556.4800000004,82520.0,82520.0,47640.0,518719.45,743872.2999999999,329150.2,328214.36,189569.26,7,16,53.59,26392.39,25727.55,664.83,322387.69,306597.69,15790.0,74387.23,23431.05,50956.18,8,36.13,49938.48,49636.48,302.0,385415.61,382055.61,3360.0,74387.23,31378.8,43008.43,18,57.08,28033.81,26611.31,1422.5,324612.64,309422.64,15190.0,74387.23,4000.85,70386.38,5,7.16,11542.07,11391.74,150.33,392758.88,391018.88,1740.0,74387.23,52606.74,21780.49,13,47.47,26140.07,25230.07,910.0,376957.96,363357.96,13600.0,74387.23,28451.68,45935.55,7,18.5,47930.54,47181.54,749.0,409503.71,399303.71,10200.0,74387.23,49676.93,24710.3,11,35.32,15689.9,14505.74,1184.17,334779.91,319559.91,15220.0,74387.23,48525.0,25862.24,5,9.49,24751.04,24682.37,68.67,458768.39,457608.39,1160.0,74387.23,59193.78,15193.45,6,16.87,21816.14,21498.64,317.5,261450.66,256070.66,5380.0,74387.23,51114.07,23273.17,2,5.53,11004.42,10904.42,100.0,222921.03,222041.03,880.0,74387.23,67279.07,7108.17
10,100,23628,157.25253415107727,0.0,254.04,0.8043570669500532,56,44,1600.0,192799.98,4844.0,4844.0,5205.0,7200.0,3121214.4800000004,66420.0,66420.0,46600.0,479159.52,664870.5000000001,274859.51,313869.7,204300.01,10,13,45.3,11339.59,10126.93,1212.67,261186.77,241410.1,19776.67,66487.05,26487.41,39999.63,13,46.07,10794.02,10167.02,627.0,263119.42,254616.09,8503.33,66487.05,15767.77,50719.28,16,54.98,40059.46,39009.46,1050.0,449209.16,434179.16,15030.0,66487.05,7635.7,58851.35,6,17.17,41868.85,41649.93,218.92,321391.8,317981.8,3410.0,66487.05,34834.75,31652.3,11,28.2,10470.8,9675.8,795.0,429777.12,419897.12,9880.0,66487.05,35775.65,30711.4,6,10.78,10849.27,10598.44,250.83,218659.35,216149.35,2510.0,66487.05,50106.4,16380.65,8,19.16,10658.35,10475.02,183.33,232943.48,229903.48,3040.0,66487.05,40359.26,26127.79,5,14.79,11778.66,11607.41,171.25,447563.76,445283.76,2280.0,66487.05,43939.93,22547.12,8,15.85,31167.58,30852.58,315.0,222104.5,220234.5,1870.0,66487.05,34766.43,31720.62,1,1.73,13813.4,13793.4,20.0,275259.12,275139.12,120.0,66487.05,61327.48,5159.56
10,100,25253,147.2539484500885,0.0,237.88,0.78,55,45,1600.0,309241.04,5560.0,5560.01,5070.0,9000.0,3653444.8200000003,66500.0,66500.0,57020.0,533652.22,791472.7000000001,294525.81,318681.28,239126.4,7,14,60.17,47370.48,46407.81,962.67,297008.68,283848.68,13160.0,79147.27,20335.23,58812.04,11,31.6,45043.73,44253.23,790.5,322013.57,310253.57,11760.0,79147.27,44288.67,34858.61,15,50.06,25665.27,24843.6,821.67,375426.83,361956.83,13470.0,79147.27,7390.01,71757.26,6,17.44,44317.85,43487.85,830.0,343918.66,337638.66,6280.0,79147.27,54726.21,24421.06,9,28.59,48042.19,47464.69,577.5,354310.24,346570.24,7740.0,79147.27,49254.13,29893.14,2,9.59,22911.8,22856.8,55.0,422483.12,420683.12,1800.0,79147.27,57939.96,21207.32,6,11.55,11345.92,11014.25,331.67,362079.44,357999.44,4080.0,79147.27,53569.29,25577.98,7,16.67,16593.52,15955.02,638.5,438032.02,434462.02,3570.0,79147.27,49319.46,29827.81,4,5.72,10566.98,10284.48,282.5,299176.33,296356.33,2820.0,79147.27,69445.37,9701.9,4,6.48,37383.3,37113.3,270.0,438995.93,437175.93,1820.0,79147.27,66523.11,12624.16
10,100,27150,134.21813416481018,0.0,253.97,0.8246987951807229,54,46,2000.0,275379.81999999995,5415.0,5415.0,6870.0,9600.0,3390141.42,62820.0,62820.0,67040.0,535745.85,791472.7000000001,270638.49,305650.03,265107.36,4,8,33.52,29364.75,28778.75,586.0,249692.05,242972.05,6720.0,79147.27,42956.0,36191.27,10,29.37,16104.17,15639.92,464.25,416621.63,410931.63,5690.0,79147.27,38967.59,40179.68,15,48.75,15109.39,14007.31,1102.08,362324.84,346731.5,15593.33,79147.27,13515.13,65632.14,6,22.98,48609.69,47864.69,745.0,202913.67,189133.67,13780.0,79147.27,53761.0,25386.27,7,27.18,17175.08,16765.08,410.0,324353.5,318193.5,6160.0,79147.27,47472.63,31674.64,8,30.92,46254.85,45887.85,367.0,412850.09,408690.09,4160.0,79147.27,47749.66,31397.61,8,26.24,24073.85,23587.18,486.67,307546.56,303619.89,3926.67,79147.27,52930.63,26216.64,3,1.42,17667.08,17522.08,145.0,255409.26,254389.26,1020.0,79147.27,67007.12,12140.15,7,29.12,26188.36,25133.36,1055.0,415849.29,411219.29,4630.0,79147.27,51664.09,27483.18,2,4.46,34832.6,34778.6,54.0,442580.53,441440.53,1140.0,79147.27,69798.83,9348.45
10,100,27669,154.25228428840637,0.0,271.33,0.8196660482374768,66,34,1600.0,284959.74,8240.0,8240.01,3780.0,9600.0,3009182.3500000006,80630.0,80630.0,47270.0,504218.26,791472.7000000001,318833.2,331357.57,185385.06,0,16,55.0,37204.26,35762.59,1441.67,396939.4,376139.4,20800.0,79147.27,19448.02,59699.26,12,60.97,18488.11,17576.44,911.67,373345.67,360125.67,13220.0,79147.27,29637.71,49509.56,17,45.9,46944.33,44249.33,2695.0,202200.61,192180.61,10020.0,79147.27,5744.49,73402.78,7,20.71,12537.91,12136.25,401.67,200106.48,194836.48,5270.0,79147.27,59781.5,19365.77,6,18.07,13630.33,13410.33,220.0,410526.99,406946.99,3580.0,79147.27,58517.88,20629.39,7,15.46,19243.16,18862.33,380.83,219209.61,215119.61,4090.0,79147.27,51311.48,27835.79,11,30.04,31189.12,30564.12,625.0,311726.2,304786.2,6940.0,79147.27,46615.46,32531.81,2,3.15,29337.32,29237.32,100.0,386018.26,384518.26,1500.0,79147.27,71743.51,7403.77,9,13.08,34209.6,32957.93,1251.67,237199.39,224109.39,13090.0,79147.27,57475.79,21671.49,7,8.96,42175.6,41963.1,212.5,271909.74,269789.74,2120.0,79147.27,59839.33,19307.95
10,100,21987,149.2423095703125,0.0,184.55,0.6530956848030018,41,59,2000.0,275424.16,5455.0,5455.0,9585.0,7200.0,1933635.7300000002,41640.0,41640.0,53495.0,590754.59,791472.7000000001,230818.91,296011.82,359935.68,4,12,49.9,34740.69,34070.69,670.0,137202.63,130072.63,7130.0,79147.27,27308.52,51838.75,3,9.39,33232.3,32977.3,255.0,178142.81,173822.81,4320.0,79147.27,50300.05,28847.22,14,55.5,17706.79,15097.62,2609.17,205086.02,195086.02,10000.0,79147.27,4334.17,74813.1,3,10.87,30657.54,30572.54,85.0,227984.82,226784.82,1200.0,79147.27,62592.87,16554.4,7,16.28,31165.93,30674.26,491.67,146166.39,140516.39,5650.0,79147.27,44513.5,34633.77,5,11.52,16586.99,16401.15,185.83,263508.35,261308.35,2200.0,79147.27,54376.74,24770.53,6,12.6,24349.26,23894.26,455.0,160422.55,154302.55,6120.0,79147.27,48258.17,30889.1,1,4.05,48431.23,48331.23,100.0,202238.3,201638.3,600.0,79147.27,71966.05,7181.22,8,14.44,28082.63,27479.3,603.33,155017.59,150597.59,4420.0,79147.27,59058.88,20088.39,0,0,10470.8,10470.8,0,257866.27,257866.27,0,79147.27,72751.93,6395.34
10,100,21386,133.24733805656433,0.0,198.25,0.718005540166205,49,51,5000.0,320188.17,13605.0,13605.0,6970.0,9600.0,3137285.82,63405.0,63405.0,64640.0,556110.69,791472.7000000001,273989.91,331329.4,282120.78,3,13,29.0,46704.72,44078.05,2626.67,235367.5,226940.83,8426.67,79147.27,24606.93,54540.35,5,10.39,44556.73,44294.23,262.5,214665.06,212215.06,2450.0,79147.27,50617.23,28530.04,14,46.07,49518.12,48513.95,1004.17,238747.5,225437.5,13310.0,79147.27,20079.1,59068.17,3,5.19,24823.77,23943.77,880.0,426906.28,416556.28,10350.0,79147.27,60060.37,19086.9,11,38.16,26840.66,25002.33,1838.33,304234.78,293561.45,10673.33,79147.27,38778.07,40369.2,1,4.38,11741.2,11703.7,37.5,441843.97,441393.97,450.0,79147.27,64354.05,14793.22,5,16.67,32992.68,27814.35,5178.33,211018.09,205393.09,5625.0,79147.27,47382.91,31764.37,4,7.37,33259.69,33104.69,155.0,413879.99,411509.99,2370.0,79147.27,61735.34,17411.94,12,34.23,28873.75,27393.75,1480.0,313672.09,305572.09,8100.0,79147.27,27914.81,51232.46,4,6.78,20876.85,20734.35,142.5,336950.56,335300.56,1650.0,79147.27,64614.53,14532.75
10,100,22308,138.1956171989441,0.0,230.54,0.7865938430983118,54,46,5000.0,249231.54,4365.0,4364.99,12215.0,10000.0,2411232.16,54105.0,54105.0,61860.0,524922.83,791472.7000000001,280531.84,324562.03,244390.99,10,19,58.81,17148.57,16002.32,1146.25,280649.34,264924.34,15725.0,79147.27,9976.37,69170.91,12,43.6,26152.65,25289.32,863.33,222277.13,213252.13,9025.0,79147.27,30296.01,48851.26,13,37.42,22383.41,21836.75,546.67,291191.36,284211.36,6980.0,79147.27,24344.79,54802.49,11,24.56,37090.69,36427.36,663.33,307381.64,299421.64,7960.0,79147.27,54114.49,25032.78,7,13.63,29103.16,28866.66,236.5,182841.25,180431.25,2410.0,79147.27,53062.0,26085.27,5,10.07,10658.35,10447.1,211.25,186354.78,183054.78,3300.0,79147.27,56723.2,22424.07,7,14.13,11778.66,11510.33,268.33,358051.01,354701.01,3350.0,79147.27,55014.65,24132.62,3,5.76,31167.58,31096.33,71.25,177683.6,176613.6,1070.0,79147.27,71810.63,7336.64,8,15.31,13813.4,13580.31,233.08,220207.29,217642.29,2565.0,79147.27,43933.0,35214.27,4,7.25,49935.07,49810.07,125.0,184594.76,182874.76,1720.0,79147.27,67635.55,11511.72
