alpha,Edge_0_initial,Edge_0_final,Edge_0_usage,Edge_1_initial,Edge_1_final,Edge_1_usage,Edge_2_initial,Edge_2_final,Edge_2_usage,Edge_3_initial,Edge_3_final,Edge_3_usage,Edge_4_initial,Edge_4_final,Edge_4_usage,Edge_5_initial,Edge_5_final,Edge_5_usage,Edge_6_initial,Edge_6_final,Edge_6_usage,Edge_7_initial,Edge_7_final,Edge_7_usage,Edge_8_initial,Edge_8_final,Edge_8_usage,Edge_9_initial,Edge_9_final,Edge_9_usage,Edge_10_initial,Edge_10_final,Edge_10_usage,Edge_11_initial,Edge_11_final,Edge_11_usage,Edge_12_initial,Edge_12_final,Edge_12_usage,Edge_13_initial,Edge_13_final,Edge_13_usage,Edge_14_initial,Edge_14_final,Edge_14_usage
0.0,79147,16944,79,79147,31162,61,79147,36889,53,79147,51621,35,79147,51270,35,79147,72838,8,79147,36267,54,79147,73240,7,79147,50193,37,79147,61710,22,79147,7042,91,79147,37873,52,79147,16802,79,79147,48630,39,79147,10273,87
0.0,56000,11537,79,56000,30119,46,56000,11260,80,56000,35023,37,56000,38763,31,56000,42609,24,56000,24361,56,56000,41211,26,56000,50934,9,56000,54652,2,56000,7280,87,56000,24980,55,56000,693,99,56000,23151,59,56000,15936,72
0.0,74387,24306,67,74387,31679,57,74387,4301,94,74387,52607,29,74387,28452,62,74387,49677,33,74387,48525,35,74387,59194,20,74387,51114,31,74387,67279,10,74387,4147,94,74387,22184,70,74387,1535,98,74387,45328,39,74387,15859,79
0.0,66487,26487,60,66487,16829,75,66487,7908,88,66487,34835,48,66487,35776,46,66487,50106,25,66487,40359,39,66487,43940,34,66487,34766,48,66487,61327,8,66487,1252,98,66487,11571,83,66487,8747,87,66487,31034,53,66487,8351,87
0.0,79147,20335,74,79147,45080,43,79147,8709,89,79147,54726,31,79147,49254,38,79147,59523,25,79147,53569,32,79147,50111,37,79147,69782,12,79147,66523,16,79147,5700,93,79147,34198,57,79147,2826,96,79147,36009,55,79147,5878,93
0.0,79147,43321,45,79147,39047,51,79147,16288,79,79147,53761,32,79147,48264,39,79147,47750,40,79147,53329,33,79147,67007,15,79147,51664,35,79147,69799,12,79147,5436,93,79147,29510,63,79147,12912,84,79147,49536,37,79147,15582,80
0.0,79147,19847,75,79147,30429,62,79147,6536,92,79147,59782,24,79147,58518,26,79147,52103,34,79147,46615,41,79147,71744,9,79147,57476,27,79147,59839,24,79147,2753,97,79147,23662,70,79147,4140,95,79147,52378,34,79147,14387,82
0.0,79147,27807,65,79147,51765,35,79147,4334,95,79147,62593,21,79147,44513,44,79147,54377,31,79147,48258,39,79147,71966,9,79147,59059,25,79147,72752,8,79147,8439,89,79147,35551,55,79147,5104,94,79147,55412,30,79147,23718,70
0.0,79147,25716,68,79147,51409,35,79147,20871,74,79147,60060,24,79147,38778,51,79147,64354,19,79147,47383,40,79147,61735,22,79147,27915,65,79147,64615,18,79147,3646,95,79147,29997,62,79147,4996,94,79147,46636,41,79147,11732,85
0.0,79147,9976,87,79147,31452,60,79147,24345,69,79147,54114,32,79147,53062,33,79147,56723,28,79147,55015,30,79147,71811,9,79147,43933,44,79147,67636,15,79147,4200,95,79147,10882,86,79147,6895,91,79147,53021,33,79147,8151,90
0.0,79147,16294,79,79147,36557,54,79147,22889,71,79147,58839,26,79147,61256,23,79147,61594,22,79147,51428,35,79147,58339,26,79147,65612,17,79147,68273,14,79147,2778,96,79147,29878,62,79147,9989,87,79147,48922,38,79147,13402,83
0.0,79147,12341,84,79147,42722,46,79147,15505,80,79147,52973,33,79147,50705,36,79147,51921,34,79147,26131,67,79147,68072,14,79147,62365,21,79147,74809,5,79147,6017,92,79147,32599,59,79147,7599,90,79147,49812,37,79147,16570,79
0.0,62267,5339,91,62267,33574,46,62267,5258,92,62267,49918,20,62267,37086,40,62267,51332,18,62267,32335,48,62267,55665,11,62267,53687,14,62267,53761,14,62267,3194,95,62267,14133,77,62267,4086,93,62267,43316,30,62267,8386,87
0.0,79147,1821,98,79147,30823,61,79147,8985,89,79147,48733,38,79147,59589,25,79147,60820,23,79147,48343,39,79147,58912,26,79147,62080,22,79147,71818,9,79147,1645,98,79147,26507,67,79147,6122,92,79147,39329,50,79147,6506,92
0.0,79147,24287,69,79147,26856,66,79147,8932,89,79147,67270,15,79147,30738,61,79147,65294,18,79147,53955,32,79147,71146,10,79147,49810,37,79147,58526,26,79147,11258,86,79147,17649,78,79147,9198,88,79147,64660,18,79147,7149,91
0.0,79147,15577,80,79147,28883,64,79147,11270,86,79147,69530,12,79147,50229,37,79147,72464,8,79147,61250,23,79147,56745,28,79147,69641,12,79147,67181,15,79147,6104,92,79147,22615,71,79147,9083,89,79147,47128,40,79147,9942,87
0.0,79147,26030,67,79147,42637,46,79147,24428,69,79147,61103,23,79147,47773,40,79147,50809,36,79147,52248,34,79147,66023,17,79147,65974,17,79147,53922,32,79147,21021,73,79147,28698,64,79147,7659,90,79147,59918,24,79147,13560,83
