alpha,Edge_0_initial,Edge_0_final,Edge_0_usage,Edge_1_initial,Edge_1_final,Edge_1_usage,Edge_2_initial,Edge_2_final,Edge_2_usage,Edge_3_initial,Edge_3_final,Edge_3_usage,Edge_4_initial,Edge_4_final,Edge_4_usage,Edge_5_initial,Edge_5_final,Edge_5_usage,Edge_6_initial,Edge_6_final,Edge_6_usage,Edge_7_initial,Edge_7_final,Edge_7_usage,Edge_8_initial,Edge_8_final,Edge_8_usage,Edge_9_initial,Edge_9_final,Edge_9_usage,Edge_10_initial,Edge_10_final,Edge_10_usage,Edge_11_initial,Edge_11_final,Edge_11_usage,Edge_12_initial,Edge_12_final,Edge_12_usage,Edge_13_initial,Edge_13_final,Edge_13_usage,Edge_14_initial,Edge_14_final,Edge_14_usage
0.0,79147,4333,95,79147,-9136,112,79147,-16785,121,79147,-6484,108,79147,3532,96,79147,5377,93,79147,-7826,110,79147,-10872,114,79147,8042,90,79147,8917,89,79147,-118909,250,79147,-131604,266,79147,-85595,208,79147,-83464,205,79147,-188913,339
0.0,79147,-17133,122,79147,-5268,107,79147,-6980,109,79147,-8007,110,79147,-5638,107,79147,-2743,103,79147,-232,100,79147,2021,97,79147,-15811,120,79147,11640,85,79147,-150518,290,79147,-106630,235,79147,-82372,204,79147,-77219,198,79147,-213227,369
0.0,79147,-53,100,79147,590,99,79147,-6303,108,79147,7779,90,79147,9128,88,79147,-7483,109,79147,3389,96,79147,222,100,79147,-5006,106,79147,-8118,110,79147,-100958,228,79147,-118776,250,79147,-64661,182,79147,-63866,181,79147,-198227,350
0.0,79147,10395,87,79147,1977,98,79147,-15627,120,79147,2689,97,79147,-7922,110,79147,-3878,105,79147,2416,97,79147,155,100,79147,-6159,108,79147,-11510,115,79147,-139683,276,79147,-133576,269,79147,-85454,208,79147,-59645,175,79147,-177917,325
0.0,79147,-12263,115,79147,-7498,109,79147,-2687,103,79147,5246,93,79147,3398,96,79147,8061,90,79147,5489,93,79147,-10966,114,79147,-12111,115,79147,2923,96,79147,-135650,271,79147,-127549,261,79147,-67584,185,79147,-60862,177,79147,-218279,376
0.0,79147,2295,97,79147,-7131,109,79147,-9883,112,79147,-24,100,79147,-12562,116,79147,2474,97,79147,-7178,109,79147,-12331,116,79147,4102,95,79147,1299,98,79147,-132006,267,79147,-133519,269,79147,-70070,189,79147,-80671,202,79147,-189448,339
0.0,79147,4673,94,79147,-35387,145,79147,-3525,104,79147,-5986,108,79147,-12153,115,79147,-43924,155,79147,8321,89,79147,-44639,156,79147,-17708,122,79147,-8985,111,79147,-156904,298,79147,-143306,281,79147,-67360,185,79147,-115175,246,79147,-204204,358
0.0,79147,-5375,107,79147,-12026,115,79147,-15817,120,79147,246,100,79147,-12242,115,79147,-15104,119,79147,6220,92,79147,1075,99,79147,-11888,115,79147,-2276,103,79147,-135994,272,79147,-150599,290,79147,-83354,205,79147,-75131,195,79147,-196257,348
0.0,62267,2303,96,62267,4440,93,62267,-3547,106,62267,-2367,104,62267,-2119,103,62267,4523,93,62267,4746,92,62267,1579,97,62267,2707,96,62267,3032,95,62267,-88122,242,62267,-86673,239,62267,-50391,181,62267,-57327,192,62267,-152860,345
0.0,75798,353,100,75798,-5051,107,75798,-1583,102,75798,-5161,107,75798,4192,94,75798,-1429,102,75798,792,99,75798,-2500,103,75798,512,99,75798,-3260,104,75798,-86006,213,75798,-125383,265,75798,-55165,173,75798,-70922,194,75798,-180196,338
