n_nodes,n_req,n_msg,exec_time,alpha,tot_utility,jaini,count_assigned,count_unassigned,tot_gpu_jobs,tot_gpu_nodes,assigned_sum_gpu,tot_used_gpu,unassigned_sum_gpu,tot_cpu_jobs,tot_cpu_nodes,assigned_sum_cpu,tot_used_cpu,unassigned_sum_cpu,tot_bw_jobs,tot_bw_nodes,assigned_sum_bw,tot_used_bw,unassigned_sum_bw,first_failure_after,node_0_jobs,node_0_utility,node_0_initial_gpu,node_0_updated_gpu,node_0_used_gpu,node_0_initial_cpu,node_0_updated_cpu,node_0_used_cpu,node_0_initial_bw,node_0_updated_bw,node_0_used_bw,node_1_jobs,node_1_utility,node_1_initial_gpu,node_1_updated_gpu,node_1_used_gpu,node_1_initial_cpu,node_1_updated_cpu,node_1_used_cpu,node_1_initial_bw,node_1_updated_bw,node_1_used_bw,node_2_jobs,node_2_utility,node_2_initial_gpu,node_2_updated_gpu,node_2_used_gpu,node_2_initial_cpu,node_2_updated_cpu,node_2_used_cpu,node_2_initial_bw,node_2_updated_bw,node_2_used_bw,node_3_jobs,node_3_utility,node_3_initial_gpu,node_3_updated_gpu,node_3_used_gpu,node_3_initial_cpu,node_3_updated_cpu,node_3_used_cpu,node_3_initial_bw,node_3_updated_bw,node_3_used_bw,node_4_jobs,node_4_utility,node_4_initial_gpu,node_4_updated_gpu,node_4_used_gpu,node_4_initial_cpu,node_4_updated_cpu,node_4_used_cpu,node_4_initial_bw,node_4_updated_bw,node_4_used_bw,node_5_jobs,node_5_utility,node_5_initial_gpu,node_5_updated_gpu,node_5_used_gpu,node_5_initial_cpu,node_5_updated_cpu,node_5_used_cpu,node_5_initial_bw,node_5_updated_bw,node_5_used_bw,node_6_jobs,node_6_utility,node_6_initial_gpu,node_6_updated_gpu,node_6_used_gpu,node_6_initial_cpu,node_6_updated_cpu,node_6_used_cpu,node_6_initial_bw,node_6_updated_bw,node_6_used_bw,node_7_jobs,node_7_utility,node_7_initial_gpu,node_7_updated_gpu,node_7_used_gpu,node_7_initial_cpu,node_7_updated_cpu,node_7_used_cpu,node_7_initial_bw,node_7_updated_bw,node_7_used_bw,node_8_jobs,node_8_utility,node_8_initial_gpu,node_8_updated_gpu,node_8_used_gpu,node_8_initial_cpu,node_8_updated_cpu,node_8_used_cpu,node_8_initial_bw,node_8_updated_bw,node_8_used_bw,node_9_jobs,node_9_utility,node_9_initial_gpu,node_9_updated_gpu,node_9_used_gpu,node_9_initial_cpu,node_9_updated_cpu,node_9_used_cpu,node_9_initial_bw,node_9_updated_bw,node_9_used_bw
10,100,28280,130.23686504364014,0.0,171.26,0.992969696969697,49,51,1600.0,350308.42,6100.0,6100.0,7415.0,9600.0,2902137.33,67420.0,67419.99,75700.0,472444.63,626972.8000000002,238648.81,604370.42,233795.82,37,13,16.51,18663.92,16628.92,2035.0,429153.36,421123.36,8030.0,62697.28,2983.17,59714.11,13,18.33,16838.61,16102.02,736.58,288488.49,276345.16,12143.33,62697.28,3497.63,59199.65,15,17.37,31595.07,31206.32,388.75,233132.72,228272.72,4860.0,62697.28,2229.46,60467.82,12,15.29,48328.38,48067.96,260.42,235092.15,230788.81,4303.33,62697.28,2909.11,59788.17,11,19.99,25078.49,24857.74,220.75,431697.13,428907.13,2790.0,62697.28,4988.6,57708.67,13,14.31,22231.56,21703.22,528.33,319161.03,311161.03,8000.0,62697.28,-2754.94,65452.21,13,24.36,46792.82,45734.57,1058.25,276632.39,259892.39,16740.0,62697.28,2031.86,60665.42,12,15.17,46704.72,46362.3,342.42,235367.5,231867.5,3500.0,62697.28,2135.99,60561.29,14,14.92,44556.73,44296.82,259.92,214665.06,211111.72,3553.33,62697.28,2139.13,60558.15,12,15.01,49518.12,49248.54,269.58,238747.5,235247.5,3500.0,62697.28,2442.35,60254.93
10,100,37141,160.25334191322327,0.0,227.69,0.974375208263912,69,31,1000.0,264025.75,8800.0,8800.0,4325.0,10000.0,3402452.190000001,102640.0,102640.0,50430.0,481588.58,791472.7000000001,321085.57,771791.86,160503.0,25,19,34.66,17175.08,16554.33,620.75,324353.5,316980.16,7373.33,79147.27,1446.54,77700.73,20,26.06,46254.85,45233.68,1021.17,412850.09,404256.76,8593.33,79147.27,938.74,78208.53,16,20.84,24073.85,23274.77,799.08,307546.56,297649.89,9896.67,79147.27,1802.57,77344.7,16,24.32,17667.08,16178.75,1488.33,255409.26,243422.59,11986.67,79147.27,2840.81,76306.46,16,18.53,26188.36,25188.36,1000.0,415849.29,407189.29,8660.0,79147.27,863.6,78283.68,17,21.6,34832.6,34165.6,667.0,442580.53,431187.19,11393.33,79147.27,2166.19,76981.08,13,17.41,48431.23,48006.73,424.5,337063.83,333227.16,3836.67,79147.27,2866.08,76281.19,22,25.43,28082.63,26959.72,1122.92,258362.66,243185.99,15176.67,79147.27,3218.43,75928.84,13,16.76,10470.8,10139.96,330.83,429777.12,425193.79,4583.33,79147.27,1963.66,77183.62,19,22.08,10849.27,9523.85,1325.42,218659.35,197519.35,21140.0,79147.27,1574.25,77573.03
10,100,34355,136.24351692199707,0.0,209.98,0.98,62,38,1600.0,311120.15,7779.0,7779.01,3270.0,7200.0,3339632.98,93220.0,93220.0,45380.0,504744.04,791472.7000000001,299335.56,769671.58,205408.49,23,14,18.78,16926.92,16386.92,540.0,399191.78,392791.78,6400.0,79147.27,3645.15,75502.12,14,21.53,37382.15,36853.65,528.5,247038.96,242084.96,4954.0,79147.27,1400.87,77746.4,20,34.17,48188.0,46193.5,1994.5,399695.16,387485.16,12210.0,79147.27,3783.83,75363.44,17,22.28,47564.17,46692.75,871.42,406228.47,397624.47,8604.0,79147.27,1903.67,77243.6,17,20.82,26892.08,26389.66,502.42,337843.82,331373.82,6470.0,79147.27,4005.87,75141.41,16,22.55,11650.91,11192.49,458.42,286520.57,275636.57,10884.0,79147.27,1380.9,77766.37,16,19.88,33028.65,32136.98,891.67,332023.38,322073.38,9950.0,79147.27,-423.77,79571.04,13,15.48,22355.79,21813.95,541.83,203309.38,197205.38,6104.0,79147.27,-389.76,79537.03,12,13.61,20488.3,19874.71,613.58,439349.21,426745.21,12604.0,79147.27,3849.07,75298.21,15,20.88,46643.18,45806.51,836.67,288432.25,273392.25,15040.0,79147.27,2645.32,76501.96
10,100,33473,141.22664594650269,0.0,177.38,0.9666372462488967,55,45,1000.0,322358.55,5859.0,5858.99,3970.0,7200.0,1845218.43,66805.0,66804.98,46220.0,527650.47,791472.7000000001,284473.93,761525.88,243176.54,10,19,20.2,32597.58,31937.75,659.83,230610.06,217320.06,13290.0,79147.27,4540.06,74607.21,19,19.62,32463.37,31802.54,660.83,240289.9,231396.56,8893.33,79147.27,214.02,78933.25,12,13.69,20119.72,19273.89,845.83,130648.56,123620.23,7028.33,79147.27,3605.4,75541.88,16,19.45,46704.72,45854.72,850.0,141220.5,132017.17,9203.33,79147.27,2936.23,76211.04,10,13.12,44556.73,44319.23,237.5,128799.03,126935.7,1863.33,79147.27,7854.75,71292.53,15,18.4,49518.12,49083.12,435.0,143248.5,138668.5,4580.0,79147.27,1841.03,77306.24,13,17.67,24823.77,24311.27,512.5,256143.77,252070.44,4073.33,79147.27,4623.67,74523.6,13,18.0,26840.66,26401.49,439.17,182540.87,178130.87,4410.0,79147.27,3943.26,75204.01,16,19.78,11741.2,11210.37,530.83,265106.38,257993.05,7113.33,79147.27,-692.84,79840.11,15,17.45,32992.68,32305.18,687.5,126610.86,120260.86,6350.0,79147.27,1081.26,78066.01
10,100,33817,135.24769377708435,0.0,174.43,0.9806998939554613,50,50,5000.0,258958.84,8579.0,8579.0,9625.0,10000.0,3404782.1999999997,74870.0,74870.0,63420.0,486704.25,743872.2999999999,242081.33,728063.5,244622.92,28,15,17.83,32222.68,31300.68,922.0,311305.6,300335.6,10970.0,74387.23,2078.08,72309.15,15,18.86,24276.33,22404.41,1871.92,270004.03,264710.03,5294.0,74387.23,-639.51,75026.74,12,14.7,24618.88,24190.54,428.33,230449.26,227549.26,2900.0,74387.23,4430.99,69956.24,9,13.48,16597.98,16172.23,425.75,372441.73,363227.73,9214.0,74387.23,3428.83,70958.4,15,20.34,11747.05,10440.05,1307.0,340693.58,325833.58,14860.0,74387.23,451.37,73935.86,14,17.4,21941.1,20337.35,1603.75,356982.24,343312.24,13670.0,74387.23,1794.06,72593.17,13,16.43,44955.48,44415.14,540.33,415444.84,411517.51,3927.33,74387.23,2301.29,72085.94,14,17.49,36755.2,36529.53,225.67,359439.76,357169.1,2270.67,74387.23,640.4,73746.84,13,17.13,14826.68,14409.35,417.33,360965.82,354815.82,6150.0,74387.23,4605.02,69782.21,16,20.78,31017.46,30180.54,836.92,387055.34,381441.34,5614.0,74387.23,-3281.71,77668.95
10,100,35850,170.278959274292,0.0,216.34,0.9743762643290627,68,32,2000.0,252216.63,9490.0,9490.0,3090.0,10000.0,3450931.45,89940.0,89939.99,44040.0,515225.15,791472.7000000001,329469.09,773105.42,185756.06,36,20,24.05,18394.05,16871.13,1522.92,296349.48,286979.48,9370.0,79147.27,3473.06,75674.22,15,21.27,11824.37,11072.29,752.08,250861.74,239431.74,11430.0,79147.27,5147.54,73999.73,15,16.58,45079.22,44175.14,904.08,437639.95,429249.95,8390.0,79147.27,1489.7,77657.57,14,17.45,18387.24,18051.49,335.75,354525.08,349911.75,4613.33,79147.27,469.05,78678.22,19,22.68,24823.77,24151.69,672.08,426906.28,418516.28,8390.0,79147.27,4201.99,74945.29,16,19.7,26840.66,26236.99,603.67,304234.78,296141.45,8093.33,79147.27,-2803.44,81950.71,22,25.93,11741.2,10149.12,1592.08,441843.97,426863.97,14980.0,79147.27,1924.45,77222.82,13,19.58,32992.68,32397.52,595.17,211018.09,202444.76,8573.33,79147.27,-1568.89,80716.16,19,24.83,33259.69,31108.69,2151.0,413879.99,402499.99,11380.0,79147.27,3407.45,75739.82,17,24.28,28873.75,28512.59,361.17,313672.09,308952.09,4720.0,79147.27,2626.39,76520.88
10,100,37142,142.2409303188324,0.0,234.05,0.9982356647763075,76,24,1600.0,258385.95999999996,8879.0,8879.0,1965.0,8000.0,3516489.2399999998,99260.0,99260.0,34000.0,472895.52,791472.7000000001,346678.31,763388.91,126217.22,62,17,23.92,17361.67,16918.83,442.83,433982.23,429328.9,4653.33,79147.27,3327.25,75820.02,19,24.06,26589.76,25738.01,851.75,271925.04,260024.38,11900.67,79147.27,1890.27,77257.01,18,27.84,26008.56,23713.56,2295.0,338834.3,330457.64,8376.67,79147.27,4586.85,74560.42,17,24.41,25581.67,25101.01,480.67,412155.51,404437.51,7718.0,79147.27,1780.92,77366.36,18,26.34,24049.5,23295.42,754.08,318841.95,305348.62,13493.33,79147.27,2590.62,76556.65,19,22.38,15252.82,14176.07,1076.75,421256.79,407529.45,13727.33,79147.27,2094.34,77052.93,18,22.73,45011.66,43820.33,1191.33,272621.44,257747.44,14874.0,79147.27,3183.72,75963.55,18,22.64,20875.02,20260.1,614.92,322007.05,314860.39,7146.67,79147.27,2645.96,76501.31,17,21.35,39261.25,38758.25,503.0,428515.45,420122.11,8393.33,79147.27,3631.13,75516.14,17,18.38,18394.05,17725.38,668.67,296349.48,287372.81,8976.67,79147.27,2352.75,76794.52
10,100,27486,132.23758745193481,0.0,142.31,0.973054873054873,45,55,2000.0,286640.26,5835.0,5834.99,6880.0,9000.0,1994130.76,52400.0,52400.0,55200.0,474037.44,559998.6,209936.97,522372.56,264100.48,1,11,16.84,26841.78,26112.2,729.58,204737.21,197347.21,7390.0,55999.86,5279.91,50719.95,8,12.79,47803.69,47219.1,584.58,179571.8,175701.8,3870.0,55999.86,4685.07,51314.78,14,16.23,27335.26,26828.6,506.67,269426.04,264786.04,4640.0,55999.86,1642.14,54357.72,14,16.7,15769.59,14749.59,1020.0,221156.95,212036.95,9120.0,55999.86,3031.47,52968.38,10,12.45,15109.39,14618.56,490.83,217394.9,213374.9,4020.0,55999.86,3903.35,52096.5,11,13.75,48609.69,48252.19,357.5,121748.2,116848.2,4900.0,55999.86,4524.12,51475.74,10,12.83,17175.08,16601.75,573.33,194612.1,191072.1,3540.0,55999.86,1201.26,54798.59,11,13.64,46254.85,45547.35,707.5,247710.06,239990.06,7720.0,55999.86,4134.65,51865.21,11,14.56,24073.85,23590.1,483.75,184527.94,180987.94,3540.0,55999.86,4791.66,51208.19,9,12.5,17667.08,17285.83,381.25,153245.56,149585.56,3660.0,55999.86,4432.35,51567.5
10,100,31868,163.27005314826965,0.0,175.3,0.9607274644175013,51,49,2000.0,276001.98,7739.0,7739.01,7375.0,7200.0,1943054.5999999996,45560.0,45560.01,51360.0,522605.29,791472.7000000001,255589.03,756191.71,267016.27,4,12,16.44,25899.56,25565.39,334.17,148426.74,145643.4,2783.33,79147.27,5839.75,73307.53,16,22.74,49926.11,49436.11,490.0,133988.5,129571.83,4416.67,79147.27,2747.93,76399.34,13,17.4,30132.71,29794.46,338.25,232180.61,228754.94,3425.67,79147.27,3767.45,75379.82,16,24.29,20819.01,20311.26,507.75,266559.38,261440.38,5119.0,79147.27,1081.35,78065.92,9,9.84,25949.4,25754.9,194.5,239914.78,237210.78,2704.0,79147.27,4709.31,74437.96,17,20.97,40295.55,37738.55,2557.0,193556.66,186356.66,7200.0,79147.27,4178.75,74968.52,16,18.95,24955.86,24575.94,379.92,145305.77,141170.77,4135.0,79147.27,1742.34,77404.93,11,13.07,19441.92,19214.17,227.75,135474.91,133155.91,2319.0,79147.27,4059.67,75087.6,15,19.86,26840.66,25827.99,1012.67,182540.87,173330.2,9210.67,79147.27,3757.02,75390.25,10,11.75,11741.2,10044.2,1697.0,265106.38,260859.72,4246.67,79147.27,3397.44,75749.84
10,100,28900,130.22168278694153,0.0,174.25,0.9743979721166033,49,51,1600.0,340168.57,8025.0,8025.0,5965.0,9000.0,3410682.11,74120.0,74119.99,66420.0,474707.18,622954.1000000002,211305.94,606784.95,263401.24,28,13,16.86,24348.45,23135.95,1212.5,317043.65,302533.65,14510.0,62295.41,-2106.71,64402.12,13,17.51,42952.29,41067.29,1885.0,423802.29,419238.96,4563.33,62295.41,3797.65,58497.76,13,19.47,32471.71,31921.29,550.42,421541.23,416791.23,4750.0,62295.41,1076.94,61218.48,15,20.18,36764.36,36294.78,469.58,263399.52,255679.52,7720.0,62295.41,-6640.33,68935.74,13,17.37,43069.08,42309.5,759.58,443492.6,435749.26,7743.33,62295.41,4249.19,58046.22,13,19.33,16897.33,16309.41,587.92,322366.3,316582.97,5783.33,62295.41,4216.73,58078.69,13,22.07,21036.72,20557.13,479.58,260122.96,254159.62,5963.33,62295.41,3209.05,59086.36,13,15.95,36592.62,35913.45,679.17,313628.27,307604.94,6023.33,62295.41,2014.12,60281.29,11,16.41,41685.78,40735.78,950.0,284794.64,271587.97,13206.67,62295.41,5127.24,57168.17,7,9.1,44350.23,43898.98,451.25,360490.65,356633.98,3856.67,62295.41,1225.3,61070.12
