alpha,Edge_0_initial,Edge_0_final,Edge_0_usage,Edge_1_initial,Edge_1_final,Edge_1_usage,Edge_2_initial,Edge_2_final,Edge_2_usage,Edge_3_initial,Edge_3_final,Edge_3_usage,Edge_4_initial,Edge_4_final,Edge_4_usage,Edge_5_initial,Edge_5_final,Edge_5_usage,Edge_6_initial,Edge_6_final,Edge_6_usage,Edge_7_initial,Edge_7_final,Edge_7_usage,Edge_8_initial,Edge_8_final,Edge_8_usage,Edge_9_initial,Edge_9_final,Edge_9_usage,Edge_10_initial,Edge_10_final,Edge_10_usage,Edge_11_initial,Edge_11_final,Edge_11_usage,Edge_12_initial,Edge_12_final,Edge_12_usage,Edge_13_initial,Edge_13_final,Edge_13_usage,Edge_14_initial,Edge_14_final,Edge_14_usage
0.0,62697,3482,94,62697,5491,91,62697,2229,96,62697,4365,93,62697,6270,90,62697,-1924,103,62697,4319,93,62697,2634,96,62697,3114,95,62697,3417,95,62697,-78891,226,62697,-97069,255,62697,-33705,154,62697,-51710,182,62697,-130782,309
0.0,79147,2969,96,79147,2504,97,79147,3852,95,79147,3240,96,79147,1326,98,79147,2565,97,79147,5862,93,79147,4659,94,79147,3096,96,79147,2535,97,79147,-110218,239,79147,-124600,257,79147,-60456,176,79147,-60627,177,79147,-174195,320
0.0,79147,6783,91,79147,2984,96,79147,5018,94,79147,2760,97,79147,4006,95,79147,1780,98,79147,866,99,79147,1867,98,79147,6195,92,79147,4509,94,79147,-102142,229,79147,-110070,239,79147,-66285,184,79147,-54355,169,79147,-155845,297
0.0,79147,6756,91,79147,506,99,79147,6114,92,79147,4063,95,79147,9831,88,79147,1841,98,79147,6158,92,79147,6528,92,79147,773,99,79147,2968,96,79147,-94673,220,79147,-134040,269,79147,-50983,164,79147,-59178,175,79147,-171116,316
0.0,74387,3276,96,74387,1541,98,74387,5860,92,74387,5809,92,74387,2039,97,74387,2131,97,74387,3207,96,74387,1724,98,74387,5103,93,74387,-1960,103,74387,-86919,217,74387,-108046,245,74387,-57406,177,74387,-66854,190,74387,-168710,327
0.0,79147,4271,95,79147,7347,91,79147,3852,95,79147,469,99,79147,5356,93,79147,-2012,103,79147,2323,97,79147,-1299,102,79147,4598,94,79147,5366,93,79147,-113932,244,79147,-102467,229,79147,-60926,177,79147,-46682,159,79147,-130314,265
0.0,79147,4617,94,79147,2880,96,79147,4587,94,79147,4104,95,79147,2591,97,79147,3140,96,79147,5682,93,79147,3631,95,79147,4928,94,79147,2353,97,79147,-110452,240,79147,-84164,206,79147,-50584,164,79147,-56520,171,79147,-164576,308
0.0,56000,6443,88,56000,8866,84,56000,2631,95,56000,3480,94,56000,6674,88,56000,5314,91,56000,2098,96,56000,5323,90,56000,6187,89,56000,5222,91,56000,-70184,225,56000,-63950,214,56000,-47283,184,56000,-37481,167,56000,-126390,326
0.0,79147,9141,88,79147,4437,94,79147,5356,93,79147,1980,97,79147,8028,90,79147,5346,93,79147,1742,98,79147,6339,92,79147,4535,94,79147,5086,94,79147,-95597,221,79147,-114355,244,79147,-64134,181,79147,-58926,174,79147,-175561,322
0.0,62295,-45,100,62295,5152,92,62295,2074,97,62295,-5153,108,62295,5784,91,62295,6705,89,62295,4416,93,62295,3888,94,62295,6362,90,62295,5177,92,62295,-55030,188,62295,-79462,228,62295,-44974,172,62295,-52949,185,62295,-121718,295
0.0,79147,5389,93,79147,4673,94,79147,6186,92,79147,9794,88,79147,5477,93,79147,8648,89,79147,4609,94,79147,5775,93,79147,559,99,79147,5593,93,79147,-117634,249,79147,-88188,211,79147,-61448,178,79147,-50859,164,79147,-159737,302
0.0,58820,2992,95,58820,5097,91,58820,5847,90,58820,4351,93,58820,5952,90,58820,3773,94,58820,3471,94,58820,3263,94,58820,3627,94,58820,5236,91,58820,-84727,244,58820,-61084,204,58820,-46586,179,58820,-42549,172,58820,-120076,304
0.0,79147,8370,89,79147,4605,94,79147,8381,89,79147,5321,93,79147,2538,97,79147,-114,100,79147,6866,91,79147,4047,95,79147,3697,95,79147,1635,98,79147,-113999,244,79147,-106457,235,79147,-48130,161,79147,-48596,161,79147,-133946,269
0.0,75461,2720,96,75461,4467,94,75461,2749,96,75461,6587,91,75461,3683,95,75461,4972,93,75461,3797,95,75461,6111,92,75461,2676,96,75461,4870,94,75461,-100096,233,75461,-92130,222,75461,-50630,167,75461,-46656,162,75461,-146166,294
0.0,79147,5004,94,79147,6378,92,79147,2596,97,79147,6039,92,79147,8130,90,79147,46,100,79147,5777,93,79147,2823,96,79147,3456,96,79147,1353,98,79147,-108160,237,79147,-110891,240,79147,-46560,159,79147,-51471,165,79147,-166124,310
0.0,79147,3138,96,79147,4944,94,79147,2865,96,79147,955,99,79147,1885,98,79147,1888,98,79147,2177,97,79147,3937,95,79147,3510,96,79147,5109,94,79147,-101011,228,79147,-96542,222,79147,-66190,184,79147,-58611,174,79147,-171097,316
0.0,79147,9100,89,79147,1098,99,79147,1028,99,79147,9066,89,79147,3452,96,79147,5047,94,79147,2772,96,79147,3935,95,79147,1908,98,79147,5180,93,79147,-119772,251,79147,-119046,250,79147,-55174,170,79147,-47984,161,79147,-162777,306
0.0,79147,5410,93,79147,4531,94,79147,5168,93,79147,9729,88,79147,6297,92,79147,5901,93,79147,3207,96,79147,552,99,79147,9356,88,79147,6391,92,79147,-83529,206,79147,-85420,208,79147,-64393,181,79147,-65950,183,79147,-186919,336
0.0,79147,3623,95,79147,2029,97,79147,4497,94,79147,9292,88,79147,5191,93,79147,5264,93,79147,2606,97,79147,8087,90,79147,5686,93,79147,3346,96,79147,-97153,223,79147,-97319,223,79147,-64129,181,79147,-49661,163,79147,-173291,319
0.0,79147,7490,91,79147,6169,92,79147,5027,94,79147,6610,92,79147,8182,90,79147,5989,92,79147,4307,95,79147,6710,92,79147,4618,94,79147,5654,93,79147,-100785,227,79147,-103758,231,79147,-67633,185,79147,-65827,183,79147,-162708,306
0.0,66293,4808,93,66293,4081,94,66293,5716,91,66293,2210,97,66293,4603,93,66293,3994,94,66293,2930,96,66293,4870,93,66293,4934,93,66293,3932,94,66293,-92167,239,66293,-87907,233,66293,-57648,187,66293,-47311,171,66293,-121167,283
0.0,79147,4080,95,79147,4698,94,79147,5320,93,79147,4082,95,79147,4905,94,79147,3880,95,79147,5046,94,79147,3064,96,79147,5839,93,79147,2578,97,79147,-105668,234,79147,-122479,255,79147,-53962,168,79147,-65098,182,79147,-165530,309
0.0,79147,4586,94,79147,5421,93,79147,660,99,79147,3206,96,79147,4256,95,79147,3356,96,79147,4861,94,79147,729,99,79147,3725,95,79147,1575,98,79147,-114234,244,79147,-98866,225,79147,-62734,179,79147,-67298,185,79147,-172600,318
0.0,79147,3380,96,79147,6651,92,79147,5285,93,79147,3836,95,79147,3547,96,79147,6413,92,79147,13,100,79147,-1155,101,79147,-2426,103,79147,-277,100,79147,-121520,254,79147,-109149,238,79147,-49653,163,79147,-68841,187,79147,-196986,349
0.0,79147,2383,97,79147,8197,90,79147,3455,96,79147,3708,95,79147,3290,96,79147,8601,89,79147,6163,92,79147,1686,98,79147,4804,94,79147,5574,93,79147,-115499,246,79147,-97215,223,79147,-59918,176,79147,-70563,189,79147,-157829,299
0.0,79147,4801,94,79147,6185,92,79147,2580,97,79147,3418,96,79147,2945,96,79147,2610,97,79147,5677,93,79147,2879,96,79147,1637,98,79147,5969,92,79147,-109448,238,79147,-91618,216,79147,-55062,170,79147,-67459,185,79147,-166743,311
0.0,79147,4228,95,79147,6042,92,79147,5412,93,79147,1905,98,79147,6551,92,79147,5832,93,79147,6025,92,79147,3222,96,79147,5663,93,79147,3594,95,79147,-111836,241,79147,-94335,219,79147,-65014,182,79147,-59692,175,79147,-154583,295
0.0,79147,8306,90,79147,-957,101,79147,3644,95,79147,5165,93,79147,4828,94,79147,4560,94,79147,7046,91,79147,4415,94,79147,3709,95,79147,2315,97,79147,-122645,255,79147,-116582,247,79147,-58363,174,79147,-53344,167,79147,-156781,298
0.0,62612,4398,93,62612,4775,92,62612,1408,98,62612,3983,94,62612,8051,87,62612,6773,89,62612,9506,85,62612,3514,94,62612,3536,94,62612,6878,89,62612,-79410,227,62612,-55653,189,62612,-51698,183,62612,-34925,156,62612,-122170,295
0.0,69541,-2170,103,69541,586,99,69541,4410,94,69541,3881,94,69541,5793,92,69541,-2935,104,69541,2948,96,69541,2160,97,69541,-567,101,69541,4722,93,69541,-117493,269,69541,-74107,207,69541,-43272,162,69541,-51931,175,69541,-133546,292
0.0,79147,4917,94,79147,4221,95,79147,7550,90,79147,6175,92,79147,5081,94,79147,9810,88,79147,6222,92,79147,6522,92,79147,7081,91,79147,934,99,79147,-93152,218,79147,-100147,227,79147,-62972,180,79147,-51545,165,79147,-160208,302
0.5,79147,3241,96,79147,704,99,79147,3694,95,79147,3604,95,79147,4144,95,79147,4953,94,79147,1798,98,79147,3372,96,79147,322,100,79147,2729,97,79147,-123163,256,79147,-117840,249,79147,-64831,182,79147,-51637,165,79147,-168294,313
0.5,79147,3571,95,79147,2955,96,79147,6246,92,79147,5149,93,79147,414,99,79147,2833,96,79147,2182,97,79147,4141,95,79147,1363,98,79147,6086,92,79147,-97921,224,79147,-88535,212,79147,-43591,155,79147,-48387,161,79147,-130377,265
0.5,79147,2518,97,79147,5994,92,79147,3141,96,79147,5044,94,79147,8728,89,79147,4380,94,79147,5556,93,79147,5967,92,79147,3476,96,79147,1682,98,79147,-116579,247,79147,-108195,237,79147,-48685,162,79147,-57158,172,79147,-176948,324
0.5,56000,2577,95,56000,4091,93,56000,2092,96,56000,3555,94,56000,3762,93,56000,6451,88,56000,2388,96,56000,5196,91,56000,3006,95,56000,6623,88,56000,-64602,215,56000,-75275,234,56000,-35024,163,56000,-35346,163,56000,-125409,324
0.5,79147,489,99,79147,6222,92,79147,4374,94,79147,2920,96,79147,5634,93,79147,6611,92,79147,5547,93,79147,8528,89,79147,6087,92,79147,-172,100,79147,-107873,236,79147,-121463,253,79147,-53567,168,79147,-57776,173,79147,-169991,315
0.5,79147,2051,97,79147,-156,100,79147,3942,95,79147,3641,95,79147,6340,92,79147,3087,96,79147,3793,95,79147,791,99,79147,6617,92,79147,4434,94,79147,-106116,234,79147,-109195,238,79147,-54368,169,79147,-64105,181,79147,-173985,320
0.5,79147,3729,95,79147,8496,89,79147,6922,91,79147,4945,94,79147,7109,91,79147,9909,87,79147,6102,92,79147,6261,92,79147,5833,93,79147,4005,95,79147,-105749,234,79147,-97870,224,79147,-56570,171,79147,-58430,174,79147,-172593,318
0.5,79147,2281,97,79147,3868,95,79147,3507,96,79147,4021,95,79147,6635,92,79147,6259,92,79147,250,100,79147,5445,93,79147,3585,95,79147,3274,96,79147,-124628,257,79147,-111414,241,79147,-56644,172,79147,-55777,170,79147,-187654,337
0.5,79147,4275,95,79147,3254,96,79147,7568,90,79147,5308,93,79147,1660,98,79147,3372,96,79147,6021,92,79147,-1314,102,79147,3403,96,79147,3874,95,79147,-107881,236,79147,-115509,246,79147,-61571,178,79147,-65082,182,79147,-185960,335
0.5,79147,6036,92,79147,2366,97,79147,4457,94,79147,4713,94,79147,4199,95,79147,3239,96,79147,2653,97,79147,4907,94,79147,4453,94,79147,4647,94,79147,-125870,259,79147,-113627,244,79147,-61427,178,79147,-57036,172,79147,-183775,332
0.5,62612,4156,93,62612,7713,88,62612,7713,88,62612,4627,93,62612,5328,91,62612,1005,98,62612,4226,93,62612,4706,92,62612,6953,89,62612,4981,92,62612,-84790,235,62612,-87216,239,62612,-47483,176,62612,-38491,161,62612,-142613,328
0.5,79147,1161,99,79147,5155,93,79147,1090,99,79147,6704,92,79147,39,100,79147,3974,95,79147,-890,101,79147,1189,98,79147,3109,96,79147,3389,96,79147,-122933,255,79147,-124644,257,79147,-60055,176,79147,-63339,180,79147,-199040,351
0.5,79147,6287,92,79147,3027,96,79147,1524,98,79147,5710,93,79147,4373,94,79147,1770,98,79147,4201,95,79147,1019,99,79147,727,99,79147,4126,95,79147,-109826,239,79147,-98805,225,79147,-34783,144,79147,-65736,183,79147,-166794,311
0.5,79147,4039,95,79147,5419,93,79147,3876,95,79147,4193,95,79147,5057,94,79147,4646,94,79147,5992,92,79147,5399,93,79147,6116,92,79147,3011,96,79147,-80621,202,79147,-102743,230,79147,-59185,175,79147,-65568,183,79147,-156630,298
0.5,74387,4012,95,74387,2920,96,74387,2259,97,74387,4214,94,74387,5322,93,74387,2721,96,74387,3804,95,74387,2379,97,74387,2745,96,74387,2793,96,74387,-97180,231,74387,-122570,265,74387,-56617,176,74387,-57475,177,74387,-169562,328
0.5,79147,5327,93,79147,5513,93,79147,205,100,79147,2111,97,79147,6427,92,79147,5329,93,79147,2448,97,79147,7523,90,79147,2567,97,79147,6862,91,79147,-93869,219,79147,-92257,217,79147,-60604,177,79147,-32427,141,79147,-167473,312
0.5,79147,2338,97,79147,4213,95,79147,6993,91,79147,5263,93,79147,7598,90,79147,6613,92,79147,5829,93,79147,7430,91,79147,3258,96,79147,6631,92,79147,-102217,229,79147,-105310,233,79147,-37369,147,79147,-49839,163,79147,-153462,294
0.5,79147,1660,98,79147,6439,92,79147,6002,92,79147,2745,97,79147,4319,95,79147,4823,94,79147,4718,94,79147,4690,94,79147,3057,96,79147,2834,96,79147,-115286,246,79147,-116945,248,79147,-59382,175,79147,-71712,191,79147,-185884,335
