n_nodes,n_req,n_msg,exec_time,alpha,tot_utility,jaini,count_assigned,count_unassigned,time_instant,tot_gpu_jobs,tot_gpu_nodes,assigned_sum_gpu,tot_used_gpu,unassigned_sum_gpu,tot_cpu_jobs,tot_cpu_nodes,assigned_sum_cpu,tot_used_cpu,unassigned_sum_cpu,tot_bw_jobs,tot_bw_nodes,assigned_sum_bw,tot_used_bw,unassigned_sum_bw,first_failure_after,node_0_jobs,node_0_utility,node_0_initial_gpu,node_0_updated_gpu,node_0_used_gpu,node_0_initial_cpu,node_0_updated_cpu,node_0_used_cpu,node_0_initial_bw,node_0_updated_bw,node_0_used_bw,node_1_jobs,node_1_utility,node_1_initial_gpu,node_1_updated_gpu,node_1_used_gpu,node_1_initial_cpu,node_1_updated_cpu,node_1_used_cpu,node_1_initial_bw,node_1_updated_bw,node_1_used_bw,node_2_jobs,node_2_utility,node_2_initial_gpu,node_2_updated_gpu,node_2_used_gpu,node_2_initial_cpu,node_2_updated_cpu,node_2_used_cpu,node_2_initial_bw,node_2_updated_bw,node_2_used_bw,node_3_jobs,node_3_utility,node_3_initial_gpu,node_3_updated_gpu,node_3_used_gpu,node_3_initial_cpu,node_3_updated_cpu,node_3_used_cpu,node_3_initial_bw,node_3_updated_bw,node_3_used_bw
4,20,0,0.00011897087097167969,1.0,0,1,0,0,0,200.0,249008861.82999998,0,0,0,1800.0,2258703793.34,0,0,0,100858.76,400000000000,0,0,0,0,0,0,33093386.66,33093386.66,0,565430933.32,565430933.32,0,100000000000,100000000000,0,0,0,93590849.71,93590849.71,0,618933181.33,618933181.33,0,100000000000,100000000000,0,0,0,86073240.95,86073240.95,0,471582088.68,471582088.68,0,100000000000,100000000000,0,0,0,36251384.51,36251384.51,0,602757590.01,602757590.01,0,100000000000,100000000000,0
4,20,840,10.643951416015625,1.0,48.0,1.0,6,0,1,200.0,249008861.82999998,300.0,300.0,0,1800.0,2258703793.34,4400.0,4400.0,0,100858.76,400000000000,23127.12,64581.42,0,6,6,12.0,33093386.66,33093311.66,75.0,565430933.32,565429833.32,1100.0,100000000000,99999981137.6,18862.4,6,12.0,93590849.71,93590774.71,75.0,618933181.33,618932081.33,1100.0,100000000000,99999988436.44,11563.56,6,12.0,86073240.95,86073165.95,75.0,471582088.68,471580988.68,1100.0,100000000000,99999988436.44,11563.56,6,12.0,36251384.51,36251309.51,75.0,602757590.01,602756490.01,1100.0,100000000000,99999977408.1,22591.9
4,20,2684,10.647835493087769,1.0,48.0,1.0,6,0,2,200.0,249008861.82999998,500.0,800.0,0,1800.0,2258703793.34,4600.0,9000.0,0,100858.76,400000000000,36241.06,155184.09,0,6,6,12.0,33093386.66,33093186.66,200.0,565430933.32,565428683.32,2250.0,100000000000,99999963017.06,36982.94,6,12.0,93590849.71,93590649.71,200.0,618933181.33,618930931.33,2250.0,100000000000,99999970315.91,29684.09,6,12.0,86073240.95,86073040.95,200.0,471582088.68,471579838.68,2250.0,100000000000,99999970315.91,29684.09,6,12.0,36251384.51,36251184.51,200.0,602757590.01,602755340.01,2250.0,100000000000,99999941167.03,58832.97
4,20,5424,10.674663305282593,1.0,48.0,1.0,6,0,3,200.0,249008861.82999998,385.0,960.0,0,1800.0,2258703793.34,5420.0,11620.0,0,100858.76,400000000000,33515.88,257725.39,0,6,6,12.0,33093386.66,33093146.66,240.0,565430933.32,565428028.32,2905.0,100000000000,99999927507.51,72492.49,6,12.0,93590849.71,93590609.71,240.0,618933181.33,618930276.33,2905.0,100000000000,99999953557.97,46442.03,6,12.0,86073240.95,86073000.95,240.0,471582088.68,471579183.68,2905.0,100000000000,99999953557.97,46442.03,6,12.0,36251384.51,36251144.51,240.0,602757590.01,602754685.01,2905.0,100000000000,99999907651.16,92348.84
4,20,0,9.107589721679688e-05,1.0,0,1,0,0,0,2000.0,281874211.93,0,0,0,4800.0,2693049939.52,0,0,0,107649.38,400000000000,0,0,0,0,0,0,51330536.22,51330536.22,0,675768293.56,675768293.56,0,100000000000,100000000000,0,0,0,88635700.71,88635700.71,0,619053595.04,619053595.04,0,100000000000,100000000000,0,0,0,96084381.3,96084381.3,0,637758427.95,637758427.95,0,100000000000,100000000000,0,0,0,45823593.7,45823593.7,0,760469622.97,760469622.97,0,100000000000,100000000000,0
4,20,826,10.65394926071167,1.0,48.0,1.0,6,0,1,2000.0,281874211.93,2410.0,2410.0,0,4800.0,2693049939.52,10800.0,10800.0,0,107649.38,400000000000,26521.22,66996.74,0,6,6,12.0,51330536.22,51329933.72,602.5,675768293.56,675765593.56,2700.0,100000000000,99999977783.56,22216.44,6,12.0,88635700.71,88635098.21,602.5,619053595.04,619050895.04,2700.0,100000000000,99999986739.39,13260.61,6,12.0,96084381.3,96083778.8,602.5,637758427.95,637755727.95,2700.0,100000000000,99999986739.39,13260.61,6,12.0,45823593.7,45822991.2,602.5,760469622.97,760466922.97,2700.0,100000000000,99999981740.92,18259.08
4,20,2344,10.652933120727539,1.0,48.0,1.0,6,0,2,2000.0,281874211.93,460.0,2870.0,0,4800.0,2693049939.52,6200.0,17000.0,0,107649.38,400000000000,29003.3,139504.99,0,6,6,12.0,51330536.22,51329818.72,717.5,675768293.56,675764043.56,4250.0,100000000000,99999955654.53,44345.47,6,12.0,88635700.71,88634983.21,717.5,619053595.04,619049345.04,4250.0,100000000000,99999972237.74,27762.26,6,12.0,96084381.3,96083663.8,717.5,637758427.95,637754177.95,4250.0,100000000000,99999972237.74,27762.26,6,12.0,45823593.7,45822876.2,717.5,760469622.97,760465372.97,4250.0,100000000000,99999960365.0,39635.0
4,20,4838,10.659722805023193,1.0,48.0,1.0,6,0,3,2000.0,281874211.93,420.0,1080.0,0,4800.0,2693049939.52,7800.0,19000.0,0,107649.38,400000000000,40222.79,258179.67,0,6,6,12.0,51330536.22,51330266.22,270.0,675768293.56,675763543.56,4750.0,100000000000,99999921382.78,78617.22,6,12.0,88635700.71,88635430.71,270.0,619053595.04,619048845.04,4750.0,100000000000,99999952126.35,47873.65,6,12.0,96084381.3,96084111.3,270.0,637758427.95,637753677.95,4750.0,100000000000,99999952126.35,47873.65,6,12.0,45823593.7,45823323.7,270.0,760469622.97,760464872.97,4750.0,100000000000,99999916184.85,83815.15
4,20,0,0.00010037422180175781,1.0,0,1,0,0,0,300.0,197811029.5,0,0,0,1800.0,2677469723.77,0,0,0,101313.89,400000000000,0,0,0,0,0,0,35773007.05,35773007.05,0,476507197.39,476507197.39,0,100000000000,100000000000,0,0,0,52062689.01,52062689.01,0,627047389.35,627047389.35,0,100000000000,100000000000,0,0,0,40442200.02,40442200.02,0,712360611.47,712360611.47,0,100000000000,100000000000,0,0,0,69533133.42,69533133.42,0,861554525.56,861554525.56,0,100000000000,100000000000,0
4,20,796,10.653212308883667,1.0,48.0,1.0,6,0,1,300.0,197811029.5,495.0,495.0,0,1800.0,2677469723.77,5200.0,5200.0,0,101313.89,400000000000,28153.77,57669.75,0,6,6,12.0,35773007.05,35772883.3,123.75,476507197.39,476505897.39,1300.0,100000000000,99999985923.12,14076.88,6,12.0,52062689.01,52062565.26,123.75,627047389.35,627046089.35,1300.0,100000000000,99999985923.12,14076.88,6,12.0,40442200.02,40442076.27,123.75,712360611.47,712359311.47,1300.0,100000000000,99999984560.89,15439.11,6,12.0,69533133.42,69533009.67,123.75,861554525.56,861553225.56,1300.0,100000000000,99999985923.12,14076.88
