,job_id,user,num_gpu,num_cpu,num_pod,duration,job_name,submit_time,group,gpu_type,wait_time,user_dur,group_dur,group_gpu_dur,read_count,write_count,num_inst,size,on_time,wasted,jct,resource,node
139,139,0,800,8000,8.0,202,fdca1b26347a096dc8cd73ec,0,648488fed3e892316ce095c5bd8cdfef,MISC,13,937.0,144.0,243.0,2724.4435767195764,1338.1471555267144,1,1777600,0,0,-1,"[800, 8000]",
181,181,1,50,600,1.0,68761,8ccb9c9fe88b53537e096dd9,0,14ee3f9f66e18c29e1c11178bf46fc55,MISC,11,7180.0,48431.5,48308.0,1975.2819939932187,1470.2898442789435,1,44694650,0,0,-1,"[50, 600]",
269,269,2,50,600,1.0,226,1ccc18d7d13073b642b3a016,0,34fcb128773bf10d3c686073e678af70,T4,4,386.0,205.0,205.0,3003.4444444444453,945.6428571428572,1,146900,0,0,-1,"[50, 600]",
270,270,3,2000,26000,10.0,3907,30185446faeb493c1d55cacd,0,6427718a08007f16b572d2bb8bbd27c9,V100,4,693.0,3037.0,4311.0,10395.307692307691,3738.918269230769,1,109396000,0,0,-1,"[2000, 26000]",
273,273,2,50,600,1.0,165,1ccc18d7d13073b642b3a016,0,cd4e02e27633d48040d5ed2185a72e50,T4,3,386.0,195.0,195.0,3003.4444444444453,945.6428571428572,1,107250,0,0,-1,"[50, 600]",
277,277,2,50,600,1.0,236,1ccc18d7d13073b642b3a016,0,33801a06308ced20ffb019b698b38584,T4,3,386.0,205.0,205.0,3003.4444444444453,945.6428571428572,1,153400,0,0,-1,"[50, 600]",
284,284,2,50,600,1.0,245,1ccc18d7d13073b642b3a016,0,b081ee9127590b0477192a95dc79f1ed,T4,3,386.0,240.5,240.5,3003.4444444444453,945.6428571428572,1,159250,0,0,-1,"[50, 600]",
295,295,2,50,600,1.0,276,1ccc18d7d13073b642b3a016,0,5c2710acbb9ea59257cabff312717726,T4,3,386.0,225.0,225.0,3003.4444444444453,945.6428571428572,1,179400,0,0,-1,"[50, 600]",
535,535,4,50,600,1.0,193,3e5fb00bf43aa67ee5c2b6d5,0,d57a3896094509dfe0c35d5a80f77d54,MISC,15,435.0,170.0,166.0,2872.061334769974,4314.033431085044,1,125450,0,0,-1,"[50, 600]",
557,557,2,1000,12000,20.0,1609,1ccc18d7d13073b642b3a016,0,a98d54331fc38942a45ea631ffe93075,T4,3,386.0,688.5,688.5,3003.4444444444453,945.6428571428572,1,20917000,0,0,-1,"[1000, 12000]",
1317,1317,5,50,600,1.0,1401,d894fd1af131ed7a296716b5,0,c2533526c6b54cecab0d07818fc9ada7,MISC,11,345.0,2249.5,2196.0,7914.727272727273,995.821870701513,1,910650,0,0,-1,"[50, 600]",
1323,1323,5,50,600,1.0,428,d894fd1af131ed7a296716b5,0,c7257ebd7ff19061e1995a0b4418f687,MISC,11,345.0,624.5,571.0,7914.727272727273,995.821870701513,1,278200,0,0,-1,"[50, 600]",
1397,1397,5,50,600,1.0,1657,d894fd1af131ed7a296716b5,0,c69e054255df532b4885852192347e6e,MISC,13,345.0,2537.0,2537.0,7914.727272727273,995.821870701513,1,1077050,0,0,-1,"[50, 600]",
1453,1453,1,50,600,1.0,83204,8ccb9c9fe88b53537e096dd9,0,34330d290ed6fe57a22bb40079f9e064,MISC,8,7180.0,65559.5,65613.0,1975.2819939932187,1470.2898442789435,1,54082600,0,0,-1,"[50, 600]",
1455,1455,1,50,600,1.0,81937,8ccb9c9fe88b53537e096dd9,0,0b5e31751ae1b2df97ae7de1a9c944d2,MISC,7,7180.0,65943.0,66061.5,1975.2819939932187,1470.2898442789435,1,53259050,0,0,-1,"[50, 600]",
1464,1464,1,50,600,1.0,27987,8ccb9c9fe88b53537e096dd9,0,97034d9cdd0cdf3621372076fb6e9464,MISC,13,7180.0,28689.0,28689.0,1975.2819939932187,1470.2898442789435,1,18191550,0,0,-1,"[50, 600]",
