count,num_cpu,num_gpu,bandwidth_avg,bandwidth_min,bandwidth_max,bandwidth_median,duration_avg,duration_min,duration_max,duration_median
1145,7200.0,300.0,3396.245814414043,497.76153091265945,9485.95800933126,3003.4444444444453,14355.288209606986,88,84938,11315.0
27161,600.0,100.0,5568.369499991921,0.0,107451.40909090907,3987.3481058112393,2573.8289827325943,13,535585,257.0
3824,1800.0,100.0,6204.1067957879195,356.24223114935626,19132.917612967125,5391.081736909323,5660.999476987447,7,167945,205.0
8760,600.0,25.0,4128.335446350692,0.0,107451.40909090907,2916.910652920962,8071.530707762557,15,453305,961.5
168,800.0,100.0,2994.1280126124902,0.0,11337.7875,634.8616600790514,1758.7440476190477,14,11904,485.5
8314,600.0,50.0,6389.909207915287,636.7592676515907,21669.134572952094,7914.727272727273,7745.089367332211,15,169754,1234.5
1080,600.0,200.0,4842.54552300922,307.3041775456918,19132.917612967125,6226.697058823531,2383.510185185185,15,44723,189.0
138,10.0,10.0,7914.727272727274,7914.727272727273,7914.727272727273,7914.727272727273,973.6086956521739,354,4053,702.0
3980,1000.0,50.0,2703.1277967992337,2695.6117647058827,5188.429075667328,2695.6117647058827,466.11281407035176,90,2586,425.0
10,3200.0,800.0,5043.159140213899,3003.4444444444453,5275.162420382166,5275.162420382166,5602.8,49,54834,76.0
289,20000.0,2500.0,5536.334423297442,1814.907181023316,23686.86128364389,5275.162420382166,6340.176470588235,97,140029,1768.0
903,6000.0,250.0,4730.515899570891,287.5336322869955,18756.47015662881,2724.4435767195764,5366.734219269103,49,64906,2652.0
180,12000.0,500.0,3918.5313561349344,1381.9339321400644,17494.733333333334,3089.814285714285,8010.8388888888885,54,67830,1400.0
33,3600.0,400.0,2241.5916495285073,1429.082191780822,4024.6078431372553,1429.082191780822,22267.636363636364,146,56868,3576.0
257,3200.0,200.0,7213.131931688129,0.0,15615.614864864863,7280.055555555555,3165.058365758755,45,57699,115.0
7648,600.0,10.0,7920.485680167772,3134.2215477996965,11948.910096818809,7914.727272727273,6488.038310669456,17,53852,5077.0
142,30000.0,1250.0,3098.463167722214,287.5336322869955,19377.9786532238,3003.4444444444453,8303.81690140845,64,48020,3607.0
