n_nodes,n_req,n_msg,exec_time,alpha,tot_utility,jaini,count_assigned,count_unassigned,tot_gpu_jobs,tot_gpu_nodes,assigned_sum_gpu,tot_used_gpu,unassigned_sum_gpu,tot_cpu_jobs,tot_cpu_nodes,assigned_sum_cpu,tot_used_cpu,unassigned_sum_cpu,tot_bw_jobs,tot_bw_nodes,assigned_sum_bw,tot_used_bw,unassigned_sum_bw,node_0_jobs,node_0_utility,node_0_initial_gpu,node_0_updated_gpu,node_0_used_gpu,node_0_initial_cpu,node_0_updated_cpu,node_0_used_cpu,node_0_initial_bw,node_0_updated_bw,node_0_used_bw,node_1_jobs,node_1_utility,node_1_initial_gpu,node_1_updated_gpu,node_1_used_gpu,node_1_initial_cpu,node_1_updated_cpu,node_1_used_cpu,node_1_initial_bw,node_1_updated_bw,node_1_used_bw,node_2_jobs,node_2_utility,node_2_initial_gpu,node_2_updated_gpu,node_2_used_gpu,node_2_initial_cpu,node_2_updated_cpu,node_2_used_cpu,node_2_initial_bw,node_2_updated_bw,node_2_used_bw,node_3_jobs,node_3_utility,node_3_initial_gpu,node_3_updated_gpu,node_3_used_gpu,node_3_initial_cpu,node_3_updated_cpu,node_3_used_cpu,node_3_initial_bw,node_3_updated_bw,node_3_used_bw,node_4_jobs,node_4_utility,node_4_initial_gpu,node_4_updated_gpu,node_4_used_gpu,node_4_initial_cpu,node_4_updated_cpu,node_4_used_cpu,node_4_initial_bw,node_4_updated_bw,node_4_used_bw,node_5_jobs,node_5_utility,node_5_initial_gpu,node_5_updated_gpu,node_5_used_gpu,node_5_initial_cpu,node_5_updated_cpu,node_5_used_cpu,node_5_initial_bw,node_5_updated_bw,node_5_used_bw,node_6_jobs,node_6_utility,node_6_initial_gpu,node_6_updated_gpu,node_6_used_gpu,node_6_initial_cpu,node_6_updated_cpu,node_6_used_cpu,node_6_initial_bw,node_6_updated_bw,node_6_used_bw,node_7_jobs,node_7_utility,node_7_initial_gpu,node_7_updated_gpu,node_7_used_gpu,node_7_initial_cpu,node_7_updated_cpu,node_7_used_cpu,node_7_initial_bw,node_7_updated_bw,node_7_used_bw,node_8_jobs,node_8_utility,node_8_initial_gpu,node_8_updated_gpu,node_8_used_gpu,node_8_initial_cpu,node_8_updated_cpu,node_8_used_cpu,node_8_initial_bw,node_8_updated_bw,node_8_used_bw,node_9_jobs,node_9_utility,node_9_initial_gpu,node_9_updated_gpu,node_9_used_gpu,node_9_initial_cpu,node_9_updated_cpu,node_9_used_cpu,node_9_initial_bw,node_9_updated_bw,node_9_used_bw
10,100,49198,14.878386735916138,0.0,244.15,0.7908905644996943,99,1,16915.0,46557.66,16815.0,17148.33,100.0,232180.0,413272.09,231580.0,233580.01,600.0,525450.65,1000000000000,521463.3,14798667.27,3987.35,16,6.94,2369.32,1215.98,1153.33,25937.93,13317.93,12620.0,100000000000,99998129640.86,1870359.14,22,26.26,2484.55,1664.96,819.58,42831.61,29704.94,13126.67,100000000000,99998222503.89,1777496.11,31,54.47,1393.09,270.92,1122.17,38259.88,21646.54,16613.33,100000000000,99998563632.51,1436367.49,3,5.46,3686.75,2533.41,1153.33,40605.44,13285.44,27320.0,100000000000,99998667036.63,1332963.37,19,29.4,8864.98,6895.57,1969.42,49024.06,16717.39,32306.67,100000000000,99998420246.32,1579753.68,25,21.65,7019.92,5492.0,1527.92,40959.33,22579.33,18380.0,100000000000,99998649617.27,1350382.73,40,53.66,2086.0,8.0,2078.0,41179.08,16102.41,25076.67,100000000000,99998500956.09,1499043.91,19,32.93,5728.93,2982.26,2746.67,44935.97,6854.3,38081.67,100000000000,99998974310.63,1025689.37,13,8.99,8388.48,5126.4,3262.08,40972.5,16989.17,23983.33,100000000000,99998773986.96,1226013.04,9,4.38,4535.64,3219.8,1315.83,48566.29,22494.62,26071.67,100000000000,99998299401.57,1700598.43
10,100,73330,18.757811307907104,0.0,315.26,0.6136167821689454,97,3,28915.0,58804.24999999999,24415.0,24477.49,4500.0,272610.0,637671.5,238210.0,239710.01,34400.0,512624.16,1000000000000,497017.95,21647109.99,15606.21,6,6.06,9414.39,5989.73,3424.67,46875.7,18329.04,28546.67,100000000000,99998658439.99,1341560.01,51,94.91,2346.46,42.38,2304.08,80658.6,53621.94,27036.67,100000000000,99997975089.45,2024910.55,4,5.59,9414.39,7464.39,1950.0,46875.7,39475.7,7400.0,100000000000,99999009626.01,990373.99,23,35.44,2346.46,568.96,1777.5,80658.6,49675.27,30983.33,100000000000,99994590954.64,5409045.36,4,8.14,9414.39,6774.39,2640.0,46875.7,29635.7,17240.0,100000000000,99998002599.27,1997400.73,19,46.21,2346.46,571.88,1774.58,80658.6,54228.6,26430.0,100000000000,99997326008.73,2673991.27,9,7.31,9414.39,4876.06,4538.33,46875.7,14489.04,32386.67,100000000000,99997876787.13,2123212.87,33,51.57,2346.46,858.13,1488.33,80658.6,61348.6,19310.0,100000000000,99997793278.63,2206721.37,9,18.03,9414.39,6156.06,3258.33,46875.7,19229.04,27646.67,100000000000,99999095971.67,904028.33,23,41.99,2346.46,1024.79,1321.67,80658.6,57928.6,22730.0,100000000000,99998024134.49,1975865.51
10,100,118040,24.138769149780273,0.0,245.69,0.675532082610752,98,2,23130.0,44108.52,21105.0,21380.0,2025.0,252080.0,499030.61999999994,243980.0,250480.0,8100.0,472921.6,1000000000000,461019.52,22367113.07,11902.08,14,16.27,3529.17,1916.67,1612.5,43992.67,21102.67,22890.0,100000000000,99999073117.94,926882.06,36,35.72,5465.41,858.74,4606.67,81405.84,21325.84,60080.0,100000000000,99989144079.99,10855920.01,15,11.95,1751.68,504.35,1247.33,40342.46,33515.79,6826.67,100000000000,99997948066.88,2051933.12,10,12.01,7724.26,4464.26,3260.0,59961.5,25768.17,34193.33,100000000000,99998748637.36,1251362.64,11,6.63,3168.42,790.92,2377.5,35873.23,6493.23,29380.0,100000000000,99998610366.4,1389633.6,3,0.08,5760.49,5613.83,146.67,42001.78,41361.78,640.0,100000000000,99998969589.37,1030410.63,5,4.37,9222.79,8466.95,755.83,38248.68,29988.68,8260.0,100000000000,99998151535.39,1848464.61,29,44.01,1686.21,21.54,1664.67,30877.12,16407.78,14469.33,100000000000,99999222492.53,777507.47,43,64.13,3191.66,38.33,3153.33,60132.54,16965.87,43166.67,100000000000,99998790113.91,1209886.09,41,50.53,2608.43,52.93,2555.5,66194.8,35620.8,30574.0,100000000000,99998974887.16,1025112.84
10,100,53862,15.621692419052124,0.0,244.18,0.644390994804695,99,1,23342.0,69249.66,18342.0,18342.0,5000.0,291020.0,605438.64,251020.0,251020.0,40000.0,530588.6,1000000000000,525313.44,17371015.88,5275.16,45,59.37,2853.66,1.76,2851.9,53846.73,11003.4,42843.33,100000000000,99998848407.28,1151592.72,11,7.1,6553.34,5561.42,991.92,87075.04,68708.38,18366.67,100000000000,99998172975.33,1827024.67,7,3.17,9760.61,9293.34,467.27,39212.03,30258.7,8953.33,100000000000,99998667328.98,1332671.02,12,17.37,6550.04,5518.7,1031.33,83884.39,64472.39,19412.0,100000000000,99998212689.47,1787310.53,2,6.31,8383.98,8130.65,253.33,45430.81,39230.81,6200.0,100000000000,99998627965.71,1372034.29,28,27.75,3518.34,2224.84,1293.5,60128.43,30525.09,29603.33,100000000000,99996647077.28,3352922.72,18,39.34,7872.21,5349.79,2522.42,39807.06,20140.39,19666.67,100000000000,99998357368.56,1642631.44,39,47.37,9029.54,4786.29,4243.25,77365.01,39037.01,38328.0,100000000000,99997845092.66,2154907.34,12,17.34,4831.88,2623.13,2208.75,37801.22,23954.55,13846.67,100000000000,99998348256.74,1651743.26,9,19.07,9896.06,7417.72,2478.33,80887.92,27087.92,53800.0,100000000000,99998901822.11,1098177.89
10,100,52118,15.395071744918823,0.0,270.35,0.6228373702422145,97,3,27775.0,50326.219999999994,20775.0,20808.33,7000.0,231220.0,391317.70999999996,155720.0,155919.98,75500.0,492497.33,1000000000000,482155.46,14378165.51,10341.87,3,5.54,4611.51,4261.51,350.0,30051.55,27951.55,2100.0,100000000000,99999033036.47,966963.53,52,60.39,2614.39,101.98,2512.42,35906.9,12448.57,23458.33,100000000000,99998355128.0,1644872.0,8,17.78,9157.34,6512.34,2645.0,48650.41,17030.41,31620.0,100000000000,99998686564.48,1313435.52,13,33.03,4166.62,2388.28,1778.33,33486.7,22303.37,11183.33,100000000000,99999002069.8,997930.2,35,56.62,2725.09,24.26,2700.83,25978.93,9415.6,16563.33,100000000000,99998943045.01,1056954.99,16,18.46,4642.38,2387.21,2255.17,49082.3,24238.96,24843.33,100000000000,99998511712.59,1488287.41,19,11.23,6587.34,4678.25,1909.08,52931.6,34013.26,18918.33,100000000000,99998646388.43,1353611.57,7,15.74,9647.03,6021.19,3625.83,37737.19,22937.19,14800.0,100000000000,99997413100.79,2586899.21,13,20.63,5068.59,2536.09,2532.5,26404.22,19594.22,6810.0,100000000000,99997754620.74,2245379.26,14,30.93,1105.93,606.76,499.17,51087.91,45464.57,5623.33,100000000000,99999276168.18,723831.82
10,100,52572,15.190465927124023,0.0,326.43,0.6268865567216392,97,3,39323.0,63046.89,36648.0,36714.67,2675.0,371300.0,910371.54,319300.0,319500.01,52000.0,490875.0,1000000000000,481720.26,12345363.67,9154.75,14,15.61,9211.09,4402.76,4808.33,107389.77,69226.44,38163.33,100000000000,99998723832.26,1276167.74,8,8.01,5713.09,959.76,4753.33,85807.15,48773.81,37033.33,100000000000,99998970623.64,1029376.36,43,53.68,8320.78,597.37,7723.42,120527.17,61640.51,58886.67,100000000000,99998652081.12,1347918.88,3,6.24,7809.66,7142.99,666.67,56298.64,52298.64,4000.0,100000000000,99998760228.21,1239771.79,45,64.19,8997.34,322.07,8675.27,120369.4,49292.74,71076.67,100000000000,99998009023.27,1990976.73,38,56.8,3133.78,1280.98,1852.8,111711.2,92444.53,19266.67,100000000000,99998740159.3,1259840.7,6,14.55,5760.49,1925.91,3834.58,75603.2,29033.2,46570.0,100000000000,99999329631.74,670368.26,2,0.89,9222.79,8856.12,366.67,68847.63,60647.63,8200.0,100000000000,99998897475.69,1102524.31,21,39.74,1686.21,533.41,1152.8,55578.81,48272.14,7306.67,100000000000,99999467264.96,532735.04,44,66.71,3191.66,310.86,2880.8,108238.57,79241.9,28996.67,100000000000,99998104316.14,1895683.86
10,100,43616,14.587340354919434,0.0,258.46,0.8450416351249054,99,1,32465.0,57969.76,31665.0,31664.99,800.0,327780.0,601492.24,313380.0,313379.99,14400.0,509840.17,1000000000000,503475.48,12885509.96,6364.69,30,35.69,6778.04,3724.7,3053.33,64231.0,23354.33,40876.67,100000000000,99998369453.42,1630546.58,13,22.56,6333.11,4734.36,1598.75,41793.57,16881.9,24911.67,100000000000,99998802122.76,1197877.24,24,37.7,3800.93,1050.1,2750.83,62911.55,45138.22,17773.33,100000000000,99998773758.59,1226241.41,8,8.37,9639.65,6747.98,2891.67,82311.82,55161.82,27150.0,100000000000,99998620634.14,1379365.86,16,10.32,3940.41,1051.24,2889.17,38325.06,12835.06,25490.0,100000000000,99999013662.63,986337.37,11,13.86,8530.95,1710.12,6820.83,73450.37,13730.37,59720.0,100000000000,99998490833.81,1509166.19,14,17.05,5229.16,2393.33,2835.83,49173.88,22010.55,27163.33,100000000000,99998200729.06,1799270.94,31,64.67,1408.15,1.07,1407.08,72199.45,57631.12,14568.33,100000000000,99999298728.35,701271.65,24,35.92,8861.81,3491.81,5370.0,78838.89,20155.55,58683.33,100000000000,99998991076.38,1008923.62,12,12.31,3447.55,1400.05,2047.5,38256.65,21213.31,17043.33,100000000000,99998553490.9,1446509.1
10,100,37156,14.010693073272705,0.0,317.38,0.7815327793167128,100,0,16205.0,63155.520000000004,16205.0,16205.01,0,202040.0,1086473.84,202040.0,202040.0,0,482664.11,1000000000000,482664.11,14924243.91,0,2,3.97,6451.83,6445.5,6.33,89862.45,89302.45,560.0,100000000000,99998940260.29,1059739.71,15,21.27,6227.98,4669.31,1558.67,102899.27,71382.6,31516.67,100000000000,99998599434.49,1400565.51,30,59.18,7161.24,5304.57,1856.67,144142.39,115342.39,28800.0,100000000000,99997970275.42,2029724.58,19,34.46,6844.6,3062.51,3782.08,119896.03,83844.37,36051.67,100000000000,99998517360.07,1482639.93,30,44.78,7498.06,4039.64,3458.42,118641.55,85961.55,32680.0,100000000000,99998433335.94,1566664.06,20,33.66,8859.83,7516.92,1342.92,112750.82,93977.49,18773.33,100000000000,99998719406.77,1280593.23,10,25.06,4752.07,4116.24,635.83,112577.48,107774.15,4803.33,100000000000,99998331596.82,1668403.18,24,27.71,5034.4,3435.4,1599.0,94485.13,74875.13,19610.0,100000000000,99998425524.5,1574475.5,5,8.46,8239.51,8082.84,156.67,77976.26,76042.93,1933.33,100000000000,99998720445.61,1279554.39,29,58.83,2086.0,277.59,1808.42,113242.46,85930.8,27311.67,100000000000,99998418116.18,1581883.82
10,100,47192,15.212453126907349,0.0,340.92,0.6017543859649123,100,0,18920.0,50406.14000000001,18920.0,18944.99,0,178500.0,647297.16,178500.0,178650.0,0,547493.34,1000000000000,547493.34,17840367.75,0,3,10.39,2719.19,2500.02,219.17,63570.9,58404.24,5166.67,100000000000,99998906901.97,1093098.03,8,21.21,9100.52,8068.02,1032.5,43351.94,35341.94,8010.0,100000000000,99998176327.66,1823672.34,49,80.07,2789.46,99.21,2690.25,73405.71,43369.38,30036.33,100000000000,99998150742.39,1849257.61,40,81.17,6602.73,865.73,5737.0,84303.71,35545.71,48758.0,100000000000,99997915149.16,2084850.84,10,15.71,9534.37,8221.54,1312.83,75600.85,51860.85,23740.0,100000000000,99998723947.0,1276053.0,34,60.19,2280.23,264.14,2016.08,58521.12,45610.45,12910.67,100000000000,99998505759.52,1494240.48,28,46.08,4318.98,1722.65,2596.33,86861.35,67228.01,19633.33,100000000000,99998101649.22,1898350.78,6,8.59,3658.63,1441.96,2216.67,41760.15,27960.15,13800.0,100000000000,99998092513.82,1907486.18,15,14.6,1225.99,295.16,930.83,32953.38,20398.38,12555.0,100000000000,99997715983.07,2284016.93,3,2.91,8176.04,7982.7,193.33,86968.05,82928.05,4040.0,100000000000,99997870658.44,2129341.56
10,100,49000,15.232686996459961,0.0,320.23,0.7258851431475521,99,1,23495.0,44709.590000000004,22695.0,22811.67,800.0,296750.0,675583.25,293550.0,294250.01,3200.0,571725.52,1000000000000,566450.35,14754555.45,5275.16,4,9.29,7311.19,6939.52,371.67,49636.64,43631.64,6005.0,100000000000,99998757945.56,1242054.44,37,75.86,1284.92,9.42,1275.5,88128.23,65379.89,22748.33,100000000000,99998618033.3,1381966.7,42,68.52,1410.48,68.73,1341.75,42206.82,28471.82,13735.0,100000000000,99998660894.73,1339105.27,21,27.53,8892.82,3111.16,5781.67,87033.59,14476.92,72556.67,100000000000,99998360812.61,1639187.39,29,32.7,2887.13,101.3,2785.83,67086.02,34736.02,32350.0,100000000000,99998435490.08,1564509.92,29,36.15,4335.35,854.1,3481.25,84457.51,35515.84,48941.67,100000000000,99997835965.21,2164034.79,19,25.86,4789.15,2607.9,2181.25,55016.35,38226.35,16790.0,100000000000,99997702223.87,2297776.13,14,31.55,1391.77,0.69,1391.08,88042.55,74365.89,13676.67,100000000000,99999444579.75,555420.25,5,4.16,6173.35,5183.35,990.0,32644.34,29577.68,3066.67,100000000000,99998921746.62,1078253.38,7,8.62,6233.43,3021.76,3211.67,81331.2,16951.2,64380.0,100000000000,99998507752.82,1492247.18
