n_nodes,n_req,n_msg,exec_time,alpha,tot_utility,jaini,count_assigned,count_unassigned,tot_gpu_jobs,tot_gpu_nodes,assigned_sum_gpu,tot_used_gpu,unassigned_sum_gpu,tot_cpu_jobs,tot_cpu_nodes,assigned_sum_cpu,tot_used_cpu,unassigned_sum_cpu,tot_bw_jobs,tot_bw_nodes,assigned_sum_bw,tot_used_bw,unassigned_sum_bw,node_0_jobs,node_0_utility,node_0_initial_gpu,node_0_updated_gpu,node_0_used_gpu,node_0_initial_cpu,node_0_updated_cpu,node_0_used_cpu,node_0_initial_bw,node_0_updated_bw,node_0_used_bw,node_1_jobs,node_1_utility,node_1_initial_gpu,node_1_updated_gpu,node_1_used_gpu,node_1_initial_cpu,node_1_updated_cpu,node_1_used_cpu,node_1_initial_bw,node_1_updated_bw,node_1_used_bw,node_2_jobs,node_2_utility,node_2_initial_gpu,node_2_updated_gpu,node_2_used_gpu,node_2_initial_cpu,node_2_updated_cpu,node_2_used_cpu,node_2_initial_bw,node_2_updated_bw,node_2_used_bw,node_3_jobs,node_3_utility,node_3_initial_gpu,node_3_updated_gpu,node_3_used_gpu,node_3_initial_cpu,node_3_updated_cpu,node_3_used_cpu,node_3_initial_bw,node_3_updated_bw,node_3_used_bw,node_4_jobs,node_4_utility,node_4_initial_gpu,node_4_updated_gpu,node_4_used_gpu,node_4_initial_cpu,node_4_updated_cpu,node_4_used_cpu,node_4_initial_bw,node_4_updated_bw,node_4_used_bw,node_5_jobs,node_5_utility,node_5_initial_gpu,node_5_updated_gpu,node_5_used_gpu,node_5_initial_cpu,node_5_updated_cpu,node_5_used_cpu,node_5_initial_bw,node_5_updated_bw,node_5_used_bw,node_6_jobs,node_6_utility,node_6_initial_gpu,node_6_updated_gpu,node_6_used_gpu,node_6_initial_cpu,node_6_updated_cpu,node_6_used_cpu,node_6_initial_bw,node_6_updated_bw,node_6_used_bw,node_7_jobs,node_7_utility,node_7_initial_gpu,node_7_updated_gpu,node_7_used_gpu,node_7_initial_cpu,node_7_updated_cpu,node_7_used_cpu,node_7_initial_bw,node_7_updated_bw,node_7_used_bw,node_8_jobs,node_8_utility,node_8_initial_gpu,node_8_updated_gpu,node_8_used_gpu,node_8_initial_cpu,node_8_updated_cpu,node_8_used_cpu,node_8_initial_bw,node_8_updated_bw,node_8_used_bw,node_9_jobs,node_9_utility,node_9_initial_gpu,node_9_updated_gpu,node_9_used_gpu,node_9_initial_cpu,node_9_updated_cpu,node_9_used_cpu,node_9_initial_bw,node_9_updated_bw,node_9_used_bw
10,100,25328,12.695908546447754,0.0,461.0,0.6624710168930109,100,0,11760.0,55027.91,11760.0,11759.99,0,160000.0,684786.06,160000.0,159999.99,0,516325.4,1000000000000,516325.4,9658832.55,0,33,86.0,1103.14,0.56,1102.58,79943.75,60190.42,19753.33,100000000000,99999440627.28,559372.72,39,89.0,8902.89,5732.89,3170.0,61136.54,17973.21,43163.33,100000000000,99998996966.71,1003033.29,4,8.0,7431.74,7073.41,358.33,77301.33,70051.33,7250.0,100000000000,99998742011.29,1257988.71,25,74.0,9430.09,6991.17,2438.92,52439.02,22245.69,30193.33,100000000000,99998953754.49,1046245.51,6,7.0,5054.45,4922.95,131.5,79490.18,78096.84,1393.33,100000000000,99998860068.15,1139931.85,9,22.0,3623.65,3081.15,542.5,71972.07,65232.07,6740.0,100000000000,99998999929.14,1000070.86,2,3.0,2313.59,2256.93,56.67,49620.62,49180.62,440.0,100000000000,99999031448.27,968551.73,41,114.0,2244.18,57.85,2186.33,84084.61,60567.94,23516.67,100000000000,99999213295.5,786704.5,12,15.0,9211.09,8942.76,268.33,71593.18,69323.18,2270.0,100000000000,99999045966.95,954033.05,29,43.0,5713.09,4208.26,1504.83,57204.76,31924.76,25280.0,100000000000,99999057099.67,942900.33
10,100,25334,12.599359512329102,0.0,441.0,0.6921333074985468,97,3,19175.0,47644.60999999999,18750.0,18750.0,425.0,222900.0,519342.04000000004,214500.0,214500.0,8400.0,504817.18,1000000000000,494909.48,9312819.73,9907.7,16,25.0,9216.06,8254.22,961.83,32148.12,25068.12,7080.0,100000000000,99998959024.93,1040975.07,13,21.0,7078.61,5560.28,1518.33,55802.33,47232.33,8570.0,100000000000,99999099158.02,900841.98,15,19.0,4566.37,1763.2,2803.17,75600.99,39456.33,36144.67,100000000000,99999083992.67,916007.33,24,52.0,5883.39,3383.89,2499.5,35924.31,8910.98,27013.33,100000000000,99999182863.48,817136.52,6,7.0,4098.21,3411.55,686.67,45554.15,41014.15,4540.0,100000000000,99999138124.55,861875.45,17,39.0,1295.4,277.9,1017.5,39730.67,23367.34,16363.33,100000000000,99999123208.86,876791.14,50,169.0,7396.15,1858.49,5537.67,71456.49,3757.82,67698.67,100000000000,99999091362.15,908637.85,1,5.0,2631.38,2606.38,25.0,59232.96,58632.96,600.0,100000000000,99999078603.77,921396.23,22,39.0,2687.94,1200.11,1487.83,64284.43,39157.76,25126.67,100000000000,99998911183.49,1088816.51,25,65.0,2791.1,578.6,2212.5,39607.59,18244.25,21363.33,100000000000,99999019658.35,980341.65
10,100,22794,12.3043212890625,0.0,437.0,0.8346751592356688,100,0,24260.0,39314.60999999999,24260.0,24260.0,0,183880.0,573903.35,183880.0,183880.0,0,517651.11,1000000000000,517651.11,8953704.55,0,29,78.0,8465.74,1521.57,6944.17,60269.73,6813.06,53456.67,100000000000,99999146430.38,853569.62,23,35.0,1686.21,452.88,1233.33,30877.12,20303.78,10573.33,100000000000,99999081290.18,918709.82,20,44.0,3191.66,467.16,2724.5,60132.54,30781.87,29350.67,100000000000,99999169274.65,830725.35,22,65.0,2608.43,48.76,2559.67,66194.8,48305.47,17889.33,100000000000,99999220510.46,779489.54,21,46.0,4634.35,2461.85,2172.5,48683.14,31689.8,16993.33,100000000000,99999101227.04,898772.96,15,43.0,3786.27,1575.43,2210.83,69357.41,61017.41,8340.0,100000000000,99999098402.84,901597.16,2,3.0,7095.41,6262.07,833.33,74214.49,58214.49,16000.0,100000000000,99999032092.63,967907.37,20,54.0,5298.21,996.55,4301.67,36852.38,20835.71,16016.67,100000000000,99999153916.99,846083.01,24,59.0,1148.13,68.13,1080.0,37906.44,24546.44,13360.0,100000000000,99999043607.27,956392.73,5,10.0,1400.2,1200.2,200.0,89415.3,87515.3,1900.0,100000000000,99998999543.01,1000456.99
10,100,24618,12.514389276504517,0.0,431.0,0.7114125350795135,98,2,30820.0,56415.700000000004,28795.0,28795.0,2025.0,354940.0,1048314.6599999999,342340.0,342340.0,12600.0,539838.78,1000000000000,530557.18,9698418.18,9281.6,8,11.0,8622.03,6273.7,2348.33,92648.2,67644.86,25003.33,100000000000,99999019980.68,980019.32,18,43.0,2302.48,531.65,1770.83,106908.91,70142.24,36766.67,100000000000,99999108741.24,891258.76,18,30.0,9451.94,3578.27,5873.67,143090.7,73567.36,69523.33,100000000000,99999137312.8,862687.2,44,124.0,4800.72,9.13,4791.58,113548.53,36640.2,76908.33,100000000000,99999426419.17,573580.83,29,56.0,1371.45,56.79,1314.67,91376.89,71555.22,19821.67,100000000000,99999190255.41,809744.59,35,84.0,6181.45,2151.78,4029.67,111034.1,65829.1,45205.0,100000000000,99999108531.48,891468.52,19,34.0,3780.05,1367.22,2412.83,55429.65,34649.65,20780.0,100000000000,99999086747.29,913252.71,6,8.0,3359.87,3014.45,345.42,157398.86,153463.86,3935.0,100000000000,99998996191.18,1003808.82,3,8.0,9244.71,6498.05,2746.67,92202.73,68922.73,23280.0,100000000000,99998334296.1,1665703.9,15,33.0,7301.0,4139.66,3161.33,84676.09,63559.42,21116.67,100000000000,99998893106.47,1106893.53
10,100,23972,12.46071171760559,0.0,439.0,0.6623058053965658,99,1,14310.0,61650.810000000005,14260.0,14259.99,50.0,174910.0,596999.7000000001,174310.0,174310.0,600.0,533228.89,1000000000000,525314.16,9771558.33,7914.73,20,57.0,1396.43,766.59,629.83,85148.66,74104.66,11044.0,100000000000,99999032330.47,967669.53,36,106.0,2333.54,1.87,2331.67,66957.92,38336.25,28621.67,100000000000,99999154690.61,845309.39,32,100.0,8236.93,3757.34,4479.58,56530.67,3684.0,52846.67,100000000000,99998983677.74,1016322.26,31,52.0,4392.66,2200.99,2191.67,85607.31,61653.98,23953.33,100000000000,99998948924.83,1051075.17,22,38.0,3752.1,1065.02,2687.08,58598.65,26320.31,32278.33,100000000000,99999071738.77,928261.23,3,3.0,9278.39,9230.55,47.83,48391.77,47521.77,870.0,100000000000,99998888412.88,1111587.12,1,1.0,9258.56,9250.23,8.33,38488.2,38288.2,200.0,100000000000,99999056691.64,943308.36,26,70.0,8775.27,7356.27,1419.0,33519.61,18803.61,14716.0,100000000000,99998997526.54,1002473.46,4,5.0,9891.58,9551.58,340.0,39299.4,31619.4,7680.0,100000000000,99999064084.65,935915.35,5,7.0,4335.35,4210.35,125.0,84457.51,82357.51,2100.0,100000000000,99999030363.54,969636.46
10,100,54580,15.78305435180664,0.0,438.0,0.8349039057656541,96,4,32085.0,48121.909999999996,29425.0,31108.33,2660.0,358130.0,680369.96,336330.0,349763.35,21800.0,495533.97,1000000000000,470442.0,9589275.17,25091.97,20,43.0,1400.2,3.53,1396.67,107298.36,90486.7,16811.67,100000000000,99999633563.46,366436.54,24,45.0,5762.71,3264.21,2498.5,42366.1,6286.1,36080.0,100000000000,99998939872.79,1060127.21,16,33.0,1858.01,597.01,1261.0,57674.63,48567.96,9106.67,100000000000,99998830860.41,1169139.59,18,41.0,9985.39,4065.81,5919.58,44854.11,7657.45,37196.67,100000000000,99998365248.86,1634751.14,6,7.0,2949.38,874.38,2075.0,101996.17,83946.17,18050.0,100000000000,99999241451.98,758548.02,17,23.0,2538.69,241.6,2297.08,61484.68,33008.02,28476.67,100000000000,99999269617.61,730382.39,38,91.0,5858.89,2503.89,3355.0,45542.22,4142.22,41400.0,100000000000,99999240917.85,759082.15,33,85.0,9623.88,4912.3,4711.58,46106.54,1599.87,44506.67,100000000000,99998364952.94,1635047.06,16,27.0,4392.66,539.24,3853.42,102728.77,54912.11,47816.67,100000000000,99998747051.84,1252948.16,13,43.0,3752.1,11.6,3740.5,70318.38,0.04,70318.33,100000000000,99999777187.09,222812.91
10,100,26598,12.724773168563843,0.0,422.0,0.6449664429530201,98,2,16830.0,47583.399999999994,16775.0,16881.66,55.0,198580.0,580140.23,197380.0,198100.0,1200.0,473817.44,1000000000000,457987.99,8313611.42,15829.45,9,16.0,1553.41,1.33,1552.08,34941.43,12448.1,22493.33,100000000000,99999773016.63,226983.37,40,113.0,7199.96,4125.71,3074.25,41276.93,3.26,41273.67,100000000000,99999411849.64,588150.36,22,34.0,6944.14,5280.39,1663.75,45124.28,18449.28,26675.0,100000000000,99998264269.18,1735730.82,20,26.0,6350.6,5252.93,1097.67,37365.27,17958.6,19406.67,100000000000,99998893957.81,1106042.19,1,4.0,2484.55,2459.55,25.0,71386.02,70786.02,600.0,100000000000,99999047595.72,952404.28,4,7.0,1393.09,1351.25,41.83,63766.46,63250.46,516.0,100000000000,99999115509.33,884490.67,31,62.0,3686.75,1036.25,2650.5,67675.74,35053.74,32622.0,100000000000,99999040058.75,959941.25,5,6.0,8864.98,8364.98,500.0,81706.76,80073.43,1633.33,100000000000,99999178028.14,821971.86,40,121.0,7019.92,2823.67,4196.25,68265.54,40345.54,27920.0,100000000000,99999200433.68,799566.32,14,33.0,2086.0,5.67,2080.33,68631.8,43671.8,24960.0,100000000000,99999761669.7,238330.3
10,100,32340,13.094616889953613,0.0,427.0,0.7035114503816794,99,1,27620.0,62099.409999999996,27520.0,27536.66,100.0,310220.0,928259.8899999999,309620.0,309820.0,600.0,483657.29,1000000000000,479669.95,13119873.11,3987.35,23,43.0,2244.18,21.85,2222.33,126126.92,102606.92,23520.0,100000000000,99999092982.06,907017.94,40,121.0,9211.09,2168.34,7042.75,107389.77,31883.11,75506.67,100000000000,99998792921.44,1207078.56,15,24.0,5713.09,2226.01,3487.08,85807.15,42413.81,43393.33,100000000000,99997990219.73,2009780.27,19,26.0,8320.78,3773.78,4547.0,120527.17,71103.84,49423.33,100000000000,99998885867.31,1114132.69,19,51.0,7809.66,6010.49,1799.17,56298.64,37381.97,18916.67,100000000000,99998974390.1,1025609.9,3,3.0,8997.34,6064.0,2933.33,120369.4,87769.4,32600.0,100000000000,99998899362.93,1100637.07,8,8.0,3133.78,2663.78,470.0,111711.2,108311.2,3400.0,100000000000,99998955161.56,1044838.44,11,18.0,5760.49,5514.24,246.25,75603.2,72446.54,3156.67,100000000000,99997385708.05,2614291.95,43,119.0,9222.79,4799.87,4422.92,68847.63,10914.29,57933.33,100000000000,99999005898.0,994102.0,11,14.0,1686.21,1320.38,365.83,55578.81,53608.81,1970.0,100000000000,99998897615.71,1102384.29
10,100,25072,12.491834878921509,0.0,450.0,0.7318154463390171,100,0,14649.0,53843.6,14649.0,14649.0,0,165360.0,345938.49,165360.0,165359.99,0,611401.34,1000000000000,611401.34,9279113.27,0,34,78.0,5655.89,4140.59,1515.3,19086.75,80.09,19006.67,100000000000,99999207389.01,792610.99,23,64.0,1982.53,0.03,1982.5,35578.72,26998.06,8580.67,100000000000,99999473014.13,526985.87,28,54.0,9379.37,6831.87,2547.5,46846.99,10963.65,35883.33,100000000000,99998944668.88,1055331.12,24,66.0,2987.56,897.89,2089.67,36931.8,72.46,36859.33,100000000000,99999218997.7,781002.3,7,11.0,7783.18,6442.01,1341.17,24388.8,13158.8,11230.0,100000000000,99998913840.21,1086159.79,19,61.0,6988.52,3959.82,3028.7,36742.18,11758.84,24983.33,100000000000,99998761408.71,1238591.29,2,3.0,2380.38,2305.38,75.0,32897.06,32447.06,450.0,100000000000,99998995505.76,1004494.24,11,16.0,6068.2,5552.36,515.83,46994.13,43810.8,3183.33,100000000000,99999024981.94,975018.06,6,9.0,9113.51,8995.18,118.33,25134.41,23634.41,1500.0,100000000000,99998964198.33,1035801.67,37,88.0,1504.46,69.46,1435.0,41337.65,17654.32,23683.33,100000000000,99999216882.06,783117.94
10,100,25726,12.58272910118103,0.0,451.0,0.73348095659876,98,2,16145.0,65598.27,12095.0,12094.99,4050.0,172260.0,285141.58999999997,146260.0,146259.99,26000.0,602353.27,1000000000000,589414.17,11553532.89,12939.1,7,11.0,4228.74,3996.24,232.5,26129.41,21629.41,4500.0,100000000000,99998875837.11,1124162.89,5,6.0,2834.88,2459.55,375.33,34972.37,25668.37,9304.0,100000000000,99998900607.04,1099392.96,12,41.0,6085.85,4669.52,1416.33,30154.37,17908.37,12246.0,100000000000,99998648615.39,1351384.61,18,31.0,7158.17,5078.34,2079.83,21450.14,4116.81,17333.33,100000000000,99998880001.78,1119998.22,28,69.0,8034.02,5585.69,2448.33,38225.74,9065.74,29160.0,100000000000,99998783418.4,1216581.6,12,24.0,6054.26,5243.43,810.83,46869.58,31049.58,15820.0,100000000000,99998839039.04,1160960.96,42,122.0,3276.94,1235.1,2041.83,20555.65,787.32,19768.33,100000000000,99999077099.96,922900.04,24,63.0,9258.56,7990.89,1267.67,23092.92,1664.59,21428.33,100000000000,99998867900.01,1132099.99,25,72.0,8775.27,7488.6,1286.67,20111.77,5041.77,15070.0,100000000000,99998877229.01,1122770.99,9,12.0,9891.58,9755.91,135.67,23579.64,21949.64,1630.0,100000000000,99998696719.37,1303280.63
