n_nodes,n_req,n_msg,exec_time,alpha,tot_utility,jaini,count_assigned,count_unassigned,tot_gpu_jobs,tot_gpu_nodes,assigned_sum_gpu,tot_used_gpu,unassigned_sum_gpu,tot_cpu_jobs,tot_cpu_nodes,assigned_sum_cpu,tot_used_cpu,unassigned_sum_cpu,tot_bw_jobs,tot_bw_nodes,assigned_sum_bw,tot_used_bw,unassigned_sum_bw,node_0_jobs,node_0_utility,node_0_initial_gpu,node_0_updated_gpu,node_0_used_gpu,node_0_initial_cpu,node_0_updated_cpu,node_0_used_cpu,node_0_initial_bw,node_0_updated_bw,node_0_used_bw,node_1_jobs,node_1_utility,node_1_initial_gpu,node_1_updated_gpu,node_1_used_gpu,node_1_initial_cpu,node_1_updated_cpu,node_1_used_cpu,node_1_initial_bw,node_1_updated_bw,node_1_used_bw,node_2_jobs,node_2_utility,node_2_initial_gpu,node_2_updated_gpu,node_2_used_gpu,node_2_initial_cpu,node_2_updated_cpu,node_2_used_cpu,node_2_initial_bw,node_2_updated_bw,node_2_used_bw,node_3_jobs,node_3_utility,node_3_initial_gpu,node_3_updated_gpu,node_3_used_gpu,node_3_initial_cpu,node_3_updated_cpu,node_3_used_cpu,node_3_initial_bw,node_3_updated_bw,node_3_used_bw,node_4_jobs,node_4_utility,node_4_initial_gpu,node_4_updated_gpu,node_4_used_gpu,node_4_initial_cpu,node_4_updated_cpu,node_4_used_cpu,node_4_initial_bw,node_4_updated_bw,node_4_used_bw,node_5_jobs,node_5_utility,node_5_initial_gpu,node_5_updated_gpu,node_5_used_gpu,node_5_initial_cpu,node_5_updated_cpu,node_5_used_cpu,node_5_initial_bw,node_5_updated_bw,node_5_used_bw,node_6_jobs,node_6_utility,node_6_initial_gpu,node_6_updated_gpu,node_6_used_gpu,node_6_initial_cpu,node_6_updated_cpu,node_6_used_cpu,node_6_initial_bw,node_6_updated_bw,node_6_used_bw,node_7_jobs,node_7_utility,node_7_initial_gpu,node_7_updated_gpu,node_7_used_gpu,node_7_initial_cpu,node_7_updated_cpu,node_7_used_cpu,node_7_initial_bw,node_7_updated_bw,node_7_used_bw,node_8_jobs,node_8_utility,node_8_initial_gpu,node_8_updated_gpu,node_8_used_gpu,node_8_initial_cpu,node_8_updated_cpu,node_8_used_cpu,node_8_initial_bw,node_8_updated_bw,node_8_used_bw,node_9_jobs,node_9_utility,node_9_initial_gpu,node_9_updated_gpu,node_9_used_gpu,node_9_initial_cpu,node_9_updated_cpu,node_9_used_cpu,node_9_initial_bw,node_9_updated_bw,node_9_used_bw
10,100,78400,18.271138906478882,0.0,243.73,0.5086144265697976,99,1,25335.0,59542.340000000004,25310.0,25309.99,25.0,246720.0,487006.31000000006,246120.0,246120.0,600.0,510495.16,1000000000000,507578.25,18836608.92,2916.91,4,5.93,9258.56,6300.23,2958.33,32714.97,12848.3,19866.67,100000000000,99994579452.53,5420547.47,8,4.31,8775.27,6576.93,2198.33,28491.67,14398.34,14093.33,100000000000,99997576443.73,2423556.27,4,4.63,9891.58,7351.58,2540.0,33404.49,18564.49,14840.0,100000000000,99998865835.71,1134164.29,40,24.99,4335.35,336.6,3998.75,71788.88,16259.55,55529.33,100000000000,99997297666.35,2702333.65,2,1.43,4789.15,4514.15,275.0,46763.9,40163.9,6600.0,100000000000,99999006675.52,993324.48,19,35.07,1391.77,33.6,1358.17,74836.17,58434.84,16401.33,100000000000,99999244409.54,755590.46,7,14.9,6173.35,5503.35,670.0,27747.69,19841.02,7906.67,100000000000,99998830238.7,1169761.3,54,71.06,6233.43,821.6,5411.83,69131.52,24117.85,45013.67,100000000000,99998648984.75,1351015.25,9,20.58,5246.59,2110.76,3135.83,48689.11,17329.11,31360.0,100000000000,99998602622.92,1397377.08,51,60.83,3447.29,683.54,2763.75,53437.91,18928.91,34509.0,100000000000,99998511061.33,1488938.67
10,100,189044,31.565113067626953,0.0,256.82,0.6271931301565921,96,4,38469.0,51758.92,25419.0,29233.99,13050.0,470840.0,620092.0800000001,321840.0,378153.33,149000.0,528206.93,1000000000000,512005.86,55746266.5,16201.07,10,19.45,7199.96,4914.79,2285.17,41276.93,24773.59,16503.33,100000000000,99998638790.89,1361209.11,6,7.18,6944.14,5335.81,1608.33,45124.28,20490.95,24633.33,100000000000,99998134894.52,1865105.48,6,5.69,6350.6,1601.43,4749.17,37365.27,20735.27,16630.0,100000000000,99995309239.44,4690760.56,45,76.37,2484.55,101.21,2383.33,71386.02,41192.68,30193.33,100000000000,99996694625.3,3305374.7,19,13.82,1393.09,43.09,1350.0,63766.46,29676.46,34090.0,100000000000,99995937295.96,4062704.04,30,22.86,3686.75,2036.25,1650.5,67675.74,45129.07,22546.67,100000000000,99995961385.46,4038614.54,2,2.91,8864.98,6854.98,2010.0,81706.76,21586.76,60120.0,100000000000,99998503027.3,1496972.7,6,14.32,7019.92,3776.59,3243.33,68265.54,24732.21,43533.33,100000000000,99985386107.84,14613892.16,40,65.99,2086.0,-2967.33,5053.33,68631.8,-9374.87,78006.67,100000000000,99981797817.07,18202182.93,29,28.23,5728.93,828.1,4900.83,74893.28,22996.62,51896.67,100000000000,99997890549.72,2109450.28
10,100,59404,16.054779529571533,0.0,292.85,0.660289592760181,99,1,24440.0,53158.60999999999,24390.0,24399.99,50.0,170190.0,509562.46,169590.0,170190.0,600.0,519201.32,1000000000000,511286.59,20138611.83,7914.73,37,48.76,1696.8,42.21,1654.58,36394.46,20317.79,16076.67,100000000000,99998450943.0,1549057.0,6,4.72,8383.98,7170.65,1213.33,38616.19,35822.86,2793.33,100000000000,99998598301.71,1401698.29,31,45.66,3518.34,48.76,3469.58,51109.16,28012.5,23096.67,100000000000,99998627333.12,1372666.88,6,4.59,7872.21,7055.54,816.67,33836.0,27602.66,6233.33,100000000000,99997022746.23,2977253.77,18,36.68,9029.54,5499.2,3530.33,65760.26,38273.6,27486.67,100000000000,99995197110.86,4802889.14,8,13.74,4831.88,3182.88,1649.0,32131.04,16514.7,15616.33,100000000000,99998496891.82,1503108.18,3,11.79,9896.06,4779.39,5116.67,68754.73,37654.73,31100.0,100000000000,99999085190.25,914809.75,11,27.54,1139.72,17.39,1122.33,71592.66,67740.66,3852.0,100000000000,99999674693.27,325306.73,29,35.84,2147.7,346.45,1801.25,41834.7,24629.7,17205.0,100000000000,99997353336.95,2646663.05,42,63.52,4642.38,616.13,4026.25,69533.26,42803.26,26730.0,100000000000,99997354840.96,2645159.04
10,100,82860,18.66981601715088,0.0,363.03,0.6360678068714999,100,0,23209.0,54665.219999999994,23209.0,23219.01,0,196020.0,810575.4099999999,196020.0,196620.0,0,602820.1,1000000000000,602820.1,25788752.18,0,8,15.04,7284.01,5449.01,1835.0,60497.53,35744.19,24753.33,100000000000,99998183458.54,1816541.46,1,3.92,6754.84,6621.51,133.33,37800.77,37400.77,400.0,100000000000,99998673044.97,1326955.03,24,52.95,7045.46,3553.79,3491.67,103670.21,64940.21,38730.0,100000000000,99991088288.31,8911711.69,14,26.09,8249.8,4165.6,4084.2,92599.34,68352.67,24246.67,100000000000,99998653298.73,1346701.27,21,26.3,3034.89,385.72,2649.17,58044.34,38774.34,19270.0,100000000000,99998410053.6,1589946.4,16,42.26,8892.82,6145.32,2747.5,104440.31,87510.31,16930.0,100000000000,99998068152.92,1931847.08,54,78.32,2887.13,17.66,2869.47,80503.22,58133.22,22370.0,100000000000,99996664768.07,3335231.93,37,52.07,4335.35,353.35,3982.0,101349.01,60932.34,40416.67,100000000000,99997388752.72,2611247.28,2,5.9,4789.15,4687.48,101.67,66019.62,65219.62,800.0,100000000000,99998384348.17,1615651.83,28,60.18,1391.77,66.77,1325.0,105651.06,96947.73,8703.33,100000000000,99998697081.79,1302918.21
10,100,84312,19.70344114303589,0.0,371.88,0.6803470319634704,99,1,22145.0,57162.42999999999,22120.0,22120.0,25.0,244350.0,1047134.91,243750.0,243750.0,600.0,509966.93,1000000000000,507050.02,20947337.73,2916.91,7,10.15,4025.74,1959.07,2066.67,85797.32,61997.32,23800.0,100000000000,99998657961.33,1342038.67,20,29.61,2866.19,933.69,1932.5,89982.8,60869.47,29113.33,100000000000,99996106813.28,3893186.72,11,28.77,9452.12,8871.45,580.67,129098.89,124288.89,4810.0,100000000000,99998433556.45,1566443.55,47,90.09,2259.54,66.2,2193.33,124753.16,94239.83,30513.33,100000000000,99998381659.87,1618340.13,5,10.95,7160.98,5348.48,1812.5,68127.43,57827.43,10300.0,100000000000,99998838696.56,1161303.44,20,44.61,9592.3,4439.3,5153.0,128579.28,74172.62,54406.67,100000000000,99998613828.66,1386171.34,29,49.11,9451.94,6498.6,2953.33,131166.47,96569.81,34596.67,100000000000,99997332076.96,2667923.04,23,43.67,4800.72,643.38,4157.33,104086.15,62856.82,41229.33,100000000000,99998667708.37,1332291.63,30,61.93,1371.45,160.79,1210.67,83762.15,69861.48,13900.67,100000000000,99995065551.48,4934448.52,1,2.99,6181.45,6121.45,60.0,101781.26,100701.26,1080.0,100000000000,99998954809.31,1045190.69
10,100,49674,15.190664291381836,0.0,269.52,0.5357672899970317,100,0,29610.0,65482.69,29610.0,29643.32,0,318660.0,672985.7599999999,318660.0,319260.01,0,527608.12,1000000000000,527608.12,15263700.84,0,5,14.8,9801.95,9004.45,797.5,61540.81,46290.81,15250.0,100000000000,99998866148.78,1133851.22,12,33.66,9857.53,6451.69,3405.83,81906.28,57829.62,24076.67,100000000000,99998348932.98,1651067.02,5,8.99,6851.05,5737.72,1113.33,39133.82,27847.15,11286.67,100000000000,99998901629.81,1098370.19,8,5.37,8187.84,6337.84,1850.0,74989.51,52589.51,22400.0,100000000000,99998398625.72,1601374.28,33,60.86,2311.02,17.19,2293.83,57295.62,27418.62,29877.0,100000000000,99998196612.79,1803387.21,6,8.46,6755.75,3082.0,3673.75,82600.52,29510.52,53090.0,100000000000,99998053245.76,1946754.24,56,66.26,2852.29,1.46,2850.83,68840.01,35660.34,33179.67,100000000000,99998668418.12,1331581.88,3,5.59,9102.01,3335.35,5766.67,78285.04,27485.04,50800.0,100000000000,99999092883.49,907116.51,43,53.75,5390.02,459.27,4930.75,83336.83,30930.17,52406.67,100000000000,99998509353.37,1490646.63,19,11.77,4373.23,1412.4,2960.83,45057.32,18163.98,26893.33,100000000000,99997700448.34,2299551.66
10,100,46312,14.906620502471924,0.0,280.18,0.6041709401709402,100,0,15949.0,51448.57,15949.0,16019.0,0,219990.0,595271.1,219990.0,220196.66,0,513312.61,1000000000000,513312.61,17354713.23,0,4,17.52,8392.22,8156.38,235.83,65988.31,62938.31,3050.0,100000000000,99998788775.63,1211224.37,1,4.0,6173.35,5923.35,250.0,32644.34,26644.34,6000.0,100000000000,99998890191.85,1109808.15,27,33.29,6233.43,3353.56,2879.87,81331.2,39247.86,42083.33,100000000000,99998625012.81,1374987.19,16,20.07,5246.59,3092.26,2154.33,57281.3,27803.97,29477.33,100000000000,99995673482.09,4326517.91,21,29.51,3447.29,592.29,2855.0,62868.14,22648.14,40220.0,100000000000,99996507307.16,3492692.84,24,41.25,1400.2,0.57,1399.63,89415.3,54784.13,34631.17,100000000000,99999319242.48,680757.52,3,12.88,5762.71,5257.71,505.0,35305.08,33787.58,1517.5,100000000000,99998840016.98,1159983.02,46,59.15,1858.01,40.85,1817.17,48062.19,24815.19,23247.0,100000000000,99998694455.68,1305544.32,5,10.07,9985.39,8135.39,1850.0,37378.43,21845.09,15533.33,100000000000,99998580023.14,1419976.86,41,52.45,2949.38,877.22,2072.17,84996.81,60559.81,24437.0,100000000000,99998726778.95,1273221.05
10,100,47864,14.831440925598145,0.0,353.92,0.6695483343552013,100,0,24055.0,72768.72,24055.0,24054.99,0,282020.0,1268969.71,282020.0,282020.0,0,460414.3,1000000000000,460414.3,14695253.99,0,5,16.6,1646.21,1269.55,376.67,123195.66,117695.66,5500.0,100000000000,99998066859.25,1933140.75,14,30.8,10091.13,7470.3,2620.83,122877.98,94047.98,28830.0,100000000000,99998934276.45,1065723.55,39,70.25,2998.63,512.05,2486.58,123537.23,96780.57,26756.67,100000000000,99998489449.18,1510550.82,6,15.58,8235.33,4675.0,3560.33,134807.91,101127.91,33680.0,100000000000,99998598390.77,1401609.23,3,10.45,12058.45,11425.45,633.0,122917.51,113057.51,9860.0,100000000000,99998939676.76,1060323.24,26,45.35,6519.98,3703.73,2816.25,145698.86,108288.86,37410.0,100000000000,99998270320.38,1729679.62,37,55.03,4100.17,325.17,3775.0,123912.01,81095.35,42816.67,100000000000,99998552108.98,1447891.02,28,62.66,13084.15,7558.31,5525.83,140913.08,69983.08,70930.0,100000000000,99998629333.27,1370666.73,14,20.16,7748.15,6112.65,1635.5,150006.3,131852.97,18153.33,100000000000,99997836845.86,2163154.14,9,27.03,6286.52,5661.52,625.0,81103.17,73019.83,8083.33,100000000000,99998987485.11,1012514.89
10,100,82576,19.17410659790039,0.0,279.12,0.8440772946859904,94,6,28075.0,36134.450000000004,22175.0,22180.0,5900.0,215190.0,532313.0900000001,173190.0,173209.99,42000.0,523731.25,1000000000000,502955.75,16957113.34,20775.5,28,22.91,4724.18,662.84,4061.33,48927.95,28067.95,20860.0,100000000000,99998266018.17,1733981.83,33,32.53,4228.58,90.33,4138.25,46169.02,21085.69,25083.33,100000000000,99998316625.68,1683374.32,10,15.87,9647.03,4678.28,4968.75,62895.32,24911.99,37983.33,100000000000,99998944991.51,1055008.49,8,6.64,5068.59,4066.59,1002.0,44007.04,33853.7,10153.33,100000000000,99998643070.45,1356929.55,29,58.91,1105.93,0.51,1105.42,85146.51,69649.84,15496.67,100000000000,99999273770.39,726229.61,22,28.85,1191.09,563.92,627.17,34478.24,23564.24,10914.0,100000000000,99998760806.1,1239193.9,20,30.71,1148.13,346.38,801.75,37906.44,28673.1,9233.33,100000000000,99998698542.88,1301457.12,17,35.36,1400.2,413.53,986.67,89415.3,80111.97,9303.33,100000000000,99996240710.0,3759290.0,10,9.33,5762.71,3000.37,2762.33,35305.08,21575.08,13730.0,100000000000,99998866803.42,1133196.58,32,38.02,1858.01,131.68,1726.33,48062.19,27609.52,20452.67,100000000000,99997031548.06,2968451.94
10,100,71872,17.55782961845398,0.0,280.07,0.6961128760979256,98,2,23159.0,59666.99999999999,15659.0,16399.01,7500.0,212230.0,385208.56,152230.0,157029.99,60000.0,503432.71,1000000000000,492882.38,22343989.77,10550.32,5,11.77,3209.21,2635.88,573.33,23150.15,16076.82,7073.33,100000000000,99997871804.13,2128195.87,7,4.37,9414.39,8892.73,521.67,30469.21,25849.21,4620.0,100000000000,99997358890.69,2641109.31,23,23.53,2346.46,89.79,2256.67,52428.09,37198.09,15230.0,100000000000,99996710686.69,3289313.31,12,15.2,9414.39,8088.14,1326.25,30469.21,13685.87,16783.33,100000000000,99998846750.14,1153249.86,29,19.61,2346.46,597.46,1749.0,52428.09,24398.09,28030.0,100000000000,99997296070.95,2703929.05,13,20.74,9414.39,6273.39,3141.0,30469.21,19752.54,10716.67,100000000000,99998006528.03,1993471.97,42,53.95,2346.46,-143.21,2489.67,52428.09,20676.09,31752.0,100000000000,99998105159.5,1894840.5,19,49.58,9414.39,8186.06,1228.33,30469.21,15485.87,14983.33,100000000000,99996491442.55,3508557.45,38,72.76,2346.46,0.04,2346.42,52428.09,34570.09,17858.0,100000000000,99998886741.23,1113258.77,5,8.56,9414.39,8647.73,766.67,30469.21,20485.87,9983.33,100000000000,99998081936.32,1918063.68
