n_nodes,n_req,n_msg,exec_time,alpha,tot_utility,jaini,count_assigned,count_unassigned,tot_gpu_jobs,tot_gpu_nodes,assigned_sum_gpu,tot_used_gpu,unassigned_sum_gpu,tot_cpu_jobs,tot_cpu_nodes,assigned_sum_cpu,tot_used_cpu,unassigned_sum_cpu,tot_bw_jobs,tot_bw_nodes,assigned_sum_bw,tot_used_bw,unassigned_sum_bw,node_0_jobs,node_0_utility,node_0_initial_gpu,node_0_updated_gpu,node_0_used_gpu,node_0_initial_cpu,node_0_updated_cpu,node_0_used_cpu,node_0_initial_bw,node_0_updated_bw,node_0_used_bw,node_1_jobs,node_1_utility,node_1_initial_gpu,node_1_updated_gpu,node_1_used_gpu,node_1_initial_cpu,node_1_updated_cpu,node_1_used_cpu,node_1_initial_bw,node_1_updated_bw,node_1_used_bw,node_2_jobs,node_2_utility,node_2_initial_gpu,node_2_updated_gpu,node_2_used_gpu,node_2_initial_cpu,node_2_updated_cpu,node_2_used_cpu,node_2_initial_bw,node_2_updated_bw,node_2_used_bw,node_3_jobs,node_3_utility,node_3_initial_gpu,node_3_updated_gpu,node_3_used_gpu,node_3_initial_cpu,node_3_updated_cpu,node_3_used_cpu,node_3_initial_bw,node_3_updated_bw,node_3_used_bw,node_4_jobs,node_4_utility,node_4_initial_gpu,node_4_updated_gpu,node_4_used_gpu,node_4_initial_cpu,node_4_updated_cpu,node_4_used_cpu,node_4_initial_bw,node_4_updated_bw,node_4_used_bw,node_5_jobs,node_5_utility,node_5_initial_gpu,node_5_updated_gpu,node_5_used_gpu,node_5_initial_cpu,node_5_updated_cpu,node_5_used_cpu,node_5_initial_bw,node_5_updated_bw,node_5_used_bw,node_6_jobs,node_6_utility,node_6_initial_gpu,node_6_updated_gpu,node_6_used_gpu,node_6_initial_cpu,node_6_updated_cpu,node_6_used_cpu,node_6_initial_bw,node_6_updated_bw,node_6_used_bw,node_7_jobs,node_7_utility,node_7_initial_gpu,node_7_updated_gpu,node_7_used_gpu,node_7_initial_cpu,node_7_updated_cpu,node_7_used_cpu,node_7_initial_bw,node_7_updated_bw,node_7_used_bw,node_8_jobs,node_8_utility,node_8_initial_gpu,node_8_updated_gpu,node_8_used_gpu,node_8_initial_cpu,node_8_updated_cpu,node_8_used_cpu,node_8_initial_bw,node_8_updated_bw,node_8_used_bw,node_9_jobs,node_9_utility,node_9_initial_gpu,node_9_updated_gpu,node_9_used_gpu,node_9_initial_cpu,node_9_updated_cpu,node_9_used_cpu,node_9_initial_bw,node_9_updated_bw,node_9_used_bw
10,100,12568,11.426074504852295,0.0,61.97,0.7669467787114846,34,66,21850.0,11370.77,5700.0,5700.0,16150.0,201210.0,70634.65,54010.0,54009.99,147200.0,490697.23,1000000000000,181031.11,2810089.66,309666.12,15,15.28,1230.82,570.32,660.5,7825.83,1282.49,6543.33,100000000000,99999621824.47,378175.53,9,7.11,1198.7,845.7,353.0,6142.57,1343.24,4799.33,100000000000,99999669373.91,330626.09,13,2.55,1595.39,1187.56,407.83,5375.89,3501.89,1874.0,100000000000,99999555895.94,444104.06,7,6.18,1245.45,920.45,325.0,6390.85,1537.52,4853.33,100000000000,99999666743.81,333256.19,10,5.96,546.81,8.14,538.67,7684.13,3490.8,4193.33,100000000000,99999785790.43,214209.57,4,2.49,1129.59,167.92,961.67,8783.27,683.27,8100.0,100000000000,99999630730.04,369269.96,3,1.62,1152.47,582.47,570.0,4855.99,875.99,3980.0,100000000000,99999876522.21,123477.79,5,17.73,496.41,3.08,493.33,10488.4,568.4,9920.0,100000000000,99999847098.66,152901.34,2,1.99,845.72,125.72,720.0,5540.28,580.28,4960.0,100000000000,99999792066.92,207933.08,6,1.05,1929.41,1259.41,670.0,7547.44,2760.77,4786.67,100000000000,99999743863.95,256136.05
10,100,24642,12.715023756027222,0.0,144.52,0.8709794437726723,65,35,18310.0,11933.400000000001,5775.0,5775.0,12535.0,231900.0,118525.7,61400.0,61400.0,170500.0,538263.92,1000000000000,372908.63,6774835.18,165355.29,9,4.37,641.84,2.51,639.33,7123.12,6.46,7116.67,100000000000,99999302273.58,697726.42,15,6.37,1882.88,1180.55,702.33,9375.14,2425.14,6950.0,100000000000,99999094956.31,905043.69,1,5.0,469.29,52.63,416.67,16131.72,11131.72,5000.0,100000000000,99999738682.52,261317.48,15,7.53,1882.88,1039.71,843.17,9375.14,1401.81,7973.33,100000000000,99999194765.76,805234.24,23,23.09,469.29,54.96,414.33,16131.72,10061.05,6070.67,100000000000,99999402416.58,597583.42,19,5.85,1882.88,1613.55,269.33,9375.14,5385.14,3990.0,100000000000,99999283583.2,716416.8,17,25.67,469.29,0.13,469.17,16131.72,10728.39,5403.33,100000000000,99999556555.31,443444.69,15,22.41,1882.88,1128.88,754.0,9375.14,905.14,8470.0,100000000000,99999069993.63,930006.37,17,26.51,469.29,0.13,469.17,16131.72,11572.39,4559.33,100000000000,99999549182.94,450817.06,16,17.73,1882.88,1085.38,797.5,9375.14,3508.47,5866.67,100000000000,99999032754.99,967245.01
10,100,29788,13.194760799407959,0.0,163.73,0.731523750771129,70,30,25703.0,10306.25,7115.0,7154.99,18588.0,344580.0,146465.76,74580.0,75300.0,270000.0,512586.5,1000000000000,361333.09,6861591.79,151253.41,10,9.94,557.78,59.45,498.33,7756.45,2436.45,5320.0,100000000000,99999467734.39,532265.61,21,16.75,1911.9,773.57,1138.33,14077.24,6327.24,7750.0,100000000000,99999376330.35,623669.65,3,8.3,781.03,407.7,373.33,17513.15,15273.15,2240.0,100000000000,99999711345.46,288654.54,10,10.65,260.57,127.65,132.92,14468.8,13152.14,1316.67,100000000000,99999404197.79,595802.21,11,22.07,496.71,149.12,347.58,18296.81,14626.81,3670.0,100000000000,99999435802.01,564197.99,15,24.69,225.51,0.35,225.17,11298.49,8128.49,3170.0,100000000000,99999619108.81,380891.19,36,32.2,1432.25,138.75,1293.5,18345.39,2785.39,15560.0,100000000000,99999058580.96,941419.04,5,10.21,1368.92,435.59,933.33,15259.5,3726.16,11533.33,100000000000,99999175617.29,824382.71,22,20.43,1499.61,529.61,970.0,15099.83,2073.17,13026.67,100000000000,99999005546.11,994453.89,21,8.5,1771.97,529.47,1242.5,14350.1,2636.77,11713.33,100000000000,99998884145.04,1115854.96
10,100,14380,11.790510177612305,0.0,88.83,0.8590214067278288,25,75,29450.0,7613.1,6160.0,6159.99,23290.0,258350.0,130771.81999999999,38920.0,38920.01,219430.0,510330.88,1000000000000,119193.05,1862606.87,391137.83,4,5.88,1666.06,370.23,1295.83,8582.73,932.73,7650.0,100000000000,99999862061.05,137938.95,6,6.08,558.22,169.05,389.17,11183.32,6143.32,5040.0,100000000000,99999753985.79,246014.21,7,16.89,324.07,12.4,311.67,17608.83,15278.83,2330.0,100000000000,99999810688.68,189311.32,8,9.31,1929.41,11.07,1918.33,15094.88,7988.21,7106.67,100000000000,99999843506.56,156493.44,6,11.34,1013.72,18.72,995.0,10561.69,7401.69,3160.0,100000000000,99999835839.39,164160.61,4,12.96,221.19,7.85,213.33,20435.16,18528.5,1906.67,100000000000,99999870265.02,129734.98,8,10.3,238.22,17.38,220.83,8274.78,5358.11,2916.67,100000000000,99999861073.75,138926.25,3,4.64,229.63,42.13,187.5,9097.54,6597.54,2500.0,100000000000,99999628277.89,371722.11,1,2.96,280.04,30.04,250.0,21459.67,18459.67,3000.0,100000000000,99999913245.88,86754.12,6,8.47,1152.54,774.21,378.33,8473.22,5163.22,3310.0,100000000000,99999758449.12,241550.88
10,100,29044,13.24451756477356,0.0,109.83,0.7729308666017527,56,44,25234.0,11965.029999999999,5855.0,5856.98,19379.0,246220.0,121428.48999999999,56620.0,56740.01,189600.0,490009.03,1000000000000,280333.45,8145153.94,209675.58,4,6.61,1428.46,1207.63,220.83,14216.83,12133.5,2083.33,100000000000,99999437479.28,562520.72,8,8.77,687.48,398.4,289.08,6905.95,3421.95,3484.0,100000000000,99999501143.4,498856.6,12,23.2,464.75,0.25,464.5,18346.09,10294.09,8052.0,100000000000,99999771810.79,228189.21,6,9.6,1418.83,1123.83,295.0,16189.88,11079.88,5110.0,100000000000,99999347075.43,652924.57,16,16.17,879.68,56.93,822.75,15004.15,3629.48,11374.67,100000000000,99999247374.81,752625.19,22,14.81,1938.91,695.32,1243.58,13127.18,4312.52,8814.67,100000000000,99998610799.01,1389200.99,23,9.5,1773.11,1044.77,728.33,14438.61,9186.94,5251.67,100000000000,99999087810.17,912189.83,5,2.11,406.05,195.71,210.33,6920.41,3783.75,3136.67,100000000000,99998218698.14,1781301.86,10,4.64,1666.8,1341.8,325.0,7146.9,2946.9,4200.0,100000000000,99999465386.99,534613.01,20,14.41,1300.96,43.37,1257.58,9132.49,3899.49,5233.0,100000000000,99999167268.04,832731.96
10,100,9606,11.209858179092407,0.0,63.91,0.7619647355163728,26,74,16150.0,6318.64,2480.0,2484.99,13670.0,210355.0,72433.84,33755.0,33764.99,176600.0,556850.86,1000000000000,166248.04,2531949.74,390602.82,6,6.47,558.22,181.89,376.33,6057.63,3154.3,2903.33,100000000000,99999522843.42,477156.58,9,5.37,324.07,8.73,315.33,9538.12,2371.45,7166.67,100000000000,99999704121.77,295878.23,6,10.78,1929.41,1636.07,293.33,8176.39,5971.39,2205.0,100000000000,99999724217.98,275782.02,2,2.44,1013.72,813.72,200.0,5720.91,4187.58,1533.33,100000000000,99999763468.12,236531.88,5,7.29,221.19,0.02,221.17,11069.05,7029.05,4040.0,100000000000,99999883473.98,116526.02,0,0,238.22,238.22,0,4482.17,4482.17,0,100000000000,99999865384.45,134615.55,6,10.7,229.63,167.13,62.5,4927.84,3411.17,1516.67,100000000000,99999738797.59,261202.41,11,12.81,280.04,53.71,226.33,11623.99,6850.66,4773.33,100000000000,99999763940.55,236059.45,7,6.02,1152.54,649.21,503.33,4589.66,1166.33,3423.33,100000000000,99999639771.32,360228.68,3,2.02,371.6,84.94,286.67,6248.08,44.75,6203.33,100000000000,99999862031.08,137968.92
10,100,21642,12.533618211746216,0.0,165.65,0.8683853459972863,67,33,22690.0,10721.960000000001,6315.0,6495.0,16375.0,254240.0,214023.52999999997,81440.0,85760.0,172800.0,531894.8,1000000000000,362831.83,5895612.19,169062.96,10,16.21,528.66,420.41,108.25,20478.17,17439.84,3038.33,100000000000,99999200026.91,799973.09,16,16.13,1828.72,860.38,968.33,28772.64,16719.31,12053.33,100000000000,99999235760.15,764239.85,19,7.44,1369.83,574.41,795.42,18650.96,8087.63,10563.33,100000000000,99999494768.62,505231.38,20,32.3,980.09,20.25,959.83,28726.53,18459.87,10266.67,100000000000,99999488645.83,511354.17,12,19.56,459.63,0.55,459.08,22548.09,15001.42,7546.67,100000000000,99999685754.9,314245.1,15,22.69,429.92,0.01,429.92,22066.55,14666.55,7400.0,100000000000,99999558576.65,441423.35,11,2.96,1937.44,663.27,1274.17,9823.77,1283.77,8540.0,100000000000,99999497424.32,502575.68,24,30.46,522.88,41.21,481.67,19150.35,12298.68,6851.67,100000000000,99999348761.88,651238.12,27,12.46,1831.47,1136.47,695.0,25946.89,16356.89,9590.0,100000000000,99999289712.11,710287.89,6,5.44,833.32,509.99,323.33,17859.58,7949.58,9910.0,100000000000,99999304956.44,695043.56
10,100,59234,16.34140419960022,0.0,191.89,0.8816540477577169,68,32,26405.0,8287.429999999998,5855.0,5855.0,20550.0,224560.0,134230.92,55960.0,55959.99,168600.0,513455.83,1000000000000,369570.72,10231307.67,143885.11,14,25.7,417.5,1.33,416.17,16530.98,12751.98,3779.0,100000000000,99999693783.46,306216.54,8,6.3,759.23,329.23,430.0,10973.26,8968.26,2005.0,100000000000,99999084774.86,915225.14,18,7.36,857.85,164.52,693.33,7461.56,2936.56,4525.0,100000000000,99998636417.9,1363582.1,28,38.37,496.91,2.08,494.83,14277.2,8331.87,5945.33,100000000000,99998875895.58,1124104.43,16,25.45,278.62,0.87,277.75,12753.29,8709.29,4044.0,100000000000,99999603426.79,396573.21,22,27.26,737.35,109.02,628.33,13535.15,8531.81,5003.33,100000000000,99998038441.54,1961558.46,20,17.95,1773.0,748.83,1024.17,16341.35,4201.35,12140.0,100000000000,99997876876.02,2123123.98,13,5.42,1403.98,782.32,621.67,13653.11,4578.11,9075.0,100000000000,99999124084.88,875915.12,26,30.11,417.2,0.95,416.25,13726.36,8058.03,5668.33,100000000000,99999228832.75,771167.25,9,7.97,1145.79,293.29,852.5,14978.66,11203.66,3775.0,100000000000,99999606158.56,393841.44
10,100,24526,12.50750184059143,0.0,147.56,0.9021779947427713,60,40,27755.0,9345.75,6580.0,6580.0,21175.0,249890.0,104994.18999999997,53690.0,53690.01,196200.0,537460.03,1000000000000,343503.64,6285907.68,193956.39,15,12.59,937.66,195.99,741.67,9467.06,4255.4,5211.67,100000000000,99999332884.24,667115.76,11,2.05,1997.23,1718.9,278.33,11916.15,8681.15,3235.0,100000000000,99999479100.17,520899.83,6,6.46,1011.52,253.69,757.83,9553.52,5503.52,4050.0,100000000000,99999457973.21,542026.79,18,30.24,269.39,0.14,269.25,12201.49,7611.49,4590.0,100000000000,99999496928.32,503071.68,10,9.68,926.3,441.3,485.0,11587.51,5837.51,5750.0,100000000000,99999341279.47,658720.53,18,8.42,1906.87,31.21,1875.67,12852.14,3177.14,9675.0,100000000000,99999191629.86,808370.14,24,33.82,456.05,0.46,455.58,9948.59,2931.92,7016.67,100000000000,99999443420.27,556579.73,19,19.45,863.8,0.21,863.58,14766.43,8406.43,6360.0,100000000000,99999342487.1,657512.9,20,16.11,731.73,16.81,714.92,7099.23,1429.23,5670.0,100000000000,99999262871.94,737128.06,14,8.75,245.2,107.03,138.17,5602.07,3470.41,2131.67,100000000000,99999365517.74,634482.26
10,100,40584,14.947381973266602,0.0,173.32,0.8274253105068815,71,29,19269.0,7558.9800000000005,4684.0,4824.0,14585.0,190910.0,115492.68999999999,58810.0,59650.0,132100.0,481295.54,1000000000000,361261.8,11427084.98,120033.74,10,7.38,1468.99,1128.16,340.83,9623.25,6744.92,2878.33,100000000000,99999366319.15,633680.85,29,49.34,655.8,46.13,609.67,13818.01,3899.68,9918.33,100000000000,99999236589.57,763410.43,17,8.52,542.88,153.97,388.92,8293.75,2697.09,5596.67,100000000000,99999296902.82,703097.18,10,20.55,290.85,12.52,278.33,13865.78,10330.78,3535.0,100000000000,99999562163.87,437836.13,5,9.64,337.24,206.16,131.08,6175.42,4360.42,1815.0,100000000000,99998904946.21,1095053.79,13,23.97,638.33,-114.58,752.92,12026.51,5031.51,6995.0,100000000000,99998355852.45,1644147.55,13,20.28,521.69,20.02,501.67,13238.96,7813.96,5425.0,100000000000,99997846706.51,2153293.49,13,9.11,926.87,384.54,542.33,9736.63,3469.96,6266.67,100000000000,99998831580.64,1168419.36,21,12.97,757.25,379.92,377.33,13871.48,5834.81,8036.67,100000000000,99998158785.57,1841214.43,26,11.55,1419.08,518.16,900.92,14842.9,5659.57,9183.33,100000000000,99999013068.23,986931.77
