n_nodes,n_req,n_msg,exec_time,alpha,tot_utility,jaini,count_assigned,count_unassigned,tot_gpu_jobs,tot_gpu_nodes,assigned_sum_gpu,tot_used_gpu,unassigned_sum_gpu,tot_cpu_jobs,tot_cpu_nodes,assigned_sum_cpu,tot_used_cpu,unassigned_sum_cpu,tot_bw_jobs,tot_bw_nodes,assigned_sum_bw,tot_used_bw,unassigned_sum_bw,node_0_jobs,node_0_utility,node_0_initial_gpu,node_0_updated_gpu,node_0_used_gpu,node_0_initial_cpu,node_0_updated_cpu,node_0_used_cpu,node_0_initial_bw,node_0_updated_bw,node_0_used_bw,node_1_jobs,node_1_utility,node_1_initial_gpu,node_1_updated_gpu,node_1_used_gpu,node_1_initial_cpu,node_1_updated_cpu,node_1_used_cpu,node_1_initial_bw,node_1_updated_bw,node_1_used_bw,node_2_jobs,node_2_utility,node_2_initial_gpu,node_2_updated_gpu,node_2_used_gpu,node_2_initial_cpu,node_2_updated_cpu,node_2_used_cpu,node_2_initial_bw,node_2_updated_bw,node_2_used_bw,node_3_jobs,node_3_utility,node_3_initial_gpu,node_3_updated_gpu,node_3_used_gpu,node_3_initial_cpu,node_3_updated_cpu,node_3_used_cpu,node_3_initial_bw,node_3_updated_bw,node_3_used_bw,node_4_jobs,node_4_utility,node_4_initial_gpu,node_4_updated_gpu,node_4_used_gpu,node_4_initial_cpu,node_4_updated_cpu,node_4_used_cpu,node_4_initial_bw,node_4_updated_bw,node_4_used_bw,node_5_jobs,node_5_utility,node_5_initial_gpu,node_5_updated_gpu,node_5_used_gpu,node_5_initial_cpu,node_5_updated_cpu,node_5_used_cpu,node_5_initial_bw,node_5_updated_bw,node_5_used_bw,node_6_jobs,node_6_utility,node_6_initial_gpu,node_6_updated_gpu,node_6_used_gpu,node_6_initial_cpu,node_6_updated_cpu,node_6_used_cpu,node_6_initial_bw,node_6_updated_bw,node_6_used_bw,node_7_jobs,node_7_utility,node_7_initial_gpu,node_7_updated_gpu,node_7_used_gpu,node_7_initial_cpu,node_7_updated_cpu,node_7_used_cpu,node_7_initial_bw,node_7_updated_bw,node_7_used_bw,node_8_jobs,node_8_utility,node_8_initial_gpu,node_8_updated_gpu,node_8_used_gpu,node_8_initial_cpu,node_8_updated_cpu,node_8_used_cpu,node_8_initial_bw,node_8_updated_bw,node_8_used_bw,node_9_jobs,node_9_utility,node_9_initial_gpu,node_9_updated_gpu,node_9_used_gpu,node_9_initial_cpu,node_9_updated_cpu,node_9_used_cpu,node_9_initial_bw,node_9_updated_bw,node_9_used_bw
10,100,18996,12.03227162361145,0.0,244.0,0.8387951807228916,53,47,18984.0,8886.39,3515.0,3515.0,15469.0,213870.0,100893.76999999997,60870.0,60870.0,153000.0,518048.3,1000000000000,304938.51,4712134.57,213109.79,11,23.0,1152.1,634.6,517.5,8400.36,1393.69,7006.67,100000000000,99999377742.72,622257.28,12,26.0,1844.56,1466.06,378.5,7649.74,2097.74,5552.0,100000000000,99999080251.06,919748.94,17,30.0,337.24,87.08,250.17,6175.42,1784.09,4391.33,100000000000,99999473084.61,526915.39,16,40.0,638.33,64.58,573.75,12026.51,4426.51,7600.0,100000000000,99999439608.03,560391.97,14,21.0,521.69,10.44,511.25,13238.96,1805.63,11433.33,100000000000,99999410252.54,589747.46,1,1.0,926.87,826.87,100.0,9736.63,7336.63,2400.0,100000000000,99999884690.97,115309.03,13,30.0,757.25,368.5,388.75,13871.48,8509.81,5361.67,100000000000,99999441524.52,558475.48,12,29.0,1419.08,814.08,605.0,14842.9,2672.9,12170.0,100000000000,99999763437.48,236562.52,18,39.0,1059.64,897.89,161.75,7370.48,3215.48,4155.0,100000000000,99999565702.63,434297.37,4,5.0,229.63,201.29,28.33,7581.29,6781.29,800.0,100000000000,99999851570.87,148429.13
10,100,24398,12.775643348693848,0.0,227.0,0.8578339350180505,51,49,16484.0,10400.26,4305.0,4304.98,12179.0,198865.0,81534.26999999999,55465.0,55464.99,143400.0,508666.77,1000000000000,272874.64,5061537.14,235792.13,4,10.0,256.39,0.14,256.25,8018.39,968.39,7050.0,100000000000,99999929269.97,70730.03,4,4.0,950.41,784.58,165.83,8187.45,1617.45,6570.0,100000000000,99998810875.44,1189124.56,7,8.0,1006.88,648.55,358.33,6871.65,102.06,6769.58,100000000000,99999732255.25,267744.75,13,33.0,1647.9,1102.9,545.0,5671.0,1337.67,4333.33,100000000000,99999708452.51,291547.49,11,14.0,417.2,85.12,332.08,8235.82,600.82,7635.0,100000000000,99999568192.71,431807.29,15,30.0,1145.79,672.04,473.75,8987.19,4658.86,4328.33,100000000000,99999363922.48,636077.52,13,18.0,1677.7,1410.61,267.08,8194.5,5257.83,2936.67,100000000000,99999486251.48,513748.52,14,38.0,907.13,463.79,443.33,9713.26,4553.26,5160.0,100000000000,99999328360.28,671639.72,10,15.0,570.46,317.13,253.33,8260.8,6070.8,2190.0,100000000000,99999220266.15,779733.85,18,57.0,1820.4,610.4,1210.0,9394.21,902.12,8492.08,100000000000,99999790616.59,209383.41
10,100,13660,11.452368259429932,0.0,147.0,0.718475073313783,33,67,23435.0,11134.070000000002,5795.0,5795.0,17640.0,201340.0,110086.19,58240.0,58240.0,143100.0,513072.14,1000000000000,180286.56,3225793.18,332785.58,13,32.0,1191.48,385.65,805.83,8998.6,278.6,8720.0,100000000000,99999563719.5,436280.5,17,45.0,649.36,29.69,619.67,10103.51,283.51,9820.0,100000000000,99999799672.6,200327.4,7,9.0,1061.98,349.07,712.92,11523.65,673.65,10850.0,100000000000,99999651051.68,348948.32,8,18.0,1108.76,202.93,905.83,16062.59,13722.59,2340.0,100000000000,99999638720.07,361279.93,3,3.0,462.72,357.72,105.0,8270.1,6863.44,1406.67,100000000000,99999679333.6,320666.4,6,10.0,448.84,71.0,377.83,14014.1,12484.1,1530.0,100000000000,99999764867.81,235132.19,4,5.0,1842.22,1455.55,386.67,11932.2,6232.2,5700.0,100000000000,99999560740.97,439259.03,3,5.0,1142.62,389.28,753.33,9534.13,2774.13,6760.0,100000000000,99999668518.38,331481.62,4,8.0,1664.16,857.49,806.67,13391.91,6618.57,6773.33,100000000000,99999747577.85,252422.15,5,12.0,1561.93,1240.68,321.25,6255.4,1915.4,4340.0,100000000000,99999700004.36,299995.64
10,100,23640,12.805535554885864,0.0,331.0,0.9250082918739635,72,28,27125.0,10034.68,6075.0,6075.0,21050.0,274500.0,116428.92,56300.0,56299.99,218200.0,493065.05,1000000000000,354712.68,4976960.34,138352.37,10,22.0,558.44,374.27,184.17,10167.89,7297.89,2870.0,100000000000,99999457735.94,542264.06,19,29.0,1350.97,780.97,570.0,5355.11,1355.11,4000.0,100000000000,99999479656.04,520343.96,21,48.0,1409.09,592.42,816.67,14686.61,7933.28,6753.33,100000000000,99999209573.59,790426.41,21,43.0,1649.96,508.71,1141.25,13118.24,6014.91,7103.33,100000000000,99999517815.89,482184.11,22,29.0,606.98,116.14,490.83,8222.95,2072.95,6150.0,100000000000,99999384859.89,615140.11,23,44.0,1778.56,930.23,848.33,14795.71,8825.71,5970.0,100000000000,99999401362.63,598637.37,13,25.0,577.43,100.76,476.67,11404.62,3954.62,7450.0,100000000000,99999671093.44,328906.56,15,34.0,867.07,0.82,866.25,14357.78,6104.44,8253.33,100000000000,99999745376.22,254623.78,11,29.0,957.83,555.33,402.5,9352.78,5702.78,3650.0,100000000000,99999483384.1,516615.9,12,28.0,278.35,0.02,278.33,14967.23,10867.23,4100.0,100000000000,99999672181.92,327818.08
10,100,21318,12.497478723526001,0.0,238.0,0.833076923076923,51,49,27850.0,10658.59,4475.0,4483.34,23375.0,271280.0,122479.88,70280.0,70480.0,201000.0,523554.35,1000000000000,276749.98,4222867.0,246804.37,19,44.0,1628.01,630.1,997.92,16656.62,296.62,16360.0,100000000000,99999721113.68,278886.32,14,29.0,671.97,2.47,669.5,18363.2,5113.2,13250.0,100000000000,99999727537.02,272462.98,3,4.0,1848.94,1622.28,226.67,10756.99,5706.99,5050.0,100000000000,99999310880.58,689119.42,10,36.0,1460.2,736.87,723.33,9878.88,362.21,9516.67,100000000000,99999800346.12,199653.88,5,10.0,1606.42,1476.42,130.0,7308.83,6185.49,1123.33,100000000000,99999492704.58,507295.42,14,24.0,996.4,302.65,693.75,9877.07,1017.07,8860.0,100000000000,99999422984.23,577015.77,5,7.0,446.22,336.22,110.0,7001.44,5981.44,1020.0,100000000000,99999495297.75,504702.25,16,32.0,1228.67,727.01,501.67,12848.31,7314.98,5533.33,100000000000,99999607145.83,392854.17,14,31.0,388.15,195.49,192.67,16716.22,12819.55,3896.67,100000000000,99999644355.04,355644.96,14,21.0,383.61,145.78,237.83,13072.32,7202.32,5870.0,100000000000,99999554768.17,445231.83
10,100,16038,11.9151029586792,0.0,252.0,0.9037552155771905,55,45,38105.0,11761.09,8150.0,8149.99,29955.0,410340.0,188105.88999999998,95740.0,95740.0,314600.0,498921.28,1000000000000,284370.85,4611601.56,214550.44,11,23.0,859.53,388.7,470.83,20415.07,16698.4,3716.67,100000000000,99999521256.59,478743.41,18,43.0,1266.82,385.57,881.25,12406.21,3174.55,9231.67,100000000000,99999653427.47,346572.53,9,13.0,731.73,480.89,250.83,15033.65,12313.65,2720.0,100000000000,99999586224.71,413775.29,6,16.0,245.2,0.2,245.0,11863.22,9649.88,2213.33,100000000000,99999874863.85,125136.15,11,28.0,1635.21,805.21,830.0,31308.5,16451.83,14856.67,100000000000,99998849622.37,1150377.63,15,36.0,1861.58,231.92,1629.67,18727.09,213.75,18513.33,100000000000,99999291992.51,708007.49,7,27.0,1153.51,128.51,1025.0,20453.14,23.14,20430.0,100000000000,99999793797.43,206202.57,9,15.0,1070.18,486.85,583.33,26871.98,22148.64,4723.33,100000000000,99999642257.23,357742.77,16,33.0,1289.43,408.18,881.25,14014.03,4365.69,9648.33,100000000000,99999597508.4,402491.6,12,18.0,1647.9,295.07,1352.83,17013.0,7326.34,9686.67,100000000000,99999577447.88,422552.12
10,100,37680,13.866236686706543,0.0,348.0,0.882217831563349,79,21,20550.0,10107.8,7665.0,7681.66,12885.0,221240.0,143413.66,84840.0,84939.98,136400.0,501255.2,1000000000000,402539.19,7290590.71,98716.0,9,28.0,1270.12,774.29,495.83,7846.71,3346.71,4500.0,100000000000,99999119590.53,880409.47,16,31.0,496.91,25.16,471.75,14991.06,9247.73,5743.33,100000000000,99999588234.48,411765.52,7,16.0,278.62,0.28,278.33,13390.96,9370.96,4020.0,100000000000,99999819612.84,180387.16,23,40.0,737.35,227.6,509.75,14211.9,4138.57,10073.33,100000000000,99999364413.47,635586.53,22,34.0,1773.0,288.83,1484.17,17158.42,2018.42,15140.0,100000000000,99999230587.85,769412.15,27,46.0,1403.98,22.73,1381.25,14335.76,7022.43,7313.33,100000000000,99999368330.46,631669.54,16,19.0,417.2,61.2,356.0,14412.68,9939.34,4473.33,100000000000,99999239567.06,760432.94,28,49.0,1145.79,38.62,1107.17,15727.59,784.26,14943.33,100000000000,99998252421.28,1747578.72,16,24.0,1677.7,986.86,690.83,14340.38,10297.04,4043.33,100000000000,99999149764.01,850235.99,25,61.0,907.13,0.54,906.58,16998.2,2308.2,14690.0,100000000000,99999576887.31,423112.69
10,100,15064,11.636019229888916,0.0,318.0,0.9533284295696948,72,28,18874.0,8266.42,7074.0,7074.0,11800.0,208320.0,125314.69,76820.0,76819.99,131500.0,495121.01,1000000000000,376808.01,3950489.75,118313.0,15,28.0,940.64,127.81,812.83,11146.94,3073.61,8073.33,100000000000,99999472742.13,527257.87,10,22.0,780.67,427.33,353.33,7356.03,4886.03,2470.0,100000000000,99999571917.23,428082.77,21,36.0,440.0,37.0,403.0,13479.86,8336.52,5143.33,100000000000,99999587676.44,412323.56,22,40.0,1228.67,219.26,1009.42,12236.49,2909.82,9326.67,100000000000,99999562756.3,437243.7,13,35.0,388.15,0.49,387.67,15920.21,7006.87,8913.33,100000000000,99999735058.16,264941.84,17,32.0,383.61,56.2,327.42,12449.83,7519.83,4930.0,100000000000,99999596964.14,403035.86,15,44.0,1361.18,62.35,1298.83,14866.33,3.0,14863.33,100000000000,99999777789.79,222210.21,19,26.0,281.63,2.13,279.5,14439.89,8956.56,5483.33,100000000000,99999639145.98,360854.02,13,17.0,1772.36,122.78,1649.58,15767.78,3767.78,12000.0,100000000000,99999546745.79,453254.21,16,38.0,689.51,137.09,552.42,7651.33,2034.66,5616.67,100000000000,99999558714.29,441285.71
10,100,15686,11.672514200210571,0.0,313.0,0.8850283553875237,67,33,27340.0,10899.21,5730.0,5730.01,21610.0,288800.0,84537.98999999999,57400.0,57400.0,231400.0,533396.51,1000000000000,370393.84,4699774.78,163002.67,25,64.0,571.77,28.35,543.42,6592.48,161.48,6431.0,100000000000,99999599639.31,400360.69,8,17.0,743.1,145.6,597.5,4831.35,1.35,4830.0,100000000000,99999887839.65,112160.35,21,42.0,1805.91,931.32,874.58,10057.45,2197.45,7860.0,100000000000,99999409830.81,590169.19,16,31.0,966.38,353.04,613.33,4914.16,494.16,4420.0,100000000000,99999482811.65,517188.35,12,26.0,1979.21,1435.04,544.17,10515.43,5982.1,4533.33,100000000000,99999512460.89,487539.11,10,21.0,227.94,32.53,195.42,10949.47,8484.47,2465.0,100000000000,99999433581.92,566418.08,9,22.0,429.54,92.04,337.5,6398.25,1691.58,4706.67,100000000000,99999462475.79,537524.21,18,36.0,928.48,266.81,661.67,10634.5,584.5,10050.0,100000000000,99999552998.98,447001.02,13,19.0,1317.47,404.55,912.92,11468.51,3315.18,8153.33,100000000000,99999466770.67,533229.33,21,35.0,1929.41,1479.91,449.5,8176.39,4225.72,3950.67,100000000000,99999491815.55,508184.45
10,100,20052,12.192599773406982,0.0,300.0,0.929865470852018,67,33,23755.0,10844.63,6120.0,6139.99,17635.0,234785.0,187988.33,79685.0,79844.99,155100.0,537995.04,1000000000000,369354.5,5536499.65,168640.54,12,30.0,1988.06,1145.56,842.5,11398.21,2858.21,8540.0,100000000000,99999565049.1,434950.9,10,16.0,555.83,187.5,368.33,18707.1,13487.1,5220.0,100000000000,99999445959.79,554040.21,13,22.0,1799.12,1398.45,400.67,12737.76,8843.76,3894.0,100000000000,99999303521.02,696478.98,12,16.0,946.54,359.04,587.5,15596.46,4796.46,10800.0,100000000000,99999203801.94,796198.06,13,21.0,920.39,296.72,623.67,20895.68,13517.34,7378.33,100000000000,99999447871.31,552128.69,10,23.0,901.18,263.84,637.33,26702.72,23439.38,3263.33,100000000000,99999019815.74,980184.26,18,36.0,832.23,71.14,761.08,19312.28,10297.28,9015.0,100000000000,99999585503.43,414496.57,14,42.0,436.38,0.13,436.25,27423.54,17217.54,10206.0,100000000000,99999703927.73,296072.27,22,48.0,1775.52,913.44,862.08,15651.62,5781.62,9870.0,100000000000,99999543252.49,456747.51,20,46.0,689.38,68.79,620.58,19562.96,7904.63,11658.33,100000000000,99999644797.8,355202.2
