n_nodes,n_req,n_msg,exec_time,alpha,tot_utility,jaini,count_assigned,count_unassigned,tot_gpu_jobs,tot_gpu_nodes,assigned_sum_gpu,tot_used_gpu,unassigned_sum_gpu,tot_cpu_jobs,tot_cpu_nodes,assigned_sum_cpu,tot_used_cpu,unassigned_sum_cpu,tot_bw_jobs,tot_bw_nodes,assigned_sum_bw,tot_used_bw,unassigned_sum_bw,node_0_jobs,node_0_utility,node_0_initial_gpu,node_0_updated_gpu,node_0_used_gpu,node_0_initial_cpu,node_0_updated_cpu,node_0_used_cpu,node_0_initial_bw,node_0_updated_bw,node_0_used_bw,node_1_jobs,node_1_utility,node_1_initial_gpu,node_1_updated_gpu,node_1_used_gpu,node_1_initial_cpu,node_1_updated_cpu,node_1_used_cpu,node_1_initial_bw,node_1_updated_bw,node_1_used_bw,node_2_jobs,node_2_utility,node_2_initial_gpu,node_2_updated_gpu,node_2_used_gpu,node_2_initial_cpu,node_2_updated_cpu,node_2_used_cpu,node_2_initial_bw,node_2_updated_bw,node_2_used_bw,node_3_jobs,node_3_utility,node_3_initial_gpu,node_3_updated_gpu,node_3_used_gpu,node_3_initial_cpu,node_3_updated_cpu,node_3_used_cpu,node_3_initial_bw,node_3_updated_bw,node_3_used_bw,node_4_jobs,node_4_utility,node_4_initial_gpu,node_4_updated_gpu,node_4_used_gpu,node_4_initial_cpu,node_4_updated_cpu,node_4_used_cpu,node_4_initial_bw,node_4_updated_bw,node_4_used_bw,node_5_jobs,node_5_utility,node_5_initial_gpu,node_5_updated_gpu,node_5_used_gpu,node_5_initial_cpu,node_5_updated_cpu,node_5_used_cpu,node_5_initial_bw,node_5_updated_bw,node_5_used_bw,node_6_jobs,node_6_utility,node_6_initial_gpu,node_6_updated_gpu,node_6_used_gpu,node_6_initial_cpu,node_6_updated_cpu,node_6_used_cpu,node_6_initial_bw,node_6_updated_bw,node_6_used_bw,node_7_jobs,node_7_utility,node_7_initial_gpu,node_7_updated_gpu,node_7_used_gpu,node_7_initial_cpu,node_7_updated_cpu,node_7_used_cpu,node_7_initial_bw,node_7_updated_bw,node_7_used_bw,node_8_jobs,node_8_utility,node_8_initial_gpu,node_8_updated_gpu,node_8_used_gpu,node_8_initial_cpu,node_8_updated_cpu,node_8_used_cpu,node_8_initial_bw,node_8_updated_bw,node_8_used_bw,node_9_jobs,node_9_utility,node_9_initial_gpu,node_9_updated_gpu,node_9_used_gpu,node_9_initial_cpu,node_9_updated_cpu,node_9_used_cpu,node_9_initial_bw,node_9_updated_bw,node_9_used_bw
10,100,29056,12.9710373878479,0.0,103.27,0.8750410509031199,69,31,27125.0,14840.269999999997,9490.0,9490.0,17635.0,294110.0,186955.1,109510.0,109509.99,184600.0,572912.09,1000000000000,411593.25,8351909.95,161318.83,6,9.63,1960.52,1675.52,285.0,15453.25,12063.25,3390.0,100000000000,99999345471.63,654528.37,20,12.35,1298.72,4.05,1294.67,14074.65,1854.65,12220.0,100000000000,99999244386.8,755613.2,20,5.22,1370.7,702.03,668.67,24983.23,14410.73,10572.5,100000000000,99999039348.02,960651.98,17,12.56,1152.08,403.25,748.83,23452.13,8598.8,14853.33,100000000000,99998832195.14,1167804.86,19,20.58,750.42,0.42,750.0,21095.51,8857.18,12238.33,100000000000,99999571852.99,428147.01,17,7.34,1855.68,393.18,1462.5,17421.04,5198.54,12222.5,100000000000,99999427385.32,572614.68,12,3.44,1851.71,430.05,1421.67,13855.75,2640.75,11215.0,100000000000,99998449517.49,1550482.51,6,5.74,1755.05,745.05,1010.0,12067.06,4227.06,7840.0,100000000000,99999440253.07,559746.93,20,5.79,1978.32,912.98,1065.33,14147.78,3399.45,10748.33,100000000000,99998808265.03,1191734.97,9,20.62,867.07,83.74,783.33,30404.7,16194.7,14210.0,100000000000,99999489414.56,510585.44
10,100,34536,13.535986185073853,0.0,108.84,0.8367691641403204,63,37,16820.0,9904.539999999999,4775.0,4775.0,12045.0,240200.0,134151.1,67000.0,66999.99,173200.0,503586.09,1000000000000,351995.41,8670284.94,151590.68,16,20.25,699.03,220.28,478.75,18549.72,12086.39,6463.33,100000000000,99999469771.71,530228.29,23,9.09,1210.07,538.23,671.83,14136.82,6363.49,7773.33,100000000000,99998343237.7,1656762.3,4,3.5,280.04,8.37,271.67,21459.67,16226.34,5233.33,100000000000,99999786834.54,213165.46,17,11.85,1152.54,494.21,658.33,8473.22,2423.22,6050.0,100000000000,99999329297.76,670702.24,13,7.17,371.6,142.44,229.17,11534.93,7584.93,3950.0,100000000000,99999117622.0,882378.0,11,2.07,1997.08,1337.41,659.67,8970.82,1230.82,7740.0,100000000000,99999257465.39,742534.61,24,40.28,589.88,0.38,589.5,20399.23,11179.23,9220.0,100000000000,99999164052.75,835947.25,14,8.55,507.74,46.15,461.58,12296.94,4776.94,7520.0,100000000000,99999396664.21,603335.79,11,1.24,1171.78,790.61,381.17,9108.44,2898.44,6210.0,100000000000,99998840038.78,1159961.22,6,4.84,1924.78,1551.44,373.33,9221.31,2381.31,6840.0,100000000000,99998624730.22,1375269.78
10,100,37696,14.075134515762329,0.0,147.71,0.7889983579638752,68,32,26710.0,12593.0,6990.0,7006.66,19720.0,239160.0,132158.12,67560.0,67659.99,171600.0,609891.31,1000000000000,373282.31,10025888.35,236609.0,6,7.47,1431.63,1126.63,305.0,8580.06,6000.06,2580.0,100000000000,99999174699.75,825300.25,27,19.17,1606.8,73.05,1533.75,15290.3,3760.3,11530.0,100000000000,99998403354.1,1596645.9,26,22.79,1210.85,30.19,1180.67,18747.83,9097.5,9650.33,100000000000,99998571904.72,1428095.28,7,4.39,655.39,440.39,215.0,8222.26,4652.26,3570.0,100000000000,99998777077.76,1222922.24,11,2.05,1851.71,764.21,1087.5,9237.17,2020.5,7216.67,100000000000,99999274542.39,725457.61,10,7.91,1755.05,1255.05,500.0,8044.71,3111.37,4933.33,100000000000,99999219046.06,780953.94,15,6.52,1978.32,1347.48,630.83,9431.86,3371.86,6060.0,100000000000,99999212669.69,787330.31,28,35.01,867.07,123.99,743.08,20269.8,10456.8,9813.0,100000000000,99998824551.86,1175448.14,10,12.92,957.83,425.33,532.5,13203.92,5100.59,8103.33,100000000000,99998949809.59,1050190.41,15,29.49,278.35,0.02,278.33,21130.21,16926.88,4203.33,100000000000,99999566455.73,433544.27
10,100,21494,12.174182415008545,0.0,171.71,0.7652500817260542,63,37,33494.0,10897.82,5330.0,5339.99,28164.0,306260.0,216415.42,75260.0,75379.99,231000.0,490458.54,1000000000000,330906.01,6474638.88,159552.52,14,9.08,1387.72,819.81,567.92,19093.09,9699.76,9393.33,100000000000,99999247175.69,752824.31,5,13.17,1519.47,1321.14,198.33,26472.26,23762.26,2710.0,100000000000,99999294764.47,705235.53,5,7.61,1588.86,958.03,630.83,12852.27,5842.27,7010.0,100000000000,99999542234.88,457765.12,13,16.08,460.07,33.41,426.67,18781.17,14256.17,4525.0,100000000000,99999321134.15,678865.85,11,5.5,1798.88,1158.88,640.0,19439.88,14979.88,4460.0,100000000000,99999364744.63,635255.37,22,21.48,496.63,61.3,435.33,23091.92,14656.92,8435.0,100000000000,99999349511.64,650488.36,30,39.91,1552.68,436.09,1116.58,32331.67,13718.34,18613.33,100000000000,99999180864.06,819135.94,27,27.74,1634.1,742.93,891.17,21288.25,9958.25,11330.0,100000000000,99999226502.96,773497.04,7,9.75,221.19,0.35,220.83,30652.74,26357.74,4295.0,100000000000,99999669425.49,330574.51,19,21.39,238.22,25.88,212.33,12412.17,7803.83,4608.33,100000000000,99999329003.15,670996.85
10,100,30902,13.04997181892395,0.0,151.31,0.8837716484926235,72,28,30585.0,14783.180000000004,9545.0,9545.0,21040.0,311800.0,196226.31,64000.0,63999.99,247800.0,506743.1,1000000000000,372010.96,8118301.36,134732.14,10,17.33,1237.55,832.71,404.83,31250.84,27584.17,3666.67,100000000000,99999419609.46,580390.54,15,7.18,2052.19,1330.94,721.25,12778.62,3911.95,8866.67,100000000000,99998661172.73,1338827.27,12,14.66,402.56,104.64,297.92,32189.51,28909.51,3280.0,100000000000,99999516671.38,483328.62,22,11.1,1656.78,603.44,1053.33,12709.83,4896.5,7813.33,100000000000,99998489388.58,1510611.42,10,14.66,534.18,74.35,459.83,17302.39,14189.05,3113.33,100000000000,99999503987.34,496012.66,10,5.22,2870.8,979.13,1891.67,13456.23,5146.23,8310.0,100000000000,99999127135.58,872864.42,22,38.18,847.95,1.7,846.25,30598.85,23823.85,6775.0,100000000000,99999441021.08,558978.92,16,20.9,729.87,367.04,362.83,18445.41,13867.07,4578.33,100000000000,99999410434.44,589565.56,28,16.35,1684.43,145.26,1539.17,13662.67,3599.33,10063.33,100000000000,99998958440.98,1041559.02,21,5.72,2766.87,798.95,1967.92,13831.96,6298.63,7533.33,100000000000,99999353837.07,646162.93
10,100,28924,13.110910654067993,0.0,117.06,0.724634858812074,62,38,21125.0,13557.759999999998,7645.0,7704.99,13480.0,215505.0,125492.75,88305.0,90705.0,127200.0,498665.21,1000000000000,323056.45,10105786.07,175608.75,7,3.18,1343.85,790.6,553.25,7525.31,836.14,6689.17,100000000000,99999460863.71,539136.29,7,8.95,1290.37,577.95,712.42,10892.42,2872.42,8020.0,100000000000,99999515358.15,484641.85,18,23.03,1245.6,402.76,842.83,12472.64,1535.97,10936.67,100000000000,99999412714.12,587285.88,21,19.53,1432.25,8.75,1423.5,17471.8,493.14,16978.67,100000000000,99998058433.16,1941566.84,10,20.44,1368.92,369.92,999.0,14532.85,3084.85,11448.0,100000000000,99999491361.15,508638.85,2,5.63,1499.61,949.61,550.0,14380.79,7780.79,6600.0,100000000000,99999805629.79,194370.21,23,19.96,1771.97,854.63,917.33,13666.77,5138.43,8528.33,100000000000,99998077952.33,1922047.67,19,11.34,950.41,500.58,449.83,13645.76,6057.42,7588.33,100000000000,99997194908.59,2805091.41,1,0.96,1006.88,506.88,500.0,11452.74,5452.74,6000.0,100000000000,99999462551.82,537448.18,14,4.05,1647.9,891.07,756.83,9451.67,1535.83,7915.83,100000000000,99999414441.11,585558.89
10,100,34608,13.452412128448486,0.0,119.8,0.749042748492001,73,27,14634.0,9118.890000000001,5035.0,5035.0,9599.0,160520.0,97104.34999999999,61120.0,61120.0,99400.0,537576.76,1000000000000,418215.76,7347517.99,119361.0,23,16.18,1031.95,330.62,701.33,12289.14,5622.47,6666.67,100000000000,99999161178.24,838821.76,2,1.96,867.22,833.89,33.33,5314.59,4914.59,400.0,100000000000,99999561035.5,438964.5,25,15.59,1254.98,84.98,1170.0,13076.7,2156.7,10920.0,100000000000,99999042899.7,957100.3,7,9.18,938.8,627.96,310.83,13129.99,7576.66,5553.33,100000000000,99999685226.14,314773.86,10,12.47,1844.56,1357.89,486.67,6502.28,3288.94,3213.33,100000000000,99999552040.25,447959.75,8,3.15,337.24,62.24,275.0,5249.11,1139.11,4110.0,100000000000,99999268492.48,731507.52,28,14.59,638.33,72.5,565.83,10222.53,1665.87,8556.67,100000000000,99998992668.41,1007331.59,24,8.34,521.69,113.02,408.67,11253.12,3739.78,7513.33,100000000000,99998991632.22,1008367.78,11,6.65,926.87,583.2,343.67,8276.13,4246.13,4030.0,100000000000,99999146568.61,853431.39,31,31.68,757.25,17.59,739.67,11790.76,1634.09,10156.67,100000000000,99999250740.46,749259.54
10,100,26926,12.747921228408813,0.0,135.13,0.8522496959870288,68,32,16679.0,10351.79,5670.0,5669.99,11009.0,219800.0,124018.42000000001,64000.0,64000.0,155800.0,545352.85,1000000000000,376223.91,7842158.95,169128.94,19,16.44,1439.99,875.99,564.0,8255.39,1875.39,6380.0,100000000000,99999211720.59,788279.41,13,7.69,1388.83,568.83,820.0,9024.86,4138.19,4886.67,100000000000,99999260472.01,739527.99,12,1.83,1270.12,909.29,360.83,7473.05,1463.05,6010.0,100000000000,99998979139.01,1020860.99,16,6.11,496.91,142.08,354.83,14277.2,3463.87,10813.33,100000000000,99999536413.59,463586.41,2,4.7,278.62,70.28,208.33,12753.29,11953.29,800.0,100000000000,99999901831.05,98168.95,20,19.65,737.35,267.02,470.33,13535.15,8018.48,5516.67,100000000000,99999479500.83,520499.17,26,31.63,1773.0,627.16,1145.83,16341.35,6451.35,9890.0,100000000000,99998695664.38,1304335.62,12,18.76,1403.98,672.32,731.67,13653.11,6163.11,7490.0,100000000000,99998731575.14,1268424.86,12,17.34,417.2,0.53,416.67,13726.36,9546.36,4180.0,100000000000,99999645008.34,354991.66,13,10.98,1145.79,548.29,597.5,14978.66,6945.32,8033.33,100000000000,99998716516.11,1283483.89
10,100,35858,13.872399091720581,0.0,151.43,0.7361028684470821,59,41,25259.0,9311.539999999999,6329.0,6329.0,18930.0,309040.0,137757.36000000002,65540.0,65540.0,243500.0,504723.8,1000000000000,325668.37,10995989.01,179055.43,19,31.2,473.86,4.86,469.0,8645.98,2865.98,5780.0,100000000000,99999553031.27,446968.73,1,2.0,496.91,476.91,20.0,14277.2,13877.2,400.0,100000000000,99999869315.73,130684.27,3,10.16,278.62,165.28,113.33,12753.29,11353.29,1400.0,100000000000,99999713429.47,286570.53,9,17.21,737.35,373.35,364.0,13535.15,4021.81,9513.33,100000000000,99998907882.23,1092117.77,8,6.44,1773.0,453.83,1319.17,16341.35,4184.69,12156.67,100000000000,99999431441.24,568558.76,9,14.33,1403.98,1035.23,368.75,13653.11,10203.11,3450.0,100000000000,99999158874.02,841125.98,22,23.85,417.2,3.2,414.0,13726.36,8696.36,5030.0,100000000000,99995736668.59,4263331.41,21,28.49,1145.79,0.79,1145.0,14978.66,8885.32,6093.33,100000000000,99998203676.0,1796324.0,10,6.35,1677.7,421.86,1255.83,13657.5,1617.5,12040.0,100000000000,99999154970.13,845029.87,20,11.39,907.13,47.21,859.92,16188.76,6512.1,9676.67,100000000000,99999274722.31,725277.69
10,100,26932,12.778265953063965,0.0,91.56,0.8415692821368949,63,37,24990.0,9623.570000000002,6295.0,6295.0,18695.0,211460.0,127729.20999999999,69460.0,69460.01,142000.0,527444.07,1000000000000,354905.16,6292572.8,172538.91,6,3.21,1405.08,1195.91,209.17,8450.03,4970.03,3480.0,100000000000,99999541108.67,458891.33,12,8.8,1926.71,701.71,1225.0,15984.37,5154.37,10830.0,100000000000,99999017826.12,982173.88,18,19.12,697.51,6.68,690.83,15100.55,2980.55,12120.0,100000000000,99999263436.37,736563.63,20,15.12,796.56,160.9,635.67,15480.76,6150.76,9330.0,100000000000,99999379877.08,620122.92,21,10.17,1121.88,426.21,695.67,14758.84,8442.18,6316.67,100000000000,99999234735.44,765264.56,17,3.14,1200.02,254.19,945.83,11909.8,3013.14,8896.67,100000000000,99999417116.26,582883.74,16,4.39,842.43,343.77,498.67,9828.2,4931.54,4896.67,100000000000,99999244684.03,755315.97,19,7.69,857.85,74.52,783.33,7834.64,1206.31,6628.33,100000000000,99999089318.25,910681.75,1,0.98,496.91,163.58,333.33,14991.06,10991.06,4000.0,100000000000,99999846092.01,153907.99,12,18.93,278.62,1.12,277.5,13390.96,10429.29,2961.67,100000000000,99999673232.97,326767.03
